# {"t_start": 1618324694.6781566, "env_id": "dVRLPickPlace-v0"} 
r,l,t
-200.0,200,20.428928
-200.0,200,32.480251
-200.0,200,48.448176
-200.0,200,55.632438
-200.0,200,63.11313
-200.0,200,70.176411
-200.0,200,77.087945
-200.0,200,83.697713
-200.0,200,90.517937
-200.0,200,97.63157
-200.0,200,104.417807
-200.0,200,111.078997
-200.0,200,118.163803
-200.0,200,125.018321
-200.0,200,131.615256
-200.0,200,138.454234
-200.0,200,145.473641
-200.0,200,152.345675
-200.0,200,159.29545
-200.0,200,166.201356
-200.0,200,173.405921
-200.0,200,180.365821
-200.0,200,187.453344
-200.0,200,194.284896
-200.0,200,201.011047
-200.0,200,207.93037
-200.0,200,214.87131
-200.0,200,221.712088
-200.0,200,228.732572
-200.0,200,235.846888
-200.0,200,242.830504
-200.0,200,249.625862
-200.0,200,256.58165
-200.0,200,263.269737
-200.0,200,270.372561
-200.0,200,277.207143
-200.0,200,284.027936
-200.0,200,290.816644
-200.0,200,297.635326
-200.0,200,304.548748
-200.0,200,311.541171
-200.0,200,318.399653
-200.0,200,325.184391
-200.0,200,332.330999
-200.0,200,339.112541
-200.0,200,346.198727
-200.0,200,353.075614
-200.0,200,360.142584
-200.0,200,366.95894
-200.0,200,373.77841
-200.0,200,380.686319
-200.0,200,385.320686
-200.0,200,389.981772
-200.0,200,394.582436
-200.0,200,399.202522
-200.0,200,403.762776
-200.0,200,408.344466
-200.0,200,412.962962
-200.0,200,417.593667
-200.0,200,422.309391
-200.0,200,427.211901
-200.0,200,433.961448
-200.0,200,440.88108
-200.0,200,447.848274
-200.0,200,454.871521
-200.0,200,461.677418
-200.0,200,468.611552
-200.0,200,475.565245
-200.0,200,482.356591
-200.0,200,489.218353
-200.0,200,496.029577
-200.0,200,502.992599
-200.0,200,509.751509
-200.0,200,516.777354
-200.0,200,524.029608
-200.0,200,531.014895
-200.0,200,538.355304
-200.0,200,545.168331
-200.0,200,552.28445
-200.0,200,559.247324
-200.0,200,566.205718
-200.0,200,573.090156
-200.0,200,580.113665
-200.0,200,586.968841
-200.0,200,593.89018
-200.0,200,600.946048
-200.0,200,608.010309
-200.0,200,614.955351
-200.0,200,621.919982
-200.0,200,628.771715
-200.0,200,635.695333
-200.0,200,642.579837
-200.0,200,649.493366
-200.0,200,656.553569
-200.0,200,663.557946
-200.0,200,670.558338
-200.0,200,677.377026
-200.0,200,684.382201
-200.0,200,691.296445
-200.0,200,698.228751
-200.0,200,705.0219
-200.0,200,711.889446
-200.0,200,718.941834
-200.0,200,726.019295
-200.0,200,732.903293
-200.0,200,739.883219
-200.0,200,746.6306
-200.0,200,753.579426
-200.0,200,760.358435
-200.0,200,767.313979
-200.0,200,774.102777
-200.0,200,778.773009
-200.0,200,783.328908
-200.0,200,788.048259
-200.0,200,792.616127
-200.0,200,797.26819
-200.0,200,801.883917
-200.0,200,806.531914
-200.0,200,811.101862
-200.0,200,815.687391
-200.0,200,820.5398
-200.0,200,827.179177
-200.0,200,833.980568
-200.0,200,841.019135
-200.0,200,848.181582
-200.0,200,856.140159
-200.0,200,864.11029
-200.0,200,872.52567
-200.0,200,879.815778
-200.0,200,887.214665
-200.0,200,894.002608
-200.0,200,901.071658
-200.0,200,908.042144
-200.0,200,915.097201
-200.0,200,921.831572
-200.0,200,928.982937
-200.0,200,935.782429
-200.0,200,942.858091
-200.0,200,949.861438
-200.0,200,956.655606
-200.0,200,963.707784
-200.0,200,970.560708
-200.0,200,977.536258
-200.0,200,984.731038
-200.0,200,991.612058
-200.0,200,998.612923
-200.0,200,1005.581268
-200.0,200,1012.462251
-200.0,200,1019.463923
-200.0,200,1026.327667
-200.0,200,1033.240027
-200.0,200,1040.26251
-200.0,200,1047.168684
-200.0,200,1054.05413
-200.0,200,1060.976505
-200.0,200,1067.813712
-200.0,200,1074.899586
-200.0,200,1081.98043
-200.0,200,1089.14242
-200.0,200,1096.156263
-200.0,200,1103.103789
-200.0,200,1110.029168
-200.0,200,1117.101482
-200.0,200,1124.051975
-200.0,200,1131.083775
-200.0,200,1138.172001
-200.0,200,1145.179039
-200.0,200,1152.060796
-200.0,200,1158.890946
-200.0,200,1165.736345
-200.0,200,1172.612502
-200.0,200,1177.320208
-200.0,200,1181.983046
-200.0,200,1186.728507
-200.0,200,1191.333552
-200.0,200,1196.05869
-200.0,200,1200.766182
-200.0,200,1205.463421
-200.0,200,1210.152107
-200.0,200,1214.902983
-200.0,200,1219.585585
-200.0,200,1226.533663
-200.0,200,1233.245895
-200.0,200,1240.206772
