# {"t_start": 1616672630.473014, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,49.179505
-100.0,100,83.931802
-100.0,100,135.003995
-100.0,100,165.551361
-100.0,100,208.623455
-100.0,100,242.855807
-100.0,100,276.89986
-100.0,100,315.871319
-100.0,100,349.279206
-100.0,100,381.44791
-100.0,100,412.50421
-100.0,100,444.352457
-100.0,100,481.691872
-100.0,100,517.563567
-100.0,100,550.411775
-100.0,100,584.232251
-100.0,100,618.823943
-100.0,100,650.967294
-100.0,100,683.511361
-100.0,100,715.411364
-100.0,100,751.123546
-100.0,100,789.635306
-100.0,100,818.252147
-100.0,100,854.152205
-100.0,100,886.251528
-100.0,100,916.459859
-100.0,100,950.599536
-100.0,100,985.627373
-100.0,100,1030.195364
-100.0,100,1066.307336
-100.0,100,1102.419655
-100.0,100,1137.871364
-100.0,100,1177.996177
-100.0,100,1215.832326
-100.0,100,1253.348256
-100.0,100,1297.930224
-100.0,100,1338.067904
-100.0,100,1374.815435
-100.0,100,1413.20323
-100.0,100,1447.143641
-100.0,100,1480.112176
-100.0,100,1519.464153
-100.0,100,1561.319366
-100.0,100,1603.171665
-100.0,100,1641.480998
-100.0,100,1679.340389
-100.0,100,1717.648002
-100.0,100,1756.247637
-100.0,100,1793.064051
-100.0,100,1832.967448
-65.0,100,1873.235445
-100.0,100,1898.915968
-100.0,100,1924.591401
-100.0,100,1949.931336
-100.0,100,1975.696355
-100.0,100,2000.943403
-100.0,100,2026.563457
-100.0,100,2052.239361
-100.0,100,2078.439845
-100.0,100,2104.176204
-100.0,100,2135.532443
-100.0,100,2167.475407
-100.0,100,2196.932084
-100.0,100,2228.275377
-100.0,100,2260.307963
-100.0,100,2291.40339
-100.0,100,2322.991349
-100.0,100,2357.627588
-100.0,100,2394.951308
-100.0,100,2425.315349
-100.0,100,2458.047649
-100.0,100,2492.16834
-100.0,100,2526.783649
-100.0,100,2557.100044
-100.0,100,2590.703317
-100.0,100,2623.224201
-100.0,100,2663.251396
-100.0,100,2695.00802
-100.0,100,2726.395569
-100.0,100,2761.372085
-100.0,100,2793.84815
-100.0,100,2829.71147
-100.0,100,2868.623464
-100.0,100,2908.367321
-100.0,100,2942.105118
-100.0,100,2973.612258
-100.0,100,3006.907971
-100.0,100,3037.783587
-100.0,100,3069.69543
-100.0,100,3101.075858
-100.0,100,3133.904145
-100.0,100,3170.759314
-100.0,100,3203.545609
-100.0,100,3237.735939
-100.0,100,3272.347609
-100.0,100,3306.392209
-100.0,100,3340.90735
-100.0,100,3373.080024
-100.0,100,3406.959387
-100.0,100,3444.463808
-100.0,100,3479.17204
-100.0,100,3511.37964
-100.0,100,3543.535797
-100.0,100,3576.147407
-100.0,100,3610.156358
-100.0,100,3641.541438
-100.0,100,3678.728381
-100.0,100,3713.651238
-100.0,100,3749.311904
-100.0,100,3780.816303
-100.0,100,3812.784422
-100.0,100,3838.892181
-100.0,100,3864.271351
-100.0,100,3889.032301
-100.0,100,3915.303412
-100.0,100,3941.095481
-100.0,100,3967.083383
-100.0,100,3992.775501
-100.0,100,4017.471403
-100.0,100,4042.940383
-100.0,100,4072.380162
-100.0,100,4108.108411
-100.0,100,4142.052358
-100.0,100,4175.188404
-100.0,100,4213.643913
-100.0,100,4251.479407
-100.0,100,4284.57184
-100.0,100,4319.180177
-100.0,100,4352.100358
-100.0,100,4387.951409
-100.0,100,4419.565616
-100.0,100,4453.883355
-100.0,100,4490.752051
-100.0,100,4531.559835
-100.0,100,4568.063577
-100.0,100,4598.058601
-100.0,100,4629.497664
-100.0,100,4658.551293
-100.0,100,4692.388127
-100.0,100,4726.760333
-100.0,100,4762.53231
-100.0,100,4798.532602
-98.0,100,4831.484256
-100.0,100,4863.332028
-100.0,100,4897.144036
-100.0,100,4929.73539
-100.0,100,4965.028751
-100.0,100,4997.295747
-100.0,100,5036.080793
-100.0,100,5065.028443
-100.0,100,5097.060905
-100.0,100,5131.219332
-100.0,100,5169.64167
-100.0,100,5207.63582
-68.0,100,5245.620594
-100.0,100,5286.975448
-100.0,100,5325.932118
-100.0,100,5365.223873
-100.0,100,5400.579257
-100.0,100,5433.903337
-100.0,100,5470.58448
-100.0,100,5512.004323
-100.0,100,5554.717126
-100.0,100,5593.791479
-100.0,100,5631.183852
-100.0,100,5666.900122
-100.0,100,5704.375972
-84.0,100,5740.008343
-95.0,100,5776.851327
-100.0,100,5812.879401
-100.0,100,5853.259368
-100.0,100,5879.195707
-100.0,100,5904.249933
-100.0,100,5929.887345
-100.0,100,5954.988092
-100.0,100,5981.004771
-100.0,100,6006.967385
-100.0,100,6032.320278
-100.0,100,6057.991384
-100.0,100,6084.164491
-100.0,100,6113.296528
-100.0,100,6148.720172
-100.0,100,6185.45137
-100.0,100,6221.840485
-84.0,100,6260.232056
-100.0,100,6298.139435
-100.0,100,6334.787693
-100.0,100,6377.151766
-100.0,100,6418.28443
-100.0,100,6456.004317
-100.0,100,6493.8921
-100.0,100,6531.029386
-100.0,100,6569.336312
-100.0,100,6603.232519
-100.0,100,6648.379405
-100.0,100,6688.501414
-100.0,100,6719.62727
-100.0,100,6753.65974
-100.0,100,6785.694501
-75.0,100,6819.607994
-100.0,100,6851.079437
-100.0,100,6883.187308
-100.0,100,6922.903417
-100.0,100,6953.984197
-100.0,100,6986.300117
-100.0,100,7018.376383
-100.0,100,7051.215884
-100.0,100,7082.807275
-100.0,100,7114.77134
-100.0,100,7147.119466
-72.0,100,7179.943462
-100.0,100,7218.383367
-100.0,100,7251.455445
-100.0,100,7284.559785
-100.0,100,7316.415541
-100.0,100,7349.703362
-95.0,100,7382.06479
-75.0,100,7414.40414
-100.0,100,7447.207253
-100.0,100,7484.532172
-100.0,100,7518.687968
-100.0,100,7550.495724
-87.0,100,7581.784211
-100.0,100,7615.204459
-100.0,100,7646.384503
-100.0,100,7679.739435
-100.0,100,7714.123537
-100.0,100,7750.964142
-100.0,100,7781.681781
-100.0,100,7812.320298
-100.0,100,7845.355276
-100.0,100,7871.627654
-40.0,100,7897.355347
-100.0,100,7922.811427
-100.0,100,7949.559822
-41.0,100,7976.108275
-64.0,100,8001.275346
-68.0,100,8026.963994
-65.0,100,8052.761438
-63.0,100,8078.116286
-100.0,100,8103.968309
-100.0,100,8136.383458
-100.0,100,8171.27173
-100.0,100,8207.315328
-44.0,100,8243.472321
-100.0,100,8281.996438
-100.0,100,8316.068214
-100.0,100,8348.897021
-100.0,100,8383.963322
-100.0,100,8420.151562
-100.0,100,8454.481269
-100.0,100,8489.124224
-100.0,100,8530.979833
-100.0,100,8571.247488
-100.0,100,8604.431523
-100.0,100,8637.828178
-100.0,100,8671.7959
-100.0,100,8704.271349
-52.0,100,8737.871338
-95.0,100,8773.944349
-100.0,100,8809.895878
-61.0,100,8844.587352
-83.0,100,8878.175355
-100.0,100,8909.644008
-100.0,100,8942.928432
-100.0,100,8975.111847
-100.0,100,9008.367776
-100.0,100,9042.228245
-100.0,100,9079.603352
-100.0,100,9116.139855
-100.0,100,9147.015416
-100.0,100,9182.19583
-69.0,100,9218.871454
-100.0,100,9254.756224
-75.0,100,9293.972335
-100.0,100,9334.463967
-100.0,100,9374.14019
-56.0,100,9414.147272
-100.0,100,9451.576044
-100.0,100,9490.240446
-100.0,100,9527.367328
-85.0,100,9565.296388
-100.0,100,9606.39605
-100.0,100,9645.103364
-100.0,100,9682.771346
-100.0,100,9721.644222
-100.0,100,9761.58807
-100.0,100,9799.679584
-100.0,100,9832.512289
-100.0,100,9872.832333
-100.0,100,9906.275831
-100.0,100,9932.830365
-100.0,100,9958.847406
-62.0,100,9984.879297
-100.0,100,10010.12023
-98.0,100,10035.431419
-100.0,100,10061.599537
-48.0,100,10087.827736
-100.0,100,10114.612322
-100.0,100,10140.699582
-100.0,100,10166.467412
-100.0,100,10199.375996
-100.0,100,10231.071383
-100.0,100,10262.424357
-100.0,100,10297.719646
-100.0,100,10329.763796
-100.0,100,10362.787357
-100.0,100,10401.711434
-100.0,100,10437.631495
-100.0,100,10474.307619
-100.0,100,10511.81615
-100.0,100,10543.648037
-100.0,100,10580.480536
-100.0,100,10612.988887
-100.0,100,10649.76037
-59.0,100,10685.203366
-100.0,100,10718.263383
-100.0,100,10749.38032
-100.0,100,10779.564006
-100.0,100,10813.191342
-100.0,100,10848.451589
-100.0,100,10887.452039
-100.0,100,10925.543396
-100.0,100,10966.751789
-100.0,100,10999.863284
-100.0,100,11037.212119
-100.0,100,11069.408222
-100.0,100,11105.576148
-100.0,100,11140.119379
