epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.2555814,0.5315857,-0.13375238,0.46172813,10.0,-3.080032,0.012500000186264515,50.0,0.0
1,-0.27606288,0.53071046,-0.14702423,0.45684105,20.0,-5.3590546,0.0,100.0,0.009999999776482582
2,-0.27764234,0.5204416,-0.15354177,0.44702426,30.0,-5.872648,0.4000000096857548,150.0,0.044999998
3,-0.27306274,0.5159127,-0.1535552,0.44360825,40.0,-7.2184677,0.51250005,200.0,0.11
4,-0.27111834,0.51348406,-0.15582691,0.44325897,50.0,-9.963884,0.3375,250.0,0.175
5,-0.26867804,0.51156574,-0.15648015,0.44191352,60.0,-10.754183,0.4625,300.0,0.185
6,-0.26453698,0.5117786,-0.15415528,0.44351062,70.0,-12.171279,0.3875,350.0,0.2475
7,-0.25873646,0.5100215,-0.15245008,0.4435125,80.0,-12.343562,0.5625,400.0,0.35000002
8,-0.254469,0.50974673,-0.1517544,0.44515753,90.0,-11.1154,0.7875,450.0,0.3825
9,-0.24767756,0.5100363,-0.15087654,0.44781426,100.0,-10.779579,0.79999995,500.0,0.5475
10,-0.24469729,0.5111242,-0.15090619,0.45037362,110.0,-12.748714,0.8,550.0,0.5125
11,-0.24112798,0.51230246,-0.1503522,0.45275503,120.0,-12.352791,0.8,600.0,0.58500004
12,-0.23841996,0.5126249,-0.15085654,0.45411107,130.0,-12.906352,0.8125,650.0,0.6525
13,-0.2350555,0.51285434,-0.15021579,0.45563665,140.0,-14.488938,0.775,700.0,0.5775
14,-0.23217463,0.51231915,-0.14949787,0.4559638,150.0,-14.391576,0.7125,750.0,0.65999997
15,-0.23019733,0.51245576,-0.14928348,0.4567478,160.0,-15.445196,0.675,800.0,0.67999995
16,-0.22819875,0.5114141,-0.14912148,0.45686817,170.0,-14.110979,0.85,850.0,0.70000005
17,-0.2257582,0.51100236,-0.14861739,0.45788673,180.0,-13.515453,0.8375,900.0,0.7
18,-0.22361918,0.51049083,-0.1481458,0.4583435,190.0,-14.814201,0.85,950.0,0.78499997
19,-0.2228996,0.51051,-0.14814322,0.45980242,200.0,-15.2909,0.85,1000.0,0.725
20,-0.2219692,0.51063365,-0.14764358,0.46002093,210.0,-15.312923,0.8125,1050.0,0.7625
21,-0.22104841,0.50986075,-0.14773178,0.459685,220.0,-16.238865,0.8875,1100.0,0.765
22,-0.22034435,0.5093717,-0.14804237,0.45992443,230.0,-18.02396,0.7875,1150.0,0.7525
23,-0.21968092,0.5092216,-0.148145,0.45987067,240.0,-17.260204,0.8,1200.0,0.7375
24,-0.21936606,0.5086889,-0.14824776,0.45911497,250.0,-18.407396,0.67499995,1250.0,0.68000007
25,-0.21801026,0.5083888,-0.1477523,0.4590265,260.0,-15.88563,0.8125,1300.0,0.6825
26,-0.21734665,0.50833964,-0.14759178,0.4587424,270.0,-15.145166,0.85,1350.0,0.7075
27,-0.21643446,0.5078866,-0.14761765,0.4580355,280.0,-16.775211,0.7375,1400.0,0.75
28,-0.21472609,0.5074639,-0.1473725,0.4576306,290.0,-17.784725,0.775,1450.0,0.745
29,-0.21443774,0.5074034,-0.14768794,0.45755532,300.0,-18.16018,0.6875,1500.0,0.7425
30,-0.21328922,0.50721866,-0.14756359,0.4575365,310.0,-16.93673,0.875,1550.0,0.745
31,-0.21202062,0.5068988,-0.14741096,0.45696834,320.0,-18.522701,0.75,1600.0,0.77750003
32,-0.20976777,0.506817,-0.146699,0.45708504,330.0,-15.929328,0.86249995,1650.0,0.7825
33,-0.20839256,0.5066416,-0.14661774,0.4566539,340.0,-14.596338,0.9,1700.0,0.8475
34,-0.20713548,0.50606817,-0.14646217,0.45647886,350.0,-16.297155,0.85,1750.0,0.8275
35,-0.20562975,0.5058333,-0.14600365,0.45687127,360.0,-15.163755,0.8625,1800.0,0.8125
36,-0.20488288,0.50534624,-0.14613023,0.45673552,370.0,-14.9391365,0.875,1850.0,0.80249995
37,-0.20422028,0.5047549,-0.14624573,0.45636258,380.0,-15.494397,0.85,1900.0,0.8
38,-0.2032244,0.50467116,-0.1461112,0.45643476,390.0,-15.972762,0.9,1950.0,0.815
39,-0.20250924,0.5047071,-0.14610668,0.45667285,400.0,-14.802824,0.9,2000.0,0.79999995
40,-0.20160182,0.50430185,-0.14602348,0.4564099,410.0,-15.430277,0.775,2050.0,0.8225
41,-0.20100297,0.50424385,-0.14618364,0.45628127,420.0,-15.697334,0.825,2100.0,0.7625
42,-0.20029283,0.50379777,-0.14639416,0.4564894,430.0,-15.96207,0.825,2150.0,0.79999995
43,-0.19953723,0.50347555,-0.1465206,0.45697877,440.0,-15.144378,0.85,2200.0,0.8475
44,-0.19849579,0.50315154,-0.14663866,0.45730639,450.0,-14.64344,0.79999995,2250.0,0.83750004
45,-0.19763128,0.5029343,-0.1466144,0.45738116,460.0,-14.376498,0.9125,2300.0,0.78999996
46,-0.19697899,0.5026651,-0.14693786,0.4576107,470.0,-14.857643,0.8375,2350.0,0.79749995
47,-0.19617093,0.50240237,-0.14719053,0.45793274,480.0,-16.494036,0.79999995,2400.0,0.8225
48,-0.19587927,0.502019,-0.14754,0.4582166,490.0,-16.154377,0.83750004,2450.0,0.8425
49,-0.19535811,0.50178105,-0.14774807,0.4583478,500.0,-14.6713705,0.9375,2500.0,0.80999994
50,-0.19483556,0.50159067,-0.14792044,0.45833007,510.0,-14.453829,0.9,2550.0,0.7975
51,-0.19420832,0.50137764,-0.14812967,0.45850047,520.0,-15.244377,0.825,2600.0,0.8425
52,-0.1932625,0.5010416,-0.14824305,0.45866123,530.0,-14.204982,0.9,2650.0,0.8325
53,-0.19307621,0.5007972,-0.14868428,0.45883486,540.0,-14.753054,0.8625,2700.0,0.83000004
54,-0.1925686,0.5003654,-0.14888725,0.45881346,550.0,-15.137743,0.85,2750.0,0.79499996
55,-0.19185935,0.50018245,-0.14891689,0.45926043,560.0,-15.454666,0.79999995,2800.0,0.83500004
56,-0.19131273,0.50001013,-0.1490926,0.45948097,570.0,-15.428344,0.7875,2850.0,0.8325
57,-0.19057049,0.49982592,-0.14923756,0.45957422,580.0,-15.168681,0.86249995,2900.0,0.84250003
58,-0.19014739,0.4997097,-0.14959763,0.46018746,590.0,-15.760756,0.8,2950.0,0.8075
59,-0.18973674,0.49956736,-0.14977923,0.4602673,600.0,-14.549618,0.875,3000.0,0.8325
60,-0.18945676,0.49941894,-0.15000226,0.4603819,610.0,-16.238123,0.8125,3050.0,0.78249997
61,-0.18902671,0.4992679,-0.15013516,0.46050593,620.0,-14.777328,0.825,3100.0,0.8575
62,-0.18859865,0.4991884,-0.15029469,0.46076605,630.0,-15.055563,0.84999996,3150.0,0.8225
63,-0.18827645,0.49893138,-0.15034713,0.4605794,640.0,-15.671828,0.76250005,3200.0,0.79499996
64,-0.18779664,0.49876785,-0.15028618,0.46080166,650.0,-14.577314,0.9,3250.0,0.8225
65,-0.18741506,0.49869466,-0.15040746,0.46093968,660.0,-14.871771,0.86249995,3300.0,0.85
66,-0.18741773,0.4986166,-0.15069067,0.46114376,670.0,-13.488191,0.9375,3350.0,0.8325
67,-0.18692642,0.4984623,-0.15068732,0.46105364,680.0,-15.919742,0.85,3400.0,0.8225
68,-0.18651712,0.4983102,-0.15073805,0.46128318,690.0,-15.120172,0.82500005,3450.0,0.8125
69,-0.18578078,0.49825034,-0.15058552,0.46141982,700.0,-14.476837,0.86249995,3500.0,0.77750003
70,-0.18548054,0.4981575,-0.15077443,0.46189946,710.0,-14.459742,0.86249995,3550.0,0.8125
71,-0.18510698,0.49799463,-0.15070346,0.46197206,720.0,-14.690088,0.8375,3600.0,0.86
72,-0.18458714,0.49790478,-0.1505914,0.4618909,730.0,-15.23782,0.8,3650.0,0.8175
73,-0.1844287,0.49789453,-0.1507469,0.4619186,740.0,-15.020979,0.88750005,3700.0,0.78999996
74,-0.18404771,0.49775028,-0.15072235,0.4618024,750.0,-15.321293,0.76250005,3750.0,0.7975
75,-0.18371122,0.49758092,-0.15072031,0.4617751,760.0,-14.00678,0.8,3800.0,0.78
76,-0.18343599,0.49739873,-0.15083909,0.4616631,770.0,-15.424664,0.7375,3850.0,0.78999996
77,-0.18335654,0.49729288,-0.1510396,0.461787,780.0,-15.0737915,0.8125,3900.0,0.78
78,-0.18289125,0.49725154,-0.15103671,0.4620027,790.0,-13.543029,0.875,3950.0,0.775
79,-0.18269812,0.49713135,-0.15113202,0.4620913,800.0,-14.473017,0.79999995,4000.0,0.8025
80,-0.18221332,0.49698928,-0.15104185,0.462208,810.0,-15.228939,0.825,4050.0,0.79999995
81,-0.18218715,0.49679026,-0.15122338,0.46220306,820.0,-15.606541,0.86249995,4100.0,0.78249997
82,-0.18199092,0.49678954,-0.15118398,0.46218294,830.0,-14.167695,0.85,4150.0,0.79
83,-0.18164532,0.49670374,-0.1511061,0.46219614,840.0,-16.154968,0.76250005,4200.0,0.765
84,-0.18137415,0.49659273,-0.15115449,0.4624993,850.0,-15.325998,0.8,4250.0,0.80999994
85,-0.18141401,0.4964198,-0.15143998,0.4626771,860.0,-15.3362055,0.7625,4300.0,0.81499994
86,-0.18127657,0.49639916,-0.1515357,0.4627563,870.0,-15.363642,0.725,4350.0,0.8025
87,-0.18114841,0.49623266,-0.15166639,0.46283633,880.0,-15.786195,0.725,4400.0,0.78749996
88,-0.18114692,0.4961131,-0.15182899,0.46281713,890.0,-16.151474,0.7375,4450.0,0.7975
89,-0.18095297,0.4960061,-0.15190901,0.46268326,900.0,-14.983072,0.775,4500.0,0.76
90,-0.18078005,0.49591136,-0.1519573,0.46271357,910.0,-13.899496,0.9375,4550.0,0.8475
91,-0.18077594,0.49578437,-0.15210812,0.4626803,920.0,-15.26672,0.875,4600.0,0.8225
92,-0.18040776,0.49565688,-0.1520265,0.46270195,930.0,-13.80281,0.9,4650.0,0.8125
93,-0.18012013,0.49552986,-0.15197723,0.4628492,940.0,-15.0877905,0.725,4700.0,0.805
94,-0.18007563,0.49535418,-0.15198292,0.46272013,950.0,-14.889217,0.79999995,4750.0,0.8025
95,-0.18016587,0.49523497,-0.15213038,0.4626055,960.0,-15.207738,0.85,4800.0,0.82500005
96,-0.18004018,0.49519482,-0.15211613,0.46255162,970.0,-14.183031,0.85,4850.0,0.8225
97,-0.17983109,0.4950752,-0.15209568,0.46257052,980.0,-13.866171,0.825,4900.0,0.81
98,-0.17968434,0.49497283,-0.15213418,0.4627575,990.0,-14.909789,0.8125,4950.0,0.82500005
99,-0.1792425,0.4948721,-0.15193856,0.4625828,1000.0,-16.020761,0.8125,5000.0,0.825
100,-0.17906797,0.49473596,-0.1520046,0.46259853,1010.0,-13.467413,0.9,5050.0,0.83000004
101,-0.17890824,0.49464944,-0.15197627,0.46246883,1020.0,-15.457609,0.78749996,5100.0,0.8125
102,-0.178737,0.4946293,-0.15200403,0.46243873,1030.0,-15.082468,0.775,5150.0,0.7775
103,-0.17861013,0.49451044,-0.15202765,0.462392,1040.0,-15.683336,0.775,5200.0,0.79249996
104,-0.1784588,0.49450043,-0.15201984,0.46232924,1050.0,-14.06818,0.86249995,5250.0,0.775
105,-0.17836803,0.49442542,-0.15202558,0.46238923,1060.0,-14.594742,0.7875,5300.0,0.8475
106,-0.17838179,0.49430168,-0.15208437,0.46233034,1070.0,-13.660572,0.8125,5350.0,0.79999995
107,-0.17821889,0.49413505,-0.15197639,0.46222618,1080.0,-14.62978,0.8875,5400.0,0.825
108,-0.1782221,0.49411908,-0.15198986,0.46209553,1090.0,-15.971489,0.7375,5450.0,0.79499996
109,-0.17803149,0.4940664,-0.15188967,0.4619277,1100.0,-14.063551,0.875,5500.0,0.8325
110,-0.17785092,0.4940455,-0.151841,0.46194372,1110.0,-13.908665,0.83750004,5550.0,0.8075
111,-0.17790425,0.49391723,-0.15191653,0.46177095,1120.0,-14.820467,0.8375,5600.0,0.7975
112,-0.17781562,0.4938575,-0.15192237,0.46168154,1130.0,-15.125444,0.8125,5650.0,0.78999996
113,-0.17773896,0.4936862,-0.15191893,0.46171293,1140.0,-14.943094,0.675,5700.0,0.815
114,-0.17764501,0.49358597,-0.15189178,0.4616118,1150.0,-14.174481,0.7125,5750.0,0.79999995
115,-0.17770393,0.49356648,-0.15197416,0.46156755,1160.0,-14.97971,0.7125,5800.0,0.7625
116,-0.17760883,0.4934697,-0.15198556,0.46155277,1170.0,-15.200643,0.725,5850.0,0.7975
117,-0.17758901,0.49337712,-0.15203497,0.46142867,1180.0,-16.016106,0.7875,5900.0,0.765
118,-0.17759478,0.49324337,-0.15207063,0.4612492,1190.0,-14.887762,0.8375,5950.0,0.79499996
119,-0.1775958,0.49326697,-0.15209243,0.46120325,1200.0,-16.317858,0.625,6000.0,0.75
120,-0.17737548,0.4932296,-0.15199263,0.46111217,1210.0,-14.40349,0.8375,6050.0,0.765
121,-0.17750369,0.49317595,-0.15206371,0.4610099,1220.0,-13.512386,0.8375,6100.0,0.7725
122,-0.17735188,0.49315855,-0.15202157,0.46101865,1230.0,-15.510093,0.8375,6150.0,0.8075
123,-0.1771508,0.49314705,-0.15196307,0.46107164,1240.0,-14.917842,0.875,6200.0,0.75
124,-0.17714614,0.49305543,-0.15198335,0.46096402,1250.0,-15.888377,0.725,6250.0,0.775
125,-0.17720167,0.49293748,-0.15205464,0.46079716,1260.0,-16.429815,0.775,6300.0,0.79249996
126,-0.17720824,0.49279487,-0.15206747,0.4606544,1270.0,-14.327341,0.92499995,6350.0,0.79499996
127,-0.17711182,0.49274155,-0.15204468,0.46045107,1280.0,-14.921316,0.725,6400.0,0.785
128,-0.17697318,0.49268496,-0.15202768,0.46045598,1290.0,-14.630288,0.8375,6450.0,0.77
129,-0.17684881,0.49262655,-0.15203862,0.46026945,1300.0,-14.99439,0.7875,6500.0,0.74
130,-0.17677493,0.49258325,-0.15207781,0.46026507,1310.0,-16.319464,0.76250005,6550.0,0.7625
131,-0.17666711,0.49253646,-0.15202418,0.46012333,1320.0,-15.236361,0.73749995,6600.0,0.7425
132,-0.1765455,0.49251458,-0.15196581,0.46001324,1330.0,-15.418669,0.82500005,6650.0,0.7525
133,-0.1764463,0.49254692,-0.1519377,0.46008068,1340.0,-14.9543705,0.8,6700.0,0.77
134,-0.17616999,0.49246573,-0.15175208,0.4599832,1350.0,-15.051379,0.8125,6750.0,0.78999996
135,-0.1761179,0.49249664,-0.15169838,0.46008068,1360.0,-15.350557,0.825,6800.0,0.7375
136,-0.1759538,0.49239552,-0.15162121,0.46007898,1370.0,-15.3467865,0.8375,6850.0,0.80999994
137,-0.17595838,0.49227932,-0.1516213,0.4599354,1380.0,-17.859196,0.7125,6900.0,0.7275
138,-0.17585601,0.49232742,-0.15161213,0.45984644,1390.0,-15.239233,0.75,6950.0,0.755
139,-0.17576146,0.4923117,-0.15161054,0.4598464,1400.0,-15.193241,0.8625,7000.0,0.82000005
140,-0.17569725,0.49218586,-0.15159588,0.4597896,1410.0,-15.01026,0.76250005,7050.0,0.775
141,-0.17579567,0.49211967,-0.15165003,0.4596959,1420.0,-15.2337055,0.775,7100.0,0.79749995
142,-0.1757744,0.49200687,-0.15164661,0.4595457,1430.0,-16.500639,0.76250005,7150.0,0.77750003
143,-0.17581254,0.49200258,-0.15165456,0.45950222,1440.0,-14.511267,0.7625,7200.0,0.7075
144,-0.17594105,0.49196324,-0.1517534,0.45939264,1450.0,-15.817173,0.85,7250.0,0.78749996
145,-0.17599988,0.4919134,-0.15180373,0.45931742,1460.0,-14.93626,0.83750004,7300.0,0.7925
146,-0.17589359,0.49185947,-0.1517941,0.45921806,1470.0,-14.662592,0.75,7350.0,0.7625
147,-0.1758377,0.4918151,-0.15170518,0.45910487,1480.0,-15.294132,0.86249995,7400.0,0.7825
148,-0.1757588,0.49179563,-0.15166895,0.45912716,1490.0,-14.629629,0.9,7450.0,0.7575
149,-0.17560405,0.49171212,-0.15159927,0.4590434,1500.0,-14.760166,0.7875,7500.0,0.8225
150,-0.17544235,0.49166527,-0.15153876,0.45888075,1510.0,-14.424414,0.825,7550.0,0.79499996
151,-0.17533286,0.49153224,-0.15147965,0.4588181,1520.0,-14.685282,0.8875,7600.0,0.815
152,-0.17520745,0.4915603,-0.1514721,0.4588108,1530.0,-14.4444895,0.8125,7650.0,0.78999996
153,-0.17513256,0.4915123,-0.1514961,0.45879906,1540.0,-16.912676,0.75,7700.0,0.7775
154,-0.17499937,0.49146858,-0.1514505,0.45864278,1550.0,-16.986195,0.775,7750.0,0.8175
155,-0.17498702,0.49140826,-0.15144591,0.45855138,1560.0,-14.300926,0.8,7800.0,0.7575
156,-0.17481202,0.49139914,-0.15134116,0.45848137,1570.0,-15.003174,0.7875,7850.0,0.8125
157,-0.17480324,0.4913377,-0.15138474,0.4584989,1580.0,-14.485148,0.73749995,7900.0,0.79499996
158,-0.17475583,0.49131036,-0.1514155,0.45848233,1590.0,-14.6532345,0.7875,7950.0,0.8125
159,-0.17464583,0.4912542,-0.1514188,0.45837444,1600.0,-16.919052,0.6875,8000.0,0.8075
160,-0.17463143,0.49124208,-0.15149035,0.4583974,1610.0,-15.959226,0.875,8050.0,0.8175
161,-0.17454934,0.4911925,-0.15146782,0.45830756,1620.0,-16.375261,0.75,8100.0,0.7675
162,-0.17445888,0.49115372,-0.1514618,0.45829502,1630.0,-15.264664,0.8,8150.0,0.77
163,-0.17439902,0.49109557,-0.1515199,0.45827103,1640.0,-14.518366,0.725,8200.0,0.7575
164,-0.17440332,0.49106145,-0.1515691,0.45828518,1650.0,-15.743164,0.67499995,8250.0,0.72749996
165,-0.17437465,0.49102092,-0.15158191,0.4582384,1660.0,-14.222309,0.7875,8300.0,0.78
166,-0.17440104,0.49094406,-0.15165988,0.4581652,1670.0,-13.785358,0.75,8350.0,0.77
167,-0.17423284,0.4908403,-0.15161158,0.4580396,1680.0,-14.715061,0.8375,8400.0,0.7625
168,-0.17431176,0.49075684,-0.15168552,0.45788386,1690.0,-14.668913,0.7375,8450.0,0.7625
169,-0.17438923,0.49072143,-0.15174985,0.45774856,1700.0,-16.475552,0.8,8500.0,0.77
170,-0.1742053,0.4906663,-0.15173222,0.45769578,1710.0,-16.435825,0.725,8550.0,0.76
171,-0.174344,0.49074197,-0.15181063,0.45774907,1720.0,-20.104118,0.7375,8600.0,0.72
172,-0.17432314,0.49071744,-0.15183823,0.45776755,1730.0,-13.218095,0.82500005,8650.0,0.7675
173,-0.17430006,0.49066344,-0.15185942,0.4577183,1740.0,-15.724498,0.775,8700.0,0.7275
174,-0.17419522,0.49062672,-0.15182617,0.45775384,1750.0,-13.895369,0.85,8750.0,0.815
175,-0.17420898,0.49056688,-0.1518404,0.4577499,1760.0,-14.409186,0.82500005,8800.0,0.775
176,-0.17420304,0.49053267,-0.15186237,0.4577106,1770.0,-13.889747,0.85,8850.0,0.8325
177,-0.17411524,0.49047068,-0.15184733,0.45761546,1780.0,-13.892796,0.875,8900.0,0.78499997
178,-0.17422308,0.49041304,-0.15193173,0.45751208,1790.0,-18.240294,0.7625,8950.0,0.7575
179,-0.17409985,0.49031615,-0.15191801,0.45747495,1800.0,-14.917284,0.84999996,9000.0,0.7975
180,-0.17411596,0.49025688,-0.1519268,0.45738035,1810.0,-14.494226,0.73749995,9050.0,0.7375
181,-0.17396642,0.49019682,-0.15189238,0.45726445,1820.0,-14.90679,0.7875,9100.0,0.78
182,-0.17389359,0.49013355,-0.15193471,0.45724684,1830.0,-14.563028,0.78749996,9150.0,0.78249997
183,-0.17375357,0.49012604,-0.15187526,0.45714685,1840.0,-14.6102295,0.73749995,9200.0,0.8175
184,-0.17364074,0.4901179,-0.1518122,0.45711896,1850.0,-17.783575,0.675,9250.0,0.78999996
185,-0.17360629,0.49007043,-0.15180238,0.457051,1860.0,-13.720468,0.875,9300.0,0.77
186,-0.17355442,0.49003974,-0.15182362,0.45702863,1870.0,-13.285309,0.85,9350.0,0.77
187,-0.17362458,0.4900417,-0.15186866,0.4569567,1880.0,-14.181507,0.8,9400.0,0.7275
188,-0.17354514,0.49000815,-0.15184341,0.45692307,1890.0,-14.437928,0.675,9450.0,0.775
189,-0.17358477,0.48998454,-0.15189971,0.45687842,1900.0,-14.344236,0.725,9500.0,0.77
190,-0.17351209,0.4899458,-0.15187576,0.45685187,1910.0,-15.721655,0.7625,9550.0,0.75
191,-0.17358637,0.48995718,-0.15198183,0.45678535,1920.0,-18.336475,0.7375,9600.0,0.7375
192,-0.17363764,0.48992193,-0.15201524,0.4567094,1930.0,-17.743958,0.75,9650.0,0.745
193,-0.17359251,0.48987865,-0.15198217,0.456633,1940.0,-16.307987,0.8,9700.0,0.7575
194,-0.17344664,0.4898615,-0.15196459,0.45656618,1950.0,-16.81627,0.7625,9750.0,0.7225
195,-0.17338282,0.4898224,-0.15188661,0.4565182,1960.0,-15.418257,0.8,9800.0,0.8025
196,-0.17328781,0.48978794,-0.1518227,0.45645383,1970.0,-15.506716,0.7875,9850.0,0.80999994
197,-0.17321809,0.4897609,-0.15181708,0.45642748,1980.0,-14.699812,0.8,9900.0,0.7725
198,-0.17312801,0.4897978,-0.15179989,0.4564225,1990.0,-16.69109,0.7125,9950.0,0.745
199,-0.17299147,0.4897761,-0.15172549,0.45633176,2000.0,-14.410683,0.7875,10000.0,0.80499995
