# {"t_start": 1616084303.3884099, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,57.788264
-100.0,100,82.839905
-100.0,100,113.220157
-100.0,100,149.32073
-100.0,100,174.376144
-100.0,100,205.208841
-100.0,100,230.60088
-100.0,100,255.368573
-100.0,100,281.103955
-100.0,100,306.252696
-100.0,100,331.332175
-100.0,100,356.676059
-100.0,100,382.020772
-100.0,100,407.3927
-100.0,100,436.472287
-100.0,100,463.892462
-100.0,100,488.836134
-100.0,100,514.136359
-100.0,100,539.699975
-100.0,100,564.984827
-100.0,100,590.436533
-100.0,100,615.340002
-100.0,100,640.480348
-100.0,100,665.544652
-100.0,100,690.588487
-100.0,100,715.644342
-100.0,100,740.692529
-100.0,100,765.132399
-100.0,100,789.888257
-100.0,100,814.11666
-100.0,100,838.536037
-100.0,100,863.299889
-100.0,100,887.908855
-100.0,100,912.492304
-100.0,100,937.168597
-100.0,100,962.228546
-100.0,100,987.396125
-100.0,100,1012.84402
-100.0,100,1037.719892
-100.0,100,1062.716929
-100.0,100,1087.872811
-100.0,100,1112.66832
-100.0,100,1137.992898
-100.0,100,1162.516284
-100.0,100,1187.596848
-100.0,100,1212.611935
-100.0,100,1237.580684
-100.0,100,1263.068195
-100.0,100,1288.444543
-100.0,100,1313.439903
-100.0,100,1338.076854
-100.0,100,1360.345105
-100.0,100,1382.752862
-100.0,100,1405.365242
-100.0,100,1427.836076
-100.0,100,1450.360511
-100.0,100,1472.564206
-100.0,100,1494.904035
-100.0,100,1517.084061
-100.0,100,1539.504906
-100.0,100,1562.404462
-100.0,100,1587.363915
-100.0,100,1612.508442
-100.0,100,1637.70836
-100.0,100,1662.908121
-100.0,100,1687.868876
-100.0,100,1712.728211
-100.0,100,1737.939872
