epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.30652764,0.43471622,-0.13540815,0.42548758,10.0,-1.9964306,0.0,20.0,0.0
1,-0.33349922,0.4421828,-0.1479055,0.42451134,20.0,-2.770357,0.0,40.0,0.0
2,-0.34086588,0.4436935,-0.1468626,0.4212729,30.0,-3.6492434,0.0,60.0,0.0062500000931322575
3,-0.3526332,0.44482598,-0.15281129,0.41971692,40.0,-4.5148787,0.0,80.0,0.0
4,-0.35496977,0.44613957,-0.15239613,0.41978726,50.0,-3.9772532,0.11250000353902578,100.0,0.012500000186264515
5,-0.3575574,0.4463804,-0.15271005,0.41936025,60.0,-5.407385,0.05000000074505806,120.0,0.0
6,-0.35980627,0.44460535,-0.1533237,0.41738695,70.0,-6.739506,0.02500000037252903,140.0,0.05625000176951289
7,-0.360266,0.4451058,-0.15356246,0.41756296,80.0,-6.295154,0.15000000037252903,160.0,0.03125000046566129
8,-0.36101592,0.44610867,-0.15394522,0.41819343,90.0,-8.518856,0.012500000186264515,180.0,0.0437500006519258
9,-0.359098,0.44615543,-0.15233791,0.41797927,100.0,-8.501404,0.11250000633299351,200.0,0.0437500006519258
10,-0.36048114,0.445116,-0.1531687,0.41667777,110.0,-9.160692,0.05000000074505806,220.0,0.02500000037252903
11,-0.36134657,0.4451144,-0.15392467,0.41639662,120.0,-9.616663,0.11250000353902578,240.0,0.02500000037252903
12,-0.3623499,0.4457277,-0.15472446,0.41649792,130.0,-11.643291,0.012500000186264515,260.0,0.012500000186264515
13,-0.3605902,0.446501,-0.15320323,0.41662714,140.0,-12.689969,0.0,280.0,0.03125000046566129
14,-0.35763195,0.44696048,-0.15079036,0.41666278,150.0,-9.351912,0.18749999813735485,300.0,0.03750000102445483
15,-0.35970712,0.4471585,-0.15256087,0.41640717,160.0,-12.558424,0.037500000558793545,320.0,0.03750000102445483
16,-0.35892364,0.4476075,-0.15181132,0.41642874,170.0,-11.241135,0.1875,340.0,0.03125000046566129
17,-0.3585236,0.44791117,-0.15167797,0.4163948,180.0,-13.230728,0.1250000037252903,360.0,0.031250000931322575
18,-0.3581852,0.44874445,-0.15185054,0.41682142,190.0,-13.394878,0.1625,380.0,0.08125000400468707
19,-0.3560946,0.44825885,-0.15071428,0.41608697,200.0,-14.109682,0.12500000186264515,400.0,0.04375000111758709
20,-0.35709953,0.44737554,-0.1519629,0.41512543,210.0,-15.601018,0.15000000782310963,420.0,0.04375000111758709
