epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.37800595,0.43910325,-0.09244622,0.2185097,10.0,-3.2794385,0.0,50.0,0.0,1,-0.38522756,0.4420637,-0.09595699,0.21793602,20.0,-5.471369,0.0,100.0,0.0
2,-0.38101074,0.44250253,-0.09380465,0.2171966,30.0,-7.6956058,0.0,150.0,0.0
3,-0.38160908,0.44176283,-0.09389965,0.21632417,40.0,-9.863948,0.0,200.0,0.0
4,-0.38031986,0.4414899,-0.093234144,0.2158713,50.0,-12.018984,0.0,250.0,0.0
5,-0.3787754,0.44190362,-0.092519216,0.21592747,60.0,-14.150288,0.0,300.0,0.0
6,-0.38148502,0.44231927,-0.093570575,0.21579978,70.0,-16.176456,0.0,350.0,0.0
7,-0.3828139,0.44179273,-0.09437006,0.21528427,80.0,-18.195812,0.0,400.0,0.0
8,-0.38161394,0.44130054,-0.09371756,0.21485196,90.0,-20.242758,0.0,450.0,0.0
9,-0.3826083,0.4416503,-0.09423114,0.21497743,100.0,-22.195965,0.0,500.0,0.0
10,-0.38192284,0.4418812,-0.09411872,0.21506438,110.0,-24.098274,0.0,550.0,0.0
11,-0.38019386,0.4415982,-0.09352982,0.2150118,120.0,-25.954762,0.0,600.0,0.0
12,-0.38028815,0.44162285,-0.09376867,0.21504024,130.0,-27.795406,0.0,650.0,0.0
13,-0.37904224,0.44073722,-0.093329474,0.21467459,140.0,-29.521423,0.0,700.0,0.0
14,-0.3799782,0.4412578,-0.093864195,0.21503554,150.0,-31.258633,0.0,750.0,0.0
15,-0.37842885,0.44046602,-0.093231186,0.21478428,160.0,-32.94679,0.0,800.0,0.0
16,-0.3790582,0.43982923,-0.0935022,0.21469371,170.0,-34.5101,0.0,850.0,0.0
17,-0.37834942,0.43968865,-0.09318288,0.2148587,180.0,-36.09719,0.0,900.0,0.0
18,-0.37847856,0.4394771,-0.0932101,0.21501501,190.0,-37.709312,0.0,950.0,0.0
19,-0.37891975,0.43989277,-0.09331368,0.2154446,200.0,-39.180473,0.0,1000.0,0.0
20,-0.3787789,0.43933752,-0.09303875,0.21550243,210.0,-40.641243,0.0,1050.0,0.0
21,-0.37901697,0.43948364,-0.092943914,0.21594922,220.0,-42.063843,0.0,1100.0,0.0
22,-0.3785719,0.439392,-0.09255506,0.2162253,230.0,-43.460915,0.0,1150.0,0.0
23,-0.3785584,0.43951783,-0.09226886,0.21661203,240.0,-44.809452,0.0,1200.0,0.0
24,-0.3774034,0.4395001,-0.091518745,0.21696106,250.0,-46.12001,0.0,1250.0,0.0
25,-0.37799907,0.4394631,-0.091480836,0.21731412,260.0,-47.370766,0.0,1300.0,0.0
26,-0.3774344,0.43943837,-0.091048576,0.21762149,270.0,-48.623344,0.0,1350.0,0.0
27,-0.3780806,0.43922853,-0.09107619,0.21785985,280.0,-49.86205,0.0,1400.0,0.0
28,-0.3776766,0.4393215,-0.09067645,0.21819755,290.0,-51.03243,0.0,1450.0,0.0
29,-0.3778552,0.4387801,-0.09046881,0.21825767,300.0,-52.18495,0.0,1500.0,0.0
30,-0.3772806,0.43873945,-0.08997924,0.21848,310.0,-53.343388,0.0,1550.0,0.0
31,-0.3770332,0.4389621,-0.08972138,0.21878593,320.0,-54.386093,0.0,1600.0,0.0
32,-0.376322,0.438983,-0.08918006,0.21900418,330.0,-55.580605,0.0,1650.0,0.0
33,-0.3757653,0.4391851,-0.088800855,0.21926512,340.0,-56.5524,0.0,1700.0,0.0
34,-0.37617972,0.43867072,-0.08892458,0.21917285,350.0,-57.52971,0.0,1750.0,0.0
35,-0.37600496,0.43858612,-0.0889513,0.21927987,360.0,-58.58471,0.0,1800.0,0.0
36,-0.37573877,0.43875018,-0.089041196,0.2194344,370.0,-59.486797,0.0,1850.0,0.0
37,-0.37616208,0.43866515,-0.08942602,0.21941344,380.0,-60.30352,0.0,1900.0,0.0
38,-0.37634185,0.4384998,-0.08970266,0.21933076,390.0,-61.38182,0.0,1950.0,0.0
39,-0.37634197,0.4384451,-0.08985245,0.2192745,400.0,-62.280815,0.0,2000.0,0.0
40,-0.3761082,0.43843356,-0.08984641,0.21921635,410.0,-63.14808,0.0,2050.0,0.0
41,-0.37674055,0.4384922,-0.09021218,0.21914563,420.0,-64.2048,0.0,2100.0,0.0
42,-0.3767937,0.43847406,-0.09023345,0.21905255,430.0,-64.83891,0.0,2150.0,0.0
-6.2497263,0.90000004,1850.0,0.78749996
37,-0.32112482,0.4487107,-0.16084565,0.41096416,380.0,-5.6467257,0.975,1900.0,0.86
38,-0.32011566,0.44832042,-0.16083913,0.4107569,390.0,-5.580071,0.9625,1950.0,0.8625
39,-0.31907675,0.44848514,-0.16087545,0.41109076,400.0,-7.0118427,0.8625,2000.0,0.8825
40,-0.31807068,0.44834468,-0.16106889,0.4111722,410.0,-5.5532684,0.9875,2050.0,0.88
41,-0.31716225,0.44829658,-0.16127229,0.41122085,420.0,-5.5769873,0.775,2100.0,0.83
42,-0.3161942,0.44818255,-0.16129944,0.41132113,430.0,-6.1230197,0.9625,2150.0,0.88
43,-0.3152016,0.44811895,-0.16124551,0.41139644,440.0,-5.8688207,0.9375,2200.0,0.84250003
44,-0.31395686,0.44769415,-0.1610549,0.4111414,450.0,-5.59657,0.79999995,2250.0,0.90999997
