# {"t_start": 1616999646.0254738, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,50.016691
-100.0,100,83.567076
-100.0,100,117.107559
-100.0,100,148.566928
-100.0,100,179.854819
-100.0,100,209.942904
-100.0,100,242.06478
-100.0,100,288.410903
-100.0,100,320.23165
-100.0,100,357.106871
-100.0,100,388.798882
-100.0,100,421.359947
-100.0,100,458.11583
-100.0,100,488.682792
-100.0,100,519.295489
-100.0,100,550.074931
-100.0,100,581.742907
-100.0,100,613.646879
-100.0,100,644.954905
-100.0,100,677.504228
-100.0,100,708.578874
-100.0,100,741.547776
-100.0,100,770.910871
-100.0,100,802.411947
-100.0,100,833.034873
-100.0,100,863.998857
-100.0,100,893.978822
-100.0,100,926.386825
-100.0,100,957.494915
-100.0,100,988.463856
-100.0,100,1017.683011
-100.0,100,1048.936992
-100.0,100,1080.082881
-100.0,100,1111.614843
-100.0,100,1144.54286
-100.0,100,1176.774824
-100.0,100,1208.346874
-100.0,100,1240.879735
-100.0,100,1272.48402
-100.0,100,1302.900688
-100.0,100,1335.358851
-100.0,100,1366.60776
-100.0,100,1400.742865
-100.0,100,1431.802858
-100.0,100,1464.475443
-100.0,100,1493.90442
-100.0,100,1524.330886
-100.0,100,1554.870875
-100.0,100,1586.354861
-100.0,100,1617.583338
-100.0,100,1647.249919
-100.0,100,1674.227524
-100.0,100,1700.016078
-100.0,100,1726.774895
-100.0,100,1752.80286
-100.0,100,1778.250858
-100.0,100,1804.978869
-100.0,100,1831.243153
-100.0,100,1858.511092
-100.0,100,1885.634855
-100.0,100,1919.810894
-100.0,100,1952.218885
-100.0,100,1981.646864
-100.0,100,2012.602873
-100.0,100,2043.746873
-100.0,100,2075.291939
-100.0,100,2107.450879
-100.0,100,2137.863187
-100.0,100,2170.218868
-100.0,100,2201.854942
-100.0,100,2233.574861
-100.0,100,2264.738869
-100.0,100,2294.730867
-100.0,100,2326.582875
-100.0,100,2358.815708
-100.0,100,2390.54687
-100.0,100,2422.650851
-100.0,100,2454.215797
-100.0,100,2485.433112
-100.0,100,2517.818878
-100.0,100,2549.530843
-100.0,100,2578.376945
-100.0,100,2610.61077
-100.0,100,2639.718842
-100.0,100,2669.606942
-100.0,100,2701.402864
-100.0,100,2732.306869
-100.0,100,2763.194866
-100.0,100,2793.296054
-100.0,100,2825.270859
-100.0,100,2856.414906
-100.0,100,2886.778868
-100.0,100,2917.594851
-100.0,100,2949.538826
-100.0,100,2980.158862
-100.0,100,3010.674857
-100.0,100,3042.04685
-100.0,100,3072.523983
-100.0,100,3103.321231
-100.0,100,3134.098874
-100.0,100,3165.063532
-100.0,100,3197.678926
-100.0,100,3228.842866
-100.0,100,3260.498867
-100.0,100,3291.626886
-100.0,100,3321.16686
-100.0,100,3352.010894
-100.0,100,3383.250894
-100.0,100,3414.190883
-100.0,100,3444.342946
-100.0,100,3475.344168
-100.0,100,3502.326872
-100.0,100,3529.795738
-100.0,100,3556.090869
-100.0,100,3582.238852
-100.0,100,3608.839433
-100.0,100,3634.358868
-100.0,100,3661.227454
-100.0,100,3687.998913
-100.0,100,3715.466805
-100.0,100,3745.47292
-100.0,100,3778.978895
-100.0,100,3810.230903
-100.0,100,3842.042801
-100.0,100,3873.568113
-100.0,100,3905.211936
-100.0,100,3936.929735
