# {"t_start": 1616172419.7692928, "env_id": "dVRLPickRail-v0"} 
r,l,t
-352.221423,100,41.21709
-312.522704,100,55.539378
-222.35733,100,67.739091
-338.966974,100,80.453598
-353.671912,100,99.91552
-317.10629,100,113.007046
-162.110638,100,129.890985
-229.969209,100,146.420324
-250.419571,100,169.175844
-220.020039,100,181.246974
-265.062628,100,200.307153
-282.9152,100,213.750963
-155.6391,100,228.427133
-187.682948,100,242.867867
-133.170655,100,255.151055
-223.208683,100,268.827847
-262.34745,100,281.627379
-198.299371,100,296.968179
-124.745009,100,310.807602
-200.664639,100,338.011506
-141.042821,100,356.919149
-199.818835,100,381.4496
-215.543383,100,394.439003
-183.171123,100,415.403025
-151.341357,100,427.261734
-179.64089,100,441.179382
-115.11158,100,455.515734
-204.06139,100,471.74755
-200.453609,100,484.359709
-231.480353,100,497.139618
-172.220501,100,512.487226
-136.160875,100,523.449192
-132.720159,100,534.983102
-185.636058,100,548.275673
-181.500673,100,560.535033
-129.093199,100,571.427058
-180.988953,100,583.386144
-129.190842,100,601.723064
-174.626879,100,613.470938
-139.64402,100,626.228352
-148.884698,100,639.407065
-98.648092,100,653.219858
-146.021811,100,666.183201
-156.453171,100,678.207486
-136.949085,100,691.22747
-99.916382,100,702.878952
-147.02675,100,713.773992
-112.445744,100,727.529727
-108.31899,100,741.439902
-158.653037,100,755.12795
-137.687637,100,767.891468
-160.252634,100,775.712424
-102.056274,100,783.190063
-111.147503,100,790.193449
-117.636981,100,797.68782
-108.324155,100,806.332447
-108.410186,100,813.783612
-119.889553,100,821.159248
-148.282512,100,829.099395
-83.187088,100,837.56728
-115.121688,100,845.427035
-112.005123,100,857.823154
-84.682031,100,876.378942
-118.114312,100,887.041589
-91.173256,100,899.756145
-87.930109,100,912.439582
-97.78413,100,923.318974
-88.581724,100,938.460215
-78.586748,100,949.602026
-94.956821,100,963.596064
-113.987989,100,975.262741
-78.291466,100,989.719069
-68.672959,100,1000.907
-82.795189,100,1011.775717
-165.603037,100,1024.252062
-194.013168,100,1034.015671
-117.883355,100,1058.357322
-121.295003,100,1069.45896
-148.835602,100,1082.324134
-77.632242,100,1095.214286
-105.491196,100,1106.752928
-106.804351,100,1121.707123
