epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.07026846,0.13407359,0.007187839,0.12697572,10.0,-3.6040561,0.0,50.0,0.215
1,-0.08422653,0.14279616,-0.0013657595,0.1481771,20.0,-3.839369,0.4375,100.0,0.7925
2,-0.09378126,0.14414054,-0.007670626,0.15467359,30.0,-3.88241,0.0,150.0,0.8925
3,-0.0970675,0.14377515,-0.010392451,0.15710203,40.0,-4.122921,0.0,200.0,0.8925
4,-0.09801239,0.14280185,-0.011905556,0.15795544,50.0,-4.1553946,0.0,250.0,0.8875
5,-0.09943428,0.1426227,-0.013275163,0.15875043,60.0,-4.348588,0.0,300.0,0.8725
6,-0.10092115,0.1424136,-0.014632574,0.15929247,70.0,-4.4336853,0.0,350.0,0.8899999999999999
7,-0.10187895,0.14203356,-0.01555988,0.1594359,80.0,-4.679989,0.0,400.0,0.8725
8,-0.101720266,0.14177178,-0.01570566,0.15956819,90.0,-4.46609,0.0,450.0,0.9024999999999999
9,-0.10218724,0.14154501,-0.016253518,0.15967992,100.0,-4.4242907,0.0,500.0,0.8825
10,-0.10244733,0.14118896,-0.016509136,0.15964787,110.0,-4.6595793,0.0,550.0,0.875
11,-0.10269841,0.14075044,-0.016769912,0.15943222,120.0,-4.310824,0.0,600.0,0.88
12,-0.103063345,0.140535,-0.017051784,0.15944095,130.0,-4.2442627,0.0,650.0,0.8725
13,-0.10314699,0.14018263,-0.0171931,0.15929635,140.0,-4.254134,0.0,700.0,0.885
14,-0.103433125,0.13998736,-0.017373757,0.15931821,150.0,-4.2197056,0.0,750.0,0.895
15,-0.10345715,0.13978766,-0.01742448,0.15934454,160.0,-4.217151,0.0,800.0,0.8724999999999999
16,-0.103492446,0.1395532,-0.017494898,0.15934066,170.0,-3.9047718,0.0,850.0,0.8799999999999999
17,-0.10370535,0.13921283,-0.01765254,0.1592661,180.0,-4.168997,0.0,900.0,0.8625
