epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.091504335,0.43830824,0.14811246,0.23119955,10.0,-2.8442993,0.0,50.0,0.02
1,0.10842323,0.42012736,0.15466397,0.2105609,20.0,-4.3125033,0.2,100.0,0.0
2,0.104370214,0.40716267,0.14543992,0.20128725,30.0,-6.818862,0.2,150.0,0.04
3,0.08077828,0.40409794,0.121081896,0.21971035,40.0,-7.139684,0.3,200.0,0.24
4,0.060923103,0.41131592,0.10112583,0.24487288,50.0,-6.653039,0.5,250.0,0.36
5,0.038760904,0.42119548,0.08016225,0.26900938,60.0,-3.6595356,0.8,300.0,0.48
6,0.020953074,0.43564662,0.06196757,0.30176786,70.0,-8.63325,0.5,350.0,0.58
7,-0.0019061019,0.4492117,0.038297106,0.33043516,80.0,-6.975123,0.6,400.0,0.5
8,-0.023875743,0.45987487,0.015995124,0.3505361,90.0,-7.3425584,0.6,450.0,0.66
9,-0.044418987,0.46471167,-0.0048932335,0.3630376,100.0,-12.158387,0.3,500.0,0.46
10,-0.054224208,0.46623817,-0.015335719,0.3699399,110.0,-5.272854,0.8,550.0,0.54
11,-0.06322707,0.46717933,-0.024987018,0.37490657,120.0,-8.095411,0.6,600.0,0.48
12,-0.07319635,0.47116712,-0.0346591,0.38135934,130.0,-19.32716,0.1,650.0,0.5
13,-0.08221941,0.46915555,-0.043230575,0.381418,140.0,-5.641589,0.8,700.0,0.46
14,-0.08559549,0.47104907,-0.04706568,0.38533297,150.0,-13.708376,0.4,750.0,0.48
15,-0.086701594,0.46857992,-0.048496455,0.38414583,160.0,-5.9583583,0.8,800.0,0.52
16,-0.089040644,0.46994066,-0.050482396,0.38616303,170.0,-11.472083,0.6,850.0,0.46
17,-0.089806505,0.4700803,-0.051222574,0.38708505,180.0,-17.256538,0.3,900.0,0.46
18,-0.092294246,0.46976694,-0.053353194,0.3871708,190.0,-10.241508,0.6,950.0,0.5
19,-0.09398961,0.468261,-0.054360837,0.38603243,200.0,-16.843807,0.4,1000.0,0.42
20,-0.09892126,0.46608207,-0.058170583,0.38405216,210.0,-10.2092905,0.7,1050.0,0.42
21,-0.09812822,0.4653333,-0.057815615,0.38393974,220.0,-9.60424,0.7,1100.0,0.48
22,-0.09817525,0.46472323,-0.058366716,0.38381016,230.0,-20.510519,0.4,1150.0,0.48
23,-0.09679975,0.4637667,-0.057285145,0.38300714,240.0,-21.438313,0.4,1200.0,0.5
24,-0.09794474,0.46484673,-0.058450896,0.38404045,250.0,-27.332205,0.3,1250.0,0.5
25,-0.10017377,0.462319,-0.060694795,0.38214836,260.0,-15.602205,0.5,1300.0,0.54
26,-0.09914749,0.4613811,-0.059862386,0.381315,270.0,-17.58567,0.6,1350.0,0.48
27,-0.10052904,0.4610648,-0.061347187,0.38100252,280.0,-11.989607,0.6,1400.0,0.42
28,-0.09927418,0.4598409,-0.059800122,0.37969032,290.0,-20.136728,0.5,1450.0,0.42
29,-0.100505985,0.45960748,-0.06058769,0.37906814,300.0,-6.366275,0.9,1500.0,0.44
30,-0.10002568,0.45879126,-0.0602445,0.37859797,310.0,-32.93531,0.2,1550.0,0.56
31,-0.097661994,0.45852408,-0.05809136,0.3784999,320.0,-21.092674,0.5,1600.0,0.36
32,-0.098379456,0.4579836,-0.058742125,0.37844166,330.0,-21.981495,0.6,1650.0,0.54
33,-0.10010958,0.458326,-0.060686644,0.37963513,340.0,-20.305973,0.6,1700.0,0.6
34,-0.09973386,0.45811915,-0.060535368,0.38021982,350.0,-16.828335,0.7,1750.0,0.64
35,-0.09971317,0.457975,-0.060372043,0.3801252,360.0,-28.10563,0.4,1800.0,0.34
36,-0.09940046,0.45743823,-0.060228568,0.37984383,370.0,-15.9497175,0.7,1850.0,0.58
37,-0.100075625,0.45663795,-0.060975377,0.37934837,380.0,-23.188595,0.6,1900.0,0.46
38,-0.10092924,0.4569563,-0.06189981,0.37967423,390.0,-10.085386,0.8,1950.0,0.4
39,-0.10178759,0.45665872,-0.06254557,0.3794291,400.0,-16.866346,0.7,2000.0,0.48
40,-0.101461686,0.45679048,-0.06225599,0.38000798,410.0,-28.851898,0.5,2050.0,0.48
41,-0.0999494,0.4563273,-0.060968924,0.3794258,420.0,-27.669521,0.5,2100.0,0.5
42,-0.09955379,0.45597318,-0.0609957,0.37946308,430.0,-32.575138,0.5,2150.0,0.56
43,-0.09929863,0.45637754,-0.061022613,0.38016877,440.0,-35.67262,0.4,2200.0,0.56
44,-0.09953233,0.4554222,-0.06111826,0.3790209,450.0,-22.676846,0.6,2250.0,0.44
45,-0.09880086,0.4565079,-0.06036232,0.38022617,460.0,-15.815023,0.7,2300.0,0.48
46,-0.09762124,0.4570137,-0.059227586,0.38070068,470.0,-20.384417,0.6,2350.0,0.42
47,-0.09748695,0.4563357,-0.05907033,0.38011622,480.0,-39.444996,0.0,2400.0,0.5
48,-0.09858083,0.45697287,-0.060173575,0.3811091,490.0,-27.358181,0.6,2450.0,0.52
49,-0.09936582,0.4569274,-0.060973287,0.381088,500.0,-39.414246,0.4,2500.0,0.46
50,-0.09927886,0.45691255,-0.0609782,0.3810644,510.0,-15.441536,0.8,2550.0,0.46
51,-0.10049504,0.45705688,-0.06203595,0.38146138,520.0,-35.364246,0.4,2600.0,0.5
52,-0.10007721,0.457948,-0.061821986,0.38247892,530.0,-13.823138,0.8,2650.0,0.54
53,-0.09949452,0.45742664,-0.061252464,0.38188994,540.0,-22.573162,0.6,2700.0,0.4
54,-0.10030952,0.457819,-0.061870825,0.38248292,550.0,-25.655691,0.6,2750.0,0.58
55,-0.09994886,0.45851803,-0.06138891,0.38322082,560.0,-18.108734,0.6,2800.0,0.52
56,-0.10049251,0.4582866,-0.061648365,0.38300422,570.0,-38.72188,0.4,2850.0,0.3
57,-0.10104507,0.45736232,-0.0621372,0.38219908,580.0,-30.89418,0.5,2900.0,0.52
58,-0.10099342,0.45729756,-0.062078148,0.38232008,590.0,-40.90436,0.4,2950.0,0.56
59,-0.10123911,0.45722345,-0.06238918,0.38249847,600.0,-27.15542,0.6,3000.0,0.56
60,-0.100029804,0.45836678,-0.061143115,0.38349056,610.0,-46.555504,0.4,3050.0,0.42
61,-0.09948754,0.45833102,-0.060853828,0.383584,620.0,-43.35132,0.2,3100.0,0.6
62,-0.09972539,0.45828807,-0.060995925,0.38346818,630.0,-28.365093,0.6,3150.0,0.44
63,-0.099974595,0.45836124,-0.06092144,0.3834127,640.0,-55.006813,0.2,3200.0,0.48
64,-0.098232605,0.4601104,-0.059297305,0.38509718,650.0,-28.197586,0.6,3250.0,0.48
65,-0.09764982,0.46077213,-0.058788374,0.38554046,660.0,-48.228794,0.3,3300.0,0.42
66,-0.09670806,0.46218595,-0.05783674,0.38653007,670.0,-30.237158,0.5,3350.0,0.42
67,-0.09668233,0.46300516,-0.05766755,0.38758466,680.0,-19.880224,0.7,3400.0,0.5
68,-0.09578693,0.46332934,-0.05700505,0.38779768,690.0,-28.027523,0.5,3450.0,0.5
69,-0.095698945,0.4635706,-0.056782093,0.38805246,700.0,-36.237392,0.5,3500.0,0.54
70,-0.095346816,0.46430394,-0.05642147,0.388742,710.0,-46.194717,0.3,3550.0,0.5
71,-0.095848195,0.46495414,-0.056639154,0.38928083,720.0,-56.476818,0.2,3600.0,0.44
72,-0.0957759,0.46661237,-0.05644511,0.3906506,730.0,-36.167294,0.5,3650.0,0.36
73,-0.096265055,0.46727577,-0.05691585,0.39159942,740.0,-42.960663,0.4,3700.0,0.64
74,-0.095500655,0.46767974,-0.056333378,0.39191046,750.0,-52.32609,0.3,3750.0,0.5
75,-0.095321916,0.46867684,-0.05619958,0.3930066,760.0,-39.656467,0.4,3800.0,0.36
76,-0.09614203,0.46860567,-0.05704568,0.39323175,770.0,-58.948326,0.1,3850.0,0.52
77,-0.09644111,0.46865472,-0.057374317,0.3934822,780.0,-39.272285,0.5,3900.0,0.5
78,-0.097113274,0.46868768,-0.05793695,0.39361134,790.0,-31.546682,0.5,3950.0,0.5
79,-0.09737783,0.46793213,-0.05829407,0.3929343,800.0,-50.69059,0.3,4000.0,0.46
80,-0.09786418,0.4680209,-0.058830976,0.39300796,810.0,-33.91901,0.5,4050.0,0.52
81,-0.09901216,0.467847,-0.059853077,0.39298657,820.0,-26.500244,0.6,4100.0,0.52
82,-0.09933424,0.46791342,-0.060270205,0.39321792,830.0,-34.602455,0.5,4150.0,0.64
83,-0.09998151,0.46823892,-0.060777813,0.3933002,840.0,-29.835388,0.5,4200.0,0.42
84,-0.100982286,0.46867874,-0.061615214,0.39367795,850.0,-32.642387,0.5,4250.0,0.4
85,-0.10228189,0.46870133,-0.062772565,0.3938713,860.0,-33.40485,0.5,4300.0,0.46
86,-0.10264975,0.4687973,-0.06312174,0.39395937,870.0,-16.753141,0.8,4350.0,0.5
87,-0.102950305,0.4687948,-0.063438825,0.39413047,880.0,-18.09597,0.7,4400.0,0.54
88,-0.10345032,0.46939442,-0.0639692,0.39478132,890.0,-45.16966,0.4,4450.0,0.44
89,-0.10455679,0.46955982,-0.06506458,0.39493826,900.0,-40.682983,0.4,4500.0,0.32
90,-0.10524741,0.469376,-0.065848716,0.39488828,910.0,-36.93748,0.5,4550.0,0.46
91,-0.107267916,0.46983433,-0.06762767,0.39531222,920.0,-38.221626,0.5,4600.0,0.5
92,-0.10814297,0.46980324,-0.06850267,0.3953962,930.0,-32.57954,0.5,4650.0,0.58
93,-0.109435536,0.46949053,-0.069652356,0.39519334,940.0,-63.94452,0.2,4700.0,0.54
94,-0.10988399,0.469278,-0.07016239,0.39512464,950.0,-35.34321,0.4,4750.0,0.46
95,-0.1102164,0.4696293,-0.07051105,0.39538145,960.0,-17.200214,0.8,4800.0,0.4
96,-0.11032649,0.46950665,-0.07065924,0.39537,970.0,-39.434807,0.5,4850.0,0.62
97,-0.110468276,0.4693223,-0.07089718,0.39530444,980.0,-25.336071,0.7,4900.0,0.58
98,-0.111318536,0.4688754,-0.071608834,0.39490822,990.0,-44.311607,0.4,4950.0,0.4
99,-0.11143295,0.46864402,-0.071499385,0.39468607,1000.0,-31.159046,0.5,5000.0,0.44
100,-0.1116107,0.468681,-0.0717717,0.39478445,1010.0,-18.025417,0.8,5050.0,0.56
101,-0.11243648,0.4686562,-0.0725266,0.3948735,1020.0,-38.907543,0.4,5100.0,0.54
102,-0.11326883,0.46810022,-0.07322956,0.394374,1030.0,-24.891104,0.7,5150.0,0.46
103,-0.114218496,0.4678491,-0.07393217,0.39413,1040.0,-24.838305,0.6,5200.0,0.44
104,-0.11455212,0.46744823,-0.074035816,0.39371118,1050.0,-42.29897,0.5,5250.0,0.42
105,-0.11467564,0.46740437,-0.07415079,0.39379147,1060.0,-32.779655,0.6,5300.0,0.58
106,-0.114343904,0.4675599,-0.073779315,0.39393225,1070.0,-39.64509,0.5,5350.0,0.42
107,-0.11434063,0.4676226,-0.07365659,0.3941176,1080.0,-42.788475,0.5,5400.0,0.42
108,-0.114307545,0.46760026,-0.073638014,0.39412615,1090.0,-39.993874,0.5,5450.0,0.58
109,-0.11401432,0.46791992,-0.073247865,0.3944238,1100.0,-61.250916,0.3,5500.0,0.42
110,-0.11342355,0.46818444,-0.07283143,0.39451876,1110.0,-36.45986,0.6,5550.0,0.38
111,-0.11332562,0.46809688,-0.072686575,0.39435956,1120.0,-58.89569,0.3,5600.0,0.5
112,-0.11324579,0.46807227,-0.07262838,0.3942549,1130.0,-32.54974,0.6,5650.0,0.5
113,-0.113457285,0.46790513,-0.07278537,0.394119,1140.0,-50.429123,0.3,5700.0,0.5
114,-0.11343765,0.4677877,-0.07285206,0.39424923,1150.0,-35.181892,0.6,5750.0,0.74
