# {"t_start": 1615915560.731274, "env_id": "dVRLReach-v0"} 
r,l,t
-100.0,100,18.21509
-100.0,100,21.690758
-100.0,100,24.946112
-100.0,100,28.191153
-100.0,100,31.295024
-100.0,100,34.4786
-100.0,100,37.700147
-100.0,100,40.746284
-100.0,100,43.755306
-100.0,100,46.812133
-100.0,100,49.936444
-100.0,100,53.087067
-100.0,100,56.249061
-100.0,100,59.325506
-100.0,100,62.465013
-100.0,100,65.566787
-100.0,100,68.660046
-100.0,100,71.826616
-100.0,100,74.920385
-100.0,100,78.182962
-100.0,100,81.344037
-100.0,100,84.553934
-100.0,100,87.841221
-100.0,100,90.978601
-16.0,100,94.236349
-100.0,100,97.401857
-100.0,100,100.706075
-100.0,100,104.001964
-100.0,100,107.253032
-100.0,100,110.544586
-100.0,100,113.79934
-100.0,100,117.19726
-100.0,100,120.631182
-100.0,100,124.043931
-100.0,100,127.252319
-100.0,100,130.600547
-100.0,100,133.832142
-100.0,100,137.010658
-100.0,100,140.327457
-100.0,100,143.564196
-100.0,100,146.869079
-100.0,100,150.090798
-100.0,100,153.346765
-100.0,100,156.62504
-100.0,100,159.958114
-100.0,100,163.171154
-100.0,100,166.448624
-100.0,100,169.752335
-100.0,100,173.048321
-100.0,100,176.448642
-100.0,100,179.760647
-100.0,100,181.920312
-100.0,100,184.082706
-100.0,100,186.249994
-100.0,100,188.411179
-100.0,100,190.574568
-100.0,100,192.73676
-100.0,100,194.899762
-75.0,100,197.05651
-100.0,100,199.214902
-100.0,100,201.420957
-100.0,100,204.738205
-100.0,100,207.963276
-100.0,100,211.234303
-100.0,100,214.528864
-100.0,100,217.974749
-100.0,100,221.419696
-100.0,100,224.710654
-100.0,100,228.029942
-100.0,100,231.407671
-100.0,100,234.725948
-100.0,100,238.111119
-100.0,100,241.321343
-100.0,100,244.769849
-100.0,100,248.03789
-100.0,100,251.275265
-100.0,100,254.591315
-100.0,100,257.861137
-100.0,100,261.308651
-100.0,100,264.606879
-100.0,100,267.833711
-100.0,100,271.167254
-100.0,100,274.529629
-100.0,100,277.871584
-100.0,100,281.167912
-100.0,100,284.412618
-100.0,100,287.676019
-100.0,100,290.958061
-100.0,100,294.446424
-100.0,100,297.758357
-100.0,100,300.935726
-100.0,100,304.195107
-100.0,100,307.424707
-100.0,100,310.79557
-100.0,100,314.085021
-100.0,100,317.559818
-100.0,100,320.859929
-100.0,100,324.226239
-100.0,100,327.56932
-100.0,100,330.858331
-100.0,100,334.285243
-100.0,100,337.592859
-100.0,100,340.999382
-100.0,100,344.266351
-100.0,100,347.520847
-100.0,100,350.832647
-100.0,100,354.071924
-100.0,100,357.318215
-100.0,100,360.663438
-100.0,100,363.915264
-100.0,100,367.313201
-100.0,100,369.487276
-100.0,100,371.642418
-100.0,100,373.794643
-2.0,100,375.948497
-100.0,100,378.107475
-100.0,100,380.260002
-16.0,100,382.42943
-100.0,100,384.582458
-100.0,100,386.746051
-100.0,100,388.913843
-100.0,100,392.220658
-100.0,100,395.515034
-100.0,100,398.838553
-6.0,100,402.176214
-100.0,100,405.537004
-100.0,100,408.892071
-100.0,100,412.290701
-100.0,100,415.702437
-100.0,100,419.10936
-100.0,100,422.29406
-100.0,100,425.785444
-100.0,100,429.167727
-100.0,100,432.432681
-100.0,100,435.642399
-100.0,100,439.004305
-100.0,100,442.384471
-100.0,100,445.723229
-100.0,100,448.947421
-100.0,100,452.296636
-100.0,100,455.62084
-100.0,100,458.979856
-100.0,100,462.340201
-100.0,100,465.768268
-100.0,100,469.13345
-100.0,100,472.576872
-100.0,100,475.844049
-100.0,100,479.278965
-100.0,100,482.784875
-100.0,100,486.074615
-100.0,100,489.381039
-100.0,100,492.690873
-100.0,100,496.084768
-100.0,100,499.693992
-100.0,100,502.965287
-100.0,100,506.292508
-100.0,100,509.792287
-100.0,100,513.248736
-100.0,100,516.565976
-100.0,100,520.010773
-100.0,100,523.277469
-3.0,100,526.551348
-100.0,100,529.929981
-100.0,100,533.196763
-100.0,100,536.447451
-100.0,100,539.677256
-100.0,100,543.001183
-100.0,100,546.334899
-100.0,100,549.656307
-100.0,100,553.063904
-100.0,100,556.583957
-100.0,100,558.745052
-100.0,100,560.903335
-100.0,100,563.071525
-100.0,100,565.231656
-5.0,100,567.399384
-100.0,100,569.553258
-100.0,100,571.712803
-92.0,100,573.881152
-100.0,100,576.035066
-100.0,100,578.198667
-100.0,100,581.586539
-100.0,100,585.0035
-100.0,100,588.342629
-100.0,100,591.607999
-100.0,100,594.989061
-100.0,100,598.44474
-18.0,100,601.75439
-100.0,100,605.142963
-100.0,100,608.714842
-70.0,100,612.080992
-100.0,100,615.435026
-100.0,100,618.888759
-100.0,100,622.246519
-100.0,100,625.582594
-100.0,100,628.963513
-100.0,100,632.273706
-100.0,100,635.889978
-100.0,100,639.301826
