# {"t_start": 1616086631.2956724, "env_id": "dVRLReach-v0"} 
r,l,t
-100.0,100,18.347521
-100.0,100,21.698977
-100.0,100,24.89623
-100.0,100,28.073857
-100.0,100,31.182732
-100.0,100,34.326824
-100.0,100,37.517656
-100.0,100,40.603326
-100.0,100,43.727329
-100.0,100,46.889745
-100.0,100,50.017439
-100.0,100,53.078703
-100.0,100,56.158332
-100.0,100,59.310026
-100.0,100,62.465811
-100.0,100,65.624053
-100.0,100,68.695404
-100.0,100,71.830809
-100.0,100,75.044853
-100.0,100,78.322769
-100.0,100,81.740916
-100.0,100,85.082877
-100.0,100,88.498637
-100.0,100,91.94697
-100.0,100,95.198195
-100.0,100,98.589902
-100.0,100,101.948579
-100.0,100,105.289805
-100.0,100,108.572375
-100.0,100,111.943423
-100.0,100,115.48492
-100.0,100,118.929606
-100.0,100,122.338121
-100.0,100,125.967568
-100.0,100,129.392067
-100.0,100,132.623286
-100.0,100,135.998158
-100.0,100,139.524981
-100.0,100,143.076648
-100.0,100,146.351815
-100.0,100,149.688812
-100.0,100,153.316934
-100.0,100,156.869874
-100.0,100,160.227461
-100.0,100,163.728348
-100.0,100,167.087591
-100.0,100,170.460741
-100.0,100,173.852481
-100.0,100,177.426052
-100.0,100,181.250475
-100.0,100,184.746467
-100.0,100,186.917307
-100.0,100,189.0771
-100.0,100,191.253951
-100.0,100,193.417384
-100.0,100,195.596482
-100.0,100,197.787349
-100.0,100,199.984655
-100.0,100,202.204163
-100.0,100,204.614996
-100.0,100,206.875529
-91.0,100,210.298451
-100.0,100,213.667572
-100.0,100,216.969536
-100.0,100,220.358881
-100.0,100,223.886624
-100.0,100,227.359508
-100.0,100,230.86888
-100.0,100,234.852994
-100.0,100,238.487
-100.0,100,241.882552
-100.0,100,245.357291
-100.0,100,248.800694
-100.0,100,252.061091
-100.0,100,255.621438
-100.0,100,259.800587
-100.0,100,263.877571
-100.0,100,267.895338
-100.0,100,271.682379
-100.0,100,275.66338
-100.0,100,279.727588
-100.0,100,283.635657
-100.0,100,287.819338
-100.0,100,291.776597
-100.0,100,295.768494
-100.0,100,299.842834
-100.0,100,303.773418
-100.0,100,307.547282
-100.0,100,311.556448
-100.0,100,315.646312
-100.0,100,319.535721
-100.0,100,323.349219
-100.0,100,327.151316
-100.0,100,331.152984
-100.0,100,335.217564
-100.0,100,339.073801
-100.0,100,342.938457
-100.0,100,346.998738
-100.0,100,350.955278
-100.0,100,354.687855
-100.0,100,358.558819
-100.0,100,362.644442
-100.0,100,366.640453
-100.0,100,370.363109
-100.0,100,373.735178
-100.0,100,377.521877
-100.0,100,381.000469
-100.0,100,384.410503
-100.0,100,388.116697
-100.0,100,391.560502
-100.0,100,395.100341
-100.0,100,397.28733
-100.0,100,399.484702
-100.0,100,401.666665
-100.0,100,403.879607
-100.0,100,406.094228
-100.0,100,408.363033
-100.0,100,410.58339
-100.0,100,412.974319
-100.0,100,415.204476
-100.0,100,417.41546
-100.0,100,420.90678
-100.0,100,424.393444
-100.0,100,427.808855
-100.0,100,431.361294
-100.0,100,434.929167
-100.0,100,438.960687
-100.0,100,442.351073
-100.0,100,445.69642
-100.0,100,449.233644
-100.0,100,452.642678
-100.0,100,456.197851
-100.0,100,459.729359
-100.0,100,463.599254
-100.0,100,467.041889
-100.0,100,470.457253
-100.0,100,473.881112
-100.0,100,477.588135
-100.0,100,481.110378
-100.0,100,484.51086
-100.0,100,488.108768
-100.0,100,491.78974
-100.0,100,495.389188
-100.0,100,498.865462
-100.0,100,502.389226
-100.0,100,505.788602
-100.0,100,509.26626
-100.0,100,513.101915
-100.0,100,516.573964
-100.0,100,520.083338
