epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.08451428,0.36807862,-0.006576219,0.13252072,10.0,-2.8474538,0.0,50.0,0.0
1,-0.08808223,0.3507876,-0.01084141,0.122032225,20.0,-5.1986504,0.0,100.0,0.02
2,-0.08579006,0.35703206,-0.012977277,0.1214531,30.0,-6.903661,0.0,150.0,0.0
3,-0.08399987,0.3515509,-0.0122855725,0.11507825,40.0,-9.191179,0.0,200.0,0.0
4,-0.08424912,0.35501036,-0.012489282,0.115068324,50.0,-11.326441,0.0,250.0,0.0
5,-0.08184034,0.35975555,-0.011545971,0.12377564,60.0,-13.467847,0.0,300.0,0.02
6,-0.086497046,0.3606143,-0.014904715,0.13003512,70.0,-14.275322,0.0,350.0,0.06
7,-0.0918415,0.3611884,-0.018916067,0.13916835,80.0,-16.055553,0.1,400.0,0.04
8,-0.09566593,0.36357856,-0.02224121,0.15109283,90.0,-16.972406,0.1,450.0,0.08
9,-0.10162255,0.36515462,-0.027167246,0.1622201,100.0,-18.487265,0.2,500.0,0.24
10,-0.106941015,0.36900476,-0.032210834,0.17536034,110.0,-13.863126,0.4,550.0,0.26
11,-0.10982568,0.3746923,-0.03606826,0.1935503,120.0,-22.057253,0.2,600.0,0.38
12,-0.113284536,0.3800181,-0.040753473,0.2090192,130.0,-10.58707,0.7,650.0,0.38
13,-0.11853838,0.3875793,-0.04651377,0.22575669,140.0,-11.369745,0.6,700.0,0.42
14,-0.11963356,0.39641646,-0.048911642,0.24407512,150.0,-16.268991,0.5,750.0,0.52
15,-0.12799394,0.40216565,-0.05666103,0.2566652,160.0,-15.383825,0.6,800.0,0.52
16,-0.13701761,0.4083712,-0.06523291,0.27110973,170.0,-18.447681,0.5,850.0,0.66
17,-0.14366604,0.41759458,-0.071601026,0.2870189,180.0,-10.490595,0.8,900.0,0.68
18,-0.15169452,0.42754444,-0.08011151,0.30462882,190.0,-10.93356,1.0,950.0,0.84
19,-0.15886848,0.43673214,-0.08754536,0.3198531,200.0,-9.73784,0.8,1000.0,0.8
20,-0.16646796,0.443643,-0.09536687,0.3325064,210.0,-5.4622226,0.9,1050.0,0.84
21,-0.17321624,0.4476881,-0.1026131,0.34182107,220.0,-7.3155236,0.7,1100.0,0.88
22,-0.17908156,0.45315456,-0.10932618,0.35255107,230.0,-5.0257325,1.0,1150.0,0.84
23,-0.18901533,0.45901468,-0.11880317,0.3619893,240.0,-4.66517,1.0,1200.0,0.8
24,-0.19605048,0.46363392,-0.12603554,0.369994,250.0,-4.9756885,0.9,1250.0,0.88
25,-0.2003854,0.46642312,-0.13090056,0.37585577,260.0,-6.0385714,0.7,1300.0,0.9
26,-0.20613731,0.46858683,-0.136788,0.3805081,270.0,-7.408661,0.8,1350.0,0.86
27,-0.21216726,0.4712793,-0.14268388,0.38540554,280.0,-4.9725733,0.9,1400.0,0.84
28,-0.21563548,0.4733852,-0.14691375,0.38980737,290.0,-6.283994,0.8,1450.0,0.94
29,-0.2175346,0.4750043,-0.14949335,0.39322233,300.0,-4.297189,1.0,1500.0,0.8
30,-0.21920252,0.47634348,-0.15201607,0.3962246,310.0,-6.4262238,0.9,1550.0,0.8
31,-0.22348867,0.47726575,-0.15636592,0.39883694,320.0,-5.327808,0.9,1600.0,0.88
32,-0.22904843,0.47858024,-0.16183452,0.40172538,330.0,-7.2998114,0.9,1650.0,0.88
33,-0.23014022,0.47898015,-0.16364099,0.4035587,340.0,-5.8165884,0.9,1700.0,0.88
34,-0.23255612,0.4809972,-0.16638167,0.4068129,350.0,-5.4662414,0.9,1750.0,0.84
35,-0.2356057,0.48309913,-0.16944373,0.4099375,360.0,-3.8919995,1.0,1800.0,0.82
36,-0.23768534,0.4838872,-0.17179282,0.4117297,370.0,-5.336657,0.9,1850.0,0.88
37,-0.2428398,0.48477864,-0.17659621,0.41382042,380.0,-8.051909,0.8,1900.0,0.92
38,-0.24307883,0.4855186,-0.1774038,0.41549477,390.0,-5.726315,0.8,1950.0,0.88
39,-0.24462621,0.48559582,-0.17930204,0.41660556,400.0,-2.4834077,1.0,2000.0,0.9
40,-0.2465537,0.48567307,-0.1813808,0.41760027,410.0,-5.7701483,0.9,2050.0,0.88
41,-0.24937432,0.48621985,-0.18404424,0.41918734,420.0,-7.6902304,0.8,2100.0,0.94
42,-0.25143054,0.4862423,-0.18624865,0.4202174,430.0,-5.610997,0.9,2150.0,0.94
43,-0.25401172,0.48614916,-0.1888661,0.42101136,440.0,-9.536958,0.8,2200.0,0.94
44,-0.2556523,0.48591387,-0.19069129,0.4213694,450.0,-4.661922,1.0,2250.0,0.88
45,-0.2575685,0.48615608,-0.19279484,0.42241165,460.0,-3.618852,0.9,2300.0,0.92
46,-0.25744975,0.48622897,-0.19284265,0.42309806,470.0,-7.7274714,0.9,2350.0,0.86
47,-0.25882056,0.48633686,-0.19428243,0.42377564,480.0,-2.520043,1.0,2400.0,0.92
48,-0.260372,0.48747823,-0.19577931,0.42530274,490.0,-11.561468,0.6,2450.0,0.82
49,-0.2619526,0.48739585,-0.19737087,0.42592728,500.0,-8.045516,0.8,2500.0,0.86
50,-0.26307094,0.48747993,-0.19849594,0.426464,510.0,-7.880351,0.9,2550.0,0.84
51,-0.26464847,0.48784128,-0.20016038,0.42736518,520.0,-10.1008005,0.8,2600.0,0.92
52,-0.26598367,0.4870386,-0.2015025,0.42717147,530.0,-6.4849176,0.9,2650.0,0.88
53,-0.26614225,0.4868001,-0.20190294,0.42749795,540.0,-17.352015,0.7,2700.0,0.86
54,-0.2670913,0.48659375,-0.2028584,0.4278307,550.0,-9.254386,0.8,2750.0,0.84
55,-0.26687875,0.48676372,-0.2028075,0.4284222,560.0,-8.37345,0.9,2800.0,0.78
56,-0.2678915,0.4868634,-0.20390578,0.4289658,570.0,-3.0944116,1.0,2850.0,0.9
57,-0.26907057,0.4867623,-0.20513904,0.42925143,580.0,-11.563775,0.7,2900.0,0.84
58,-0.26987746,0.48687205,-0.20617916,0.4298378,590.0,-5.0551133,0.9,2950.0,0.92
59,-0.2707297,0.4871681,-0.20706792,0.43051252,600.0,-4.3109407,1.0,3000.0,0.9
60,-0.2726311,0.48721042,-0.20895267,0.4310199,610.0,-5.110471,0.9,3050.0,0.92
61,-0.2737739,0.48715255,-0.21020539,0.43142152,620.0,-3.8613591,1.0,3100.0,0.86
62,-0.27251557,0.48721266,-0.20946069,0.4318882,630.0,-9.244387,0.9,3150.0,0.92
63,-0.2735447,0.48718536,-0.21056587,0.4323853,640.0,-4.0596037,1.0,3200.0,1.0
64,-0.27514997,0.48746744,-0.2121263,0.43313608,650.0,-7.9406767,0.9,3250.0,0.84
65,-0.27669057,0.4875357,-0.21355528,0.4335073,660.0,-3.3952808,1.0,3300.0,0.94
66,-0.2769632,0.48723745,-0.21402527,0.43358946,670.0,-3.5147233,1.0,3350.0,0.94
67,-0.2771379,0.4870495,-0.21432209,0.43374172,680.0,-8.249091,0.9,3400.0,0.8
68,-0.27958462,0.48715374,-0.21652989,0.43424448,690.0,-10.201958,0.8,3450.0,0.92
69,-0.27946913,0.4873241,-0.21666838,0.4347073,700.0,-3.5218112,1.0,3500.0,0.88
70,-0.28053638,0.48744917,-0.21768938,0.43514356,710.0,-12.005117,0.8,3550.0,0.96
71,-0.28115812,0.48685578,-0.21834467,0.43485603,720.0,-8.7738905,0.8,3600.0,0.88
72,-0.28118667,0.48695508,-0.21854483,0.4352875,730.0,-13.450252,0.8,3650.0,0.96
73,-0.28230187,0.48715672,-0.21956776,0.4356962,740.0,-12.21409,0.8,3700.0,0.88
74,-0.2823399,0.48693728,-0.2198199,0.43573666,750.0,-4.6145573,1.0,3750.0,0.92
75,-0.282694,0.4874772,-0.22026622,0.4365168,760.0,-13.900171,0.8,3800.0,0.92
76,-0.28256437,0.48721048,-0.220316,0.43651643,770.0,-6.484697,0.9,3850.0,0.92
77,-0.28390962,0.48696676,-0.22153,0.43653706,780.0,-16.642286,0.7,3900.0,0.92
78,-0.28403056,0.48718765,-0.22168274,0.4369751,790.0,-10.8605795,0.9,3950.0,0.82
79,-0.28441253,0.48691157,-0.22214197,0.43695608,800.0,-19.159016,0.7,4000.0,0.9
80,-0.2849705,0.48682356,-0.22271742,0.43711498,810.0,-12.492818,0.8,4050.0,0.92
81,-0.28539404,0.48714554,-0.22304465,0.43748784,820.0,-22.901922,0.6,4100.0,0.8
82,-0.2857025,0.48694107,-0.22338767,0.4375383,830.0,-4.9213877,0.9,4150.0,0.9
83,-0.28572088,0.4869628,-0.22356974,0.4378381,840.0,-12.907875,0.8,4200.0,0.96
84,-0.28677496,0.4869109,-0.22444345,0.43796682,850.0,-8.717269,0.9,4250.0,0.76
85,-0.28693548,0.48679256,-0.22460562,0.43801203,860.0,-18.033787,0.7,4300.0,0.9
86,-0.28755426,0.48699692,-0.22510652,0.4383943,870.0,-14.51031,0.8,4350.0,0.82
87,-0.2881859,0.4868965,-0.22570509,0.4385828,880.0,-6.869704,0.9,4400.0,0.92
88,-0.28859732,0.48663202,-0.22608007,0.4385599,890.0,-18.235727,0.7,4450.0,0.86
89,-0.28908846,0.48642683,-0.22659655,0.43861234,900.0,-8.325418,0.9,4500.0,0.96
90,-0.28891733,0.48672342,-0.22648568,0.43906057,910.0,-13.7079525,0.8,4550.0,0.84
91,-0.2890636,0.48648587,-0.22671546,0.43912354,920.0,-3.1756847,1.0,4600.0,0.88
92,-0.28959998,0.48638478,-0.22721602,0.43924746,930.0,-3.7115257,1.0,4650.0,0.92
93,-0.28904986,0.48625615,-0.22677918,0.43927896,940.0,-3.6353066,1.0,4700.0,0.86
94,-0.28886595,0.48641887,-0.22670977,0.43966976,950.0,-18.169485,0.7,4750.0,0.88
95,-0.28948006,0.48630488,-0.22722538,0.43967605,960.0,-13.350233,0.8,4800.0,0.82
96,-0.28895193,0.4864173,-0.2268156,0.43983808,970.0,-9.86495,0.8,4850.0,0.72
97,-0.28877038,0.48633924,-0.2267311,0.43983924,980.0,-8.596784,0.9,4900.0,0.86
98,-0.28848752,0.48648188,-0.22653265,0.440032,990.0,-12.024391,0.8,4950.0,0.88
99,-0.28845814,0.48658624,-0.22650526,0.4402111,1000.0,-3.3647742,1.0,5000.0,0.8
100,-0.28889376,0.48630634,-0.22673862,0.43996516,1010.0,-3.6014404,1.0,5050.0,0.76
101,-0.28858006,0.48633018,-0.22646852,0.44001296,1020.0,-10.6132145,0.9,5100.0,0.84
102,-0.2889246,0.48636055,-0.22686656,0.44020793,1030.0,-3.895059,1.0,5150.0,0.9
103,-0.28876084,0.48620263,-0.22678645,0.44009414,1040.0,-6.937748,0.9,5200.0,0.76
104,-0.28862664,0.48603013,-0.22677958,0.44005284,1050.0,-3.6428878,1.0,5250.0,0.86
105,-0.2885925,0.4857024,-0.22687107,0.43988788,1060.0,-10.867787,0.8,5300.0,0.88
106,-0.2885783,0.48565134,-0.22698404,0.4399602,1070.0,-3.0481715,1.0,5350.0,0.9
107,-0.28870872,0.4852067,-0.22712743,0.43964627,1080.0,-4.2445173,1.0,5400.0,0.88
108,-0.28866658,0.48487595,-0.22715276,0.43944547,1090.0,-16.227041,0.8,5450.0,0.86
109,-0.28919423,0.48503697,-0.2275932,0.43965927,1100.0,-8.759149,0.9,5500.0,0.8
110,-0.28978837,0.48503885,-0.22812456,0.4397507,1110.0,-10.837589,0.9,5550.0,0.92
111,-0.29032016,0.48501828,-0.2285416,0.43981838,1120.0,-12.738324,0.8,5600.0,0.76
112,-0.29026407,0.48516747,-0.2285785,0.43997732,1130.0,-15.170665,0.8,5650.0,0.86
113,-0.28975022,0.48527732,-0.22823153,0.44020405,1140.0,-9.828816,0.9,5700.0,0.88
114,-0.2896229,0.48528412,-0.22811444,0.44026673,1150.0,-9.621536,0.9,5750.0,0.8
115,-0.28995964,0.48522297,-0.22844242,0.44034004,1160.0,-10.668738,0.9,5800.0,0.9
116,-0.29013434,0.48498234,-0.22857495,0.44011888,1170.0,-7.060416,0.9,5850.0,0.8
117,-0.29100004,0.4848537,-0.22929603,0.44012234,1180.0,-9.88457,0.9,5900.0,0.88
118,-0.29119033,0.48486528,-0.22942047,0.44025245,1190.0,-8.60155,0.9,5950.0,0.82
119,-0.2916197,0.4847691,-0.2297485,0.4402863,1200.0,-3.6708221,1.0,6000.0,0.84
