# {"t_start": 1626082902.2362497, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,53.584567
-100.0,100,93.692657
-100.0,100,133.348091
-100.0,100,173.060704
-100.0,100,212.816649
-100.0,100,252.72035
-100.0,100,292.780623
-100.0,100,332.620446
-100.0,100,372.620447
-100.0,100,412.520976
-100.0,100,452.576809
-100.0,100,492.352496
-100.0,100,532.140285
-100.0,100,571.908747
-100.0,100,611.852871
-100.0,100,651.66469
-100.0,100,691.460389
-100.0,100,731.424517
-100.0,100,771.592728
-100.0,100,811.680914
-100.0,100,851.977063
-100.0,100,891.892837
-100.0,100,931.900173
-100.0,100,971.820444
-100.0,100,1011.672699
-100.0,100,1051.532544
-100.0,100,1091.696142
-100.0,100,1131.424525
-100.0,100,1171.336412
-100.0,100,1211.196485
-100.0,100,1251.121074
-100.0,100,1291.100936
-100.0,100,1330.972237
-100.0,100,1370.980131
-100.0,100,1411.16478
-100.0,100,1451.22047
-100.0,100,1490.96897
-100.0,100,1530.864801
-100.0,100,1570.660279
-100.0,100,1610.473003
-100.0,100,1650.268774
-100.0,100,1690.128107
-100.0,100,1729.928746
-100.0,100,1769.692994
-100.0,100,1809.849081
-100.0,100,1849.908797
-100.0,100,1889.784642
-100.0,100,1929.620568
-100.0,100,1969.624584
-100.0,100,2009.528242
-100.0,100,2049.496185
-100.0,100,2088.140349
-100.0,100,2126.680307
-100.0,100,2165.196192
-100.0,100,2203.956483
-100.0,100,2242.408194
-100.0,100,2281.117006
-100.0,100,2319.816412
-100.0,100,2358.480273
-100.0,100,2397.016353
-100.0,100,2435.77641
-100.0,100,2475.32479
-100.0,100,2515.440383
-100.0,100,2555.120657
-100.0,100,2594.800935
-100.0,100,2634.476037
-100.0,100,2674.028897
-100.0,100,2713.848612
-100.0,100,2753.56845
-100.0,100,2793.324908
-100.0,100,2833.577198
-100.0,100,2873.648946
-100.0,100,2913.564759
-100.0,100,2953.45287
-100.0,100,2993.620613
-100.0,100,3033.720585
-100.0,100,3073.72058
-100.0,100,3113.696313
-100.0,100,3153.668588
-100.0,100,3193.585005
-100.0,100,3233.324609
-100.0,100,3273.160921
-100.0,100,3313.01628
-100.0,100,3352.881094
-100.0,100,3392.992832
-100.0,100,3433.136776
-100.0,100,3472.936855
-100.0,100,3512.888572
-100.0,100,3552.484787
-100.0,100,3592.224301
-100.0,100,3632.040617
-100.0,100,3671.796617
-100.0,100,3711.720857
-100.0,100,3752.017141
-100.0,100,3792.012601
-100.0,100,3832.12092
-100.0,100,3871.844262
-100.0,100,3911.808024
-100.0,100,3951.816697
-100.0,100,3991.837083
-100.0,100,4031.648412
-100.0,100,4071.620407
-100.0,100,4111.740832
-100.0,100,4151.841089
-100.0,100,4192.005092
-100.0,100,4232.112166
-100.0,100,4272.068182
-100.0,100,4312.140272
-100.0,100,4352.152651
-100.0,100,4392.176975
-100.0,100,4432.620431
-100.0,100,4471.224894
-100.0,100,4510.080382
-100.0,100,4548.712897
-100.0,100,4587.508062
-100.0,100,4626.292466
-100.0,100,4664.88413
-100.0,100,4703.345029
-100.0,100,4742.132754
-100.0,100,4780.824785
-100.0,100,4819.464493
-100.0,100,4859.028464
-100.0,100,4898.836228
-100.0,100,4938.581004
-100.0,100,4978.448321
-100.0,100,5018.492961
-100.0,100,5058.284929
-100.0,100,5098.369009
