epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.30652472,0.093346335,-0.1403322,0.15223911,10.0,-2.9358964,0.0,50.0,0.0
1,-0.33075723,0.09112275,-0.13480115,0.13976361,20.0,-4.9267845,0.0,100.0,0.0
2,-0.34269932,0.087302916,-0.124250956,0.13299273,30.0,-7.1249223,0.0,150.0,0.0
3,-0.34984908,0.084041655,-0.117837206,0.12561794,40.0,-9.314648,0.0,200.0,0.0
4,-0.35467863,0.08139559,-0.11167129,0.12052198,50.0,-11.582518,0.0,250.0,0.0
5,-0.35815907,0.07924111,-0.107544385,0.11565467,60.0,-13.774979,0.0,300.0,0.0
6,-0.36073884,0.07748007,-0.10427319,0.11190466,70.0,-15.992353,0.0,350.0,0.0
7,-0.36277184,0.07600375,-0.10110748,0.108914554,80.0,-18.19019,0.0,400.0,0.0
8,-0.36417195,0.074838705,-0.09882377,0.10634579,90.0,-20.235859,0.0,450.0,0.0
9,-0.365575,0.07374845,-0.096855834,0.10394044,100.0,-22.14084,0.0,500.0,0.0
10,-0.36677328,0.07279118,-0.09753538,0.118894815,110.0,-24.225582,0.0,550.0,0.0
11,-0.36763155,0.07201036,-0.09830773,0.120766,120.0,-26.077984,0.0,600.0,0.0
12,-0.36844695,0.07126656,-0.10616691,0.13432465,130.0,-18.636055,0.0,650.0,0.0
13,-0.36883438,0.0710785,-0.11233282,0.14308156,140.0,-21.156849,0.0,700.0,0.0
14,-0.36932257,0.07049589,-0.11797925,0.14567468,150.0,-22.930115,0.0,750.0,0.0
15,-0.36988756,0.069981225,-0.12240492,0.14846885,160.0,-25.3109,0.0,800.0,0.0
16,-0.3702505,0.069690466,-0.1261492,0.14887844,170.0,-27.494732,0.0,850.0,0.0
17,-0.37057874,0.06943755,-0.1293228,0.14822784,180.0,-30.965763,0.0,900.0,0.0
18,-0.3708731,0.069157094,-0.13205025,0.14863846,190.0,-31.397232,0.0,950.0,0.0
19,-0.37085256,0.07596775,-0.13558687,0.15209576,200.0,-33.567993,0.0,1000.0,0.0
20,-0.3711878,0.07638751,-0.1392369,0.15666544,210.0,-36.789116,0.0,1050.0,0.0
