# {"t_start": 1626083782.0552878, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,54.713315
-100.0,100,95.361238
-100.0,100,135.489767
-100.0,100,175.757861
-100.0,100,215.801589
-100.0,100,255.825549
-100.0,100,295.79708
-100.0,100,335.842086
-100.0,100,375.981931
-100.0,100,416.234199
-100.0,100,456.605181
-100.0,100,496.745946
-100.0,100,537.117939
-100.0,100,577.401526
-100.0,100,617.869142
-100.0,100,658.249495
-100.0,100,698.405996
-100.0,100,738.405654
-100.0,100,778.745014
-100.0,100,818.877656
-100.0,100,859.265235
-100.0,100,899.461117
-100.0,100,939.765294
-100.0,100,980.041824
-100.0,100,1020.297009
-100.0,100,1060.601954
-100.0,100,1100.965751
-100.0,100,1141.142092
-100.0,100,1181.593816
-100.0,100,1221.64514
-100.0,100,1261.809341
-100.0,100,1301.881905
-100.0,100,1342.053067
-100.0,100,1382.421621
-100.0,100,1423.053163
-100.0,100,1463.089325
-100.0,100,1503.414111
-100.0,100,1543.389941
-100.0,100,1583.485696
-100.0,100,1623.709694
-100.0,100,1664.009569
-100.0,100,1704.285711
-100.0,100,1744.521027
-100.0,100,1784.689471
-100.0,100,1824.801763
-100.0,100,1865.061064
-100.0,100,1904.817788
-100.0,100,1944.869309
-100.0,100,1985.177041
-100.0,100,2025.605708
-100.0,100,2065.973669
-100.0,100,2105.053997
-100.0,100,2144.241234
0.0,100,2183.205518
-100.0,100,2222.241364
-100.0,100,2261.157627
-100.0,100,2300.097355
-100.0,100,2339.101043
-100.0,100,2378.229742
-100.0,100,2417.521292
-100.0,100,2456.621186
-100.0,100,2496.781288
-100.0,100,2536.929548
-100.0,100,2577.385069
-100.0,100,2617.813522
-100.0,100,2658.297225
-100.0,100,2698.369068
-100.0,100,2738.785347
-100.0,100,2779.061967
-100.0,100,2819.181918
-100.0,100,2859.446166
-100.0,100,2899.841607
-100.0,100,2940.077899
-100.0,100,2980.28984
-100.0,100,3020.609231
-100.0,100,3061.241056
-100.0,100,3101.673913
-100.0,100,3142.041932
-100.0,100,3182.325429
-100.0,100,3222.862096
-100.0,100,3263.189209
-100.0,100,3303.529853
-100.0,100,3343.761716
-100.0,100,3383.985121
-100.0,100,3424.265041
-100.0,100,3464.557365
-100.0,100,3504.913453
-100.0,100,3545.374138
-100.0,100,3585.925419
-100.0,100,3626.253954
-100.0,100,3666.717284
-100.0,100,3707.161682
-100.0,100,3747.249494
-100.0,100,3787.565206
-100.0,100,3827.733823
-100.0,100,3867.885783
-100.0,100,3908.281466
-100.0,100,3948.497738
-100.0,100,3988.709351
-100.0,100,4029.105458
-100.0,100,4069.457832
-100.0,100,4109.537515
-100.0,100,4149.733499
-100.0,100,4189.917613
-100.0,100,4230.565171
-100.0,100,4270.806054
-100.0,100,4311.073065
-100.0,100,4351.481411
-100.0,100,4391.705524
-100.0,100,4431.881088
-100.0,100,4472.125917
-100.0,100,4511.221123
-100.0,100,4550.265495
-100.0,100,4589.301425
-100.0,100,4628.393265
-100.0,100,4667.301684
-100.0,100,4706.453672
-100.0,100,4745.709924
-100.0,100,4784.86515
-100.0,100,4823.954076
-100.0,100,4863.201373
-100.0,100,4903.573505
-100.0,100,4943.737562
-100.0,100,4984.121567
-100.0,100,5024.637379
-100.0,100,5064.96586
-100.0,100,5105.321825
-100.0,100,5145.532988
-100.0,100,5185.653985
-100.0,100,5226.009565
-100.0,100,5266.229411
-100.0,100,5306.441537
-100.0,100,5346.817503
-100.0,100,5386.913766
-100.0,100,5427.485743
-100.0,100,5467.777429
-100.0,100,5508.261267
-100.0,100,5548.429721
-100.0,100,5588.873512
-100.0,100,5629.118186
-100.0,100,5669.617659
-100.0,100,5709.690092
-100.0,100,5750.365745
-100.0,100,5790.761159
-100.0,100,5831.134083
-100.0,100,5871.614067
-100.0,100,5912.038218
-100.0,100,5952.409527
-100.0,100,5992.549023
-100.0,100,6032.541246
-100.0,100,6072.761688
-100.0,100,6113.369992
-100.0,100,6153.713264
-100.0,100,6194.221634
-100.0,100,6234.609694
-43.0,100,6275.005133
-100.0,100,6315.234
-100.0,100,6355.369574
-100.0,100,6395.57415
-100.0,100,6436.121972
-100.0,100,6476.38965
-100.0,100,6516.90177
-100.0,100,6557.325182
-100.0,100,6597.821865
-100.0,100,6638.525294
-100.0,100,6678.842277
-100.0,100,6719.157506
-100.0,100,6759.534068
-100.0,100,6799.786013
-100.0,100,6840.454007
-100.0,100,6880.777894
-60.0,100,6919.913303
-100.0,100,6958.825472
-100.0,100,6997.898082
-100.0,100,7037.197042
-100.0,100,7076.241371
-100.0,100,7115.241606
-100.0,100,7154.205011
-100.0,100,7193.28109
-100.0,100,7232.28193
-100.0,100,7271.637484
-100.0,100,7312.033072
-100.0,100,7352.353671
-100.0,100,7392.79798
-100.0,100,7432.961462
-100.0,100,7473.145634
-70.0,100,7513.578171
-100.0,100,7554.117067
-100.0,100,7594.557084
-100.0,100,7634.785837
-100.0,100,7675.297989
-100.0,100,7715.801715
-100.0,100,7756.189526
-100.0,100,7796.598031
-100.0,100,7836.893332
-100.0,100,7877.285293
-100.0,100,7917.654252
-100.0,100,7958.226075
-100.0,100,7998.913117
-97.0,100,8039.497528
-100.0,100,8079.781582
-85.0,100,8119.917634
-100.0,100,8160.405744
-100.0,100,8200.589895
-100.0,100,8241.149224
-100.0,100,8281.545383
-100.0,100,8321.761036
-100.0,100,8361.633138
-100.0,100,8401.761799
-100.0,100,8442.373196
-100.0,100,8482.721139
-100.0,100,8523.405999
-100.0,100,8563.829952
-26.0,100,8604.214017
-100.0,100,8644.837657
-83.0,100,8685.549179
-100.0,100,8725.689403
-100.0,100,8766.125182
-100.0,100,8806.201195
-100.0,100,8846.546186
