epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.2259171,0.53893906,-0.090743706,0.6270238,10.0,-2.5103042,0.1,50.0,0.0
1,-0.2561731,0.54430693,-0.11064017,0.5820322,20.0,-4.7497387,0.0,100.0,0.0
2,-0.2528515,0.53420156,-0.10301102,0.555503,30.0,-6.7377424,0.1,150.0,0.02
3,-0.25386766,0.5265288,-0.11192886,0.53706044,40.0,-6.900836,0.3,200.0,0.14
4,-0.2659607,0.52402663,-0.13177276,0.526723,50.0,-7.557452,0.7,250.0,0.14
5,-0.2639499,0.51711863,-0.13177517,0.5194027,60.0,-10.437337,0.2,300.0,0.26
6,-0.2614736,0.5105979,-0.13328256,0.5096032,70.0,-11.061621,0.7,350.0,0.26
7,-0.25621226,0.50912905,-0.13322632,0.5048672,80.0,-13.748766,0.3,400.0,0.26
8,-0.25191116,0.5089388,-0.13156155,0.5047418,90.0,-11.338874,0.5,450.0,0.32
9,-0.249708,0.5107422,-0.13029681,0.5030063,100.0,-9.204941,0.8,500.0,0.3
10,-0.2434851,0.5112472,-0.1278235,0.5007548,110.0,-11.416194,0.6,550.0,0.44
11,-0.24435544,0.5128359,-0.1319702,0.49982306,120.0,-17.473118,0.4,600.0,0.36
12,-0.24170093,0.51571375,-0.13012318,0.501501,130.0,-14.473587,0.5,650.0,0.24
13,-0.24199514,0.51577425,-0.13137661,0.5022952,140.0,-16.629206,0.1,700.0,0.28
14,-0.24230646,0.5157929,-0.13439031,0.5018878,150.0,-24.29421,0.1,750.0,0.3
15,-0.23976727,0.5173457,-0.13351794,0.5029079,160.0,-17.938877,0.7,800.0,0.3
16,-0.23882753,0.5161533,-0.13247469,0.5017384,170.0,-20.219563,0.6,850.0,0.54
17,-0.23631726,0.51673424,-0.13051732,0.50505066,180.0,-14.134687,0.7,900.0,0.48
18,-0.235287,0.51629454,-0.13001212,0.50680393,190.0,-18.279602,0.6,950.0,0.44
19,-0.23499502,0.5171662,-0.13031974,0.5083823,200.0,-14.838072,0.6,1000.0,0.38
20,-0.23310475,0.5169024,-0.13034214,0.5074648,210.0,-18.559092,0.5,1050.0,0.4
21,-0.2319975,0.5169067,-0.13039407,0.5079733,220.0,-20.850147,0.6,1100.0,0.44
22,-0.2320535,0.5173982,-0.13184081,0.5073288,230.0,-20.657238,0.4,1150.0,0.5
23,-0.2333507,0.51564056,-0.13361545,0.5052621,240.0,-16.450727,0.5,1200.0,0.52
24,-0.23246013,0.5146803,-0.13387917,0.5042891,250.0,-20.406363,0.8,1250.0,0.26
25,-0.22644459,0.5142395,-0.13025637,0.5030015,260.0,-15.30324,0.9,1300.0,0.46
26,-0.225958,0.51408976,-0.12980273,0.50193876,270.0,-20.20653,0.7,1350.0,0.58
27,-0.22637051,0.51348716,-0.1316026,0.5004945,280.0,-24.942352,0.4,1400.0,0.44
28,-0.22403617,0.5137964,-0.12963723,0.50069374,290.0,-23.866732,0.5,1450.0,0.42
29,-0.22381526,0.5134544,-0.12984993,0.5007346,300.0,-19.809351,0.6,1500.0,0.38
30,-0.22312844,0.5127546,-0.13014892,0.49996904,310.0,-21.717169,0.4,1550.0,0.5
31,-0.22243394,0.5132983,-0.12940428,0.5001435,320.0,-20.382687,0.4,1600.0,0.38
32,-0.22131306,0.51337284,-0.12880823,0.50049585,330.0,-16.595413,0.6,1650.0,0.26
33,-0.22089475,0.5133638,-0.12827983,0.5001634,340.0,-21.616488,0.4,1700.0,0.54
34,-0.22022776,0.51386315,-0.12865272,0.49968562,350.0,-27.758142,0.2,1750.0,0.38
35,-0.22145396,0.51420563,-0.12979929,0.49957177,360.0,-28.09364,0.4,1800.0,0.38
36,-0.22040264,0.5139127,-0.12929896,0.49980417,370.0,-20.063257,0.7,1850.0,0.48
37,-0.21973498,0.51397663,-0.12992285,0.49922195,380.0,-30.31658,0.1,1900.0,0.46
38,-0.21853977,0.51466817,-0.12989987,0.49961376,390.0,-17.793713,0.4,1950.0,0.52
39,-0.2180063,0.5144404,-0.13067247,0.49881837,400.0,-16.06532,0.5,2000.0,0.34
40,-0.21691306,0.5139628,-0.13089111,0.4991475,410.0,-18.24758,0.3,2050.0,0.5
41,-0.21636187,0.5136263,-0.1309841,0.49895048,420.0,-19.537054,0.5,2100.0,0.5
42,-0.21453036,0.51291317,-0.12999518,0.49872476,430.0,-21.293554,0.4,2150.0,0.44
43,-0.2145918,0.5125254,-0.13052826,0.49808058,440.0,-20.668533,0.7,2200.0,0.58
44,-0.21404834,0.5126764,-0.13047329,0.498002,450.0,-19.195185,0.5,2250.0,0.54
45,-0.21397918,0.5123431,-0.131074,0.4973342,460.0,-22.593117,0.8,2300.0,0.6
46,-0.21370862,0.5119905,-0.13104244,0.49673668,470.0,-22.996422,0.7,2350.0,0.44
47,-0.21301831,0.51167256,-0.13077538,0.49660158,480.0,-17.09309,0.6,2400.0,0.4
48,-0.21104519,0.51191837,-0.13034709,0.49687582,490.0,-17.162529,0.6,2450.0,0.46
49,-0.21165651,0.51239073,-0.13120908,0.49653935,500.0,-13.883337,0.5,2500.0,0.38
50,-0.2122858,0.5123573,-0.13196887,0.4963062,510.0,-16.269732,0.4,2550.0,0.58
51,-0.21196353,0.5123157,-0.13198277,0.49581504,520.0,-17.048504,0.4,2600.0,0.38
52,-0.21129237,0.5125518,-0.13177432,0.49601963,530.0,-18.1246,0.5,2650.0,0.3
53,-0.21018247,0.5121651,-0.13103344,0.4958763,540.0,-25.213205,0.2,2700.0,0.4
54,-0.21003784,0.51216066,-0.13098814,0.49621043,550.0,-18.44668,0.6,2750.0,0.48
55,-0.21150368,0.51214594,-0.13232751,0.49622312,560.0,-28.861938,0.3,2800.0,0.44
56,-0.21120872,0.5118651,-0.13251995,0.49570322,570.0,-20.74178,0.7,2850.0,0.48
57,-0.21094419,0.51167965,-0.13316344,0.49508804,580.0,-30.033976,0.4,2900.0,0.6
58,-0.21077977,0.5121854,-0.13291357,0.49521047,590.0,-17.458593,0.4,2950.0,0.36
59,-0.21126378,0.5118297,-0.13346455,0.49459496,600.0,-35.156223,0.3,3000.0,0.46
60,-0.21195866,0.51203954,-0.13281934,0.50336176,610.0,-49.33973,0.0,3050.0,0.12
61,-0.21242821,0.51262075,-0.13175403,0.5115892,620.0,-26.691265,0.5,3100.0,0.12
62,-0.21225218,0.51266664,-0.13213125,0.5110856,630.0,-21.543531,0.7,3150.0,0.32
63,-0.21210329,0.5129704,-0.13265966,0.51067513,640.0,-21.135311,0.6,3200.0,0.36
64,-0.21220587,0.51330423,-0.13277462,0.51043516,650.0,-22.404469,0.4,3250.0,0.46
65,-0.21279262,0.5132081,-0.13319819,0.50967723,660.0,-20.520676,0.7,3300.0,0.46
66,-0.21243732,0.5134813,-0.13296379,0.5094601,670.0,-23.185751,0.4,3350.0,0.28
67,-0.21354254,0.5133605,-0.13373332,0.5088164,680.0,-27.934153,0.4,3400.0,0.48
68,-0.21378052,0.51346844,-0.13412459,0.5084787,690.0,-27.23233,0.5,3450.0,0.4
69,-0.2139305,0.51338464,-0.13450924,0.50781816,700.0,-19.602924,0.7,3500.0,0.4
70,-0.21425171,0.5132043,-0.13446571,0.5070852,710.0,-21.188076,0.5,3550.0,0.46
71,-0.21443838,0.5130117,-0.13467996,0.5064311,720.0,-23.14982,0.4,3600.0,0.52
72,-0.21394563,0.51295066,-0.13451912,0.50607234,730.0,-22.478388,0.5,3650.0,0.4
73,-0.21376944,0.51293737,-0.1349779,0.5054224,740.0,-32.186913,0.2,3700.0,0.5
74,-0.21431403,0.51287824,-0.13559641,0.50500506,750.0,-17.202473,0.6,3750.0,0.36
75,-0.21437068,0.51248837,-0.13591416,0.5046803,760.0,-23.552153,0.5,3800.0,0.52
76,-0.21403521,0.51322424,-0.13547747,0.50719607,770.0,-26.573294,0.3,3850.0,0.34
77,-0.2141506,0.51343924,-0.13588242,0.5067853,780.0,-22.643972,0.6,3900.0,0.4
78,-0.21386687,0.5134743,-0.13592441,0.5066649,790.0,-17.631931,0.4,3950.0,0.44
79,-0.21386588,0.51349825,-0.13616958,0.50651896,800.0,-23.820301,0.5,4000.0,0.3
