# {"t_start": 1625130124.4804418, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,53.820023
-100.0,100,93.764592
-100.0,100,133.39651
-100.0,100,173.108138
-100.0,100,212.800092
-100.0,100,252.616865
-100.0,100,292.417004
-100.0,100,332.020469
-100.0,100,371.89277
-100.0,100,411.99586
-100.0,100,451.844754
-100.0,100,491.740216
-100.0,100,531.667926
-100.0,100,571.668111
-100.0,100,611.360759
-100.0,100,651.628769
-100.0,100,691.512759
-100.0,100,731.392537
-100.0,100,771.472902
-100.0,100,811.304031
-100.0,100,850.996023
-100.0,100,890.624884
-100.0,100,930.672658
-100.0,100,970.632702
-100.0,100,1010.500222
-100.0,100,1050.300295
-100.0,100,1090.304378
-100.0,100,1130.256887
-100.0,100,1170.340083
-100.0,100,1210.452176
-100.0,100,1250.29662
-100.0,100,1290.060989
-100.0,100,1330.100585
-100.0,100,1369.98061
-100.0,100,1409.656149
-100.0,100,1449.692282
-100.0,100,1489.504061
-100.0,100,1529.480765
-100.0,100,1569.396946
-100.0,100,1609.172832
-100.0,100,1648.995862
-100.0,100,1688.864521
-100.0,100,1728.732453
-100.0,100,1768.328483
-100.0,100,1808.252982
-100.0,100,1847.971905
-100.0,100,1887.852244
-100.0,100,1927.748713
-100.0,100,1967.572071
-100.0,100,2007.676302
-100.0,100,2047.645009
-100.0,100,2086.632552
-100.0,100,2125.308173
-100.0,100,2164.060609
-100.0,100,2202.756689
-100.0,100,2241.316067
-100.0,100,2280.251988
-100.0,100,2318.780923
-100.0,100,2357.416231
-100.0,100,2396.02894
-100.0,100,2434.708362
-100.0,100,2474.624161
-100.0,100,2514.5801
-100.0,100,2554.500103
-100.0,100,2594.376089
-100.0,100,2634.217029
-100.0,100,2674.100336
-100.0,100,2714.064113
-100.0,100,2753.944243
-100.0,100,2794.052882
-100.0,100,2833.988116
-100.0,100,2874.072128
-100.0,100,2913.827847
-100.0,100,2953.752428
-100.0,100,2993.748144
-98.0,100,3033.960777
-100.0,100,3073.901005
-100.0,100,3114.048286
-100.0,100,3153.928488
-100.0,100,3194.068962
-100.0,100,3233.704013
-100.0,100,3273.612392
-100.0,100,3313.188236
-100.0,100,3353.264812
-100.0,100,3393.332253
-74.0,100,3433.51594
-97.0,100,3473.624277
-61.0,100,3513.69645
-100.0,100,3553.628592
-100.0,100,3593.632997
-100.0,100,3633.548293
-100.0,100,3673.557035
-100.0,100,3713.335967
-100.0,100,3752.976166
-100.0,100,3792.640627
-100.0,100,3832.796781
-100.0,100,3872.740671
-100.0,100,3912.664511
-100.0,100,3952.872077
-100.0,100,3992.91242
-100.0,100,4032.884408
-57.0,100,4072.708627
-84.0,100,4112.699996
-100.0,100,4152.692583
-100.0,100,4192.557004
-72.0,100,4232.580513
-100.0,100,4272.748751
-45.0,100,4312.66416
-59.0,100,4352.828194
-61.0,100,4392.632791
-100.0,100,4432.448149
-100.0,100,4471.056571
-100.0,100,4509.668097
-100.0,100,4548.140104
-100.0,100,4586.696597
-100.0,100,4625.40891
-100.0,100,4664.092268
-100.0,100,4702.776609
-100.0,100,4741.524367
-100.0,100,4780.396085
-100.0,100,4819.136743
-100.0,100,4859.132842
-100.0,100,4899.016212
-49.0,100,4938.84439
-100.0,100,4978.728988
-100.0,100,5018.560189
-100.0,100,5058.50028
-82.0,100,5098.240886
-38.0,100,5138.292564
-89.0,100,5178.284751
-100.0,100,5218.252833
-100.0,100,5258.121067
-64.0,100,5298.140651
-100.0,100,5338.29686
-100.0,100,5378.204465
-67.0,100,5418.168255
-100.0,100,5457.976631
-52.0,100,5498.0243
-99.0,100,5537.808192
-100.0,100,5577.473064
-100.0,100,5617.168056
-100.0,100,5657.044501
-100.0,100,5696.932179
-88.0,100,5736.932613
-50.0,100,5776.936266
-100.0,100,5817.116087
-100.0,100,5856.820596
-100.0,100,5896.804691
-100.0,100,5936.632088
-100.0,100,5976.504227
-100.0,100,6016.580351
-58.0,100,6056.691997
-62.0,100,6096.468345
-100.0,100,6136.180583
-98.0,100,6176.05259
-100.0,100,6216.012433
-72.0,100,6256.068239
-50.0,100,6296.088005
-71.0,100,6335.796362
-31.0,100,6375.760602
-100.0,100,6415.576435
-64.0,100,6455.456894
-45.0,100,6495.416152
-69.0,100,6535.340174
-100.0,100,6575.164499
-100.0,100,6614.980264
-100.0,100,6655.008824
-82.0,100,6695.124643
-100.0,100,6734.868537
-75.0,100,6774.788038
-100.0,100,6815.012716
-40.0,100,6853.504074
-40.0,100,6892.040246
-100.0,100,6930.553133
-41.0,100,6969.120597
-40.0,100,7007.976615
-100.0,100,7046.696048
-100.0,100,7085.039977
-40.0,100,7123.780201
-28.0,100,7162.420801
-64.0,100,7200.992645
-53.0,100,7241.124207
-100.0,100,7280.976291
-57.0,100,7321.240569
-100.0,100,7361.172872
-64.0,100,7401.084602
-45.0,100,7441.112847
-100.0,100,7481.208654
-45.0,100,7521.088298
-96.0,100,7561.056414
-59.0,100,7601.184314
-100.0,100,7641.312573
-87.0,100,7681.784129
-73.0,100,7721.608647
-62.0,100,7761.932125
-51.0,100,7801.876537
-53.0,100,7842.020367
-55.0,100,7882.056831
-65.0,100,7922.212763
-40.0,100,7962.169089
-70.0,100,8002.195908
-43.0,100,8042.224632
-74.0,100,8082.216116
-100.0,100,8122.301069
-37.0,100,8162.340319
-41.0,100,8202.356825
-51.0,100,8242.236124
-92.0,100,8282.381002
-84.0,100,8322.192521
-68.0,100,8362.491981
-62.0,100,8402.416596
-62.0,100,8442.404321
-70.0,100,8482.392625
-45.0,100,8522.508813
-100.0,100,8562.343959
-49.0,100,8602.196551
-85.0,100,8642.424659
-42.0,100,8682.604437
-39.0,100,8722.484689
-77.0,100,8762.668175
-44.0,100,8803.088955
-55.0,100,8843.152682
-43.0,100,8882.900964
-48.0,100,8923.016864
-49.0,100,8963.348224
-100.0,100,9003.504451
-53.0,100,9043.540945
-52.0,100,9083.580157
-65.0,100,9123.604345
-51.0,100,9163.728537
-29.0,100,9203.416663
-38.0,100,9241.940871
-36.0,100,9280.668775
-37.0,100,9319.3201
-38.0,100,9358.048817
-40.0,100,9396.956165
-37.0,100,9435.864765
-39.0,100,9474.54433
-39.0,100,9513.12103
-100.0,100,9551.939942
-100.0,100,9590.71261
-55.0,100,9630.880133
-74.0,100,9670.600201
-40.0,100,9710.600773
-54.0,100,9750.635943
-78.0,100,9790.7049
-91.0,100,9830.656518
-100.0,100,9871.084163
-67.0,100,9911.352584
-82.0,100,9951.37661
-75.0,100,9991.496537
-49.0,100,10031.68815
-42.0,100,10071.53999
-50.0,100,10111.391961
-69.0,100,10151.41229
-62.0,100,10191.256815
-43.0,100,10231.336178
-42.0,100,10271.572801
-53.0,100,10311.724257
-100.0,100,10352.116214
-100.0,100,10392.200199
-50.0,100,10432.320668
-64.0,100,10472.1763
-50.0,100,10512.396563
-45.0,100,10552.747964
-38.0,100,10592.784304
-42.0,100,10632.992337
-97.0,100,10673.143949
-66.0,100,10713.344077
-47.0,100,10753.22854
-56.0,100,10793.152065
-77.0,100,10833.296543
-42.0,100,10873.592051
-99.0,100,10913.832469
-56.0,100,10954.356716
-53.0,100,10994.47628
-50.0,100,11034.636087
-99.0,100,11074.644577
-91.0,100,11114.639918
-47.0,100,11154.676933
-76.0,100,11194.703993
-80.0,100,11234.728423
-43.0,100,11274.98034
-47.0,100,11315.164649
-44.0,100,11355.052802
-45.0,100,11395.032135
-43.0,100,11435.356576
-43.0,100,11475.456362
-44.0,100,11515.576091
-97.0,100,11555.46827
-22.0,100,11595.492103
-23.0,100,11634.07621
-38.0,100,11672.560138
-39.0,100,11711.028979
-33.0,100,11749.873034
-39.0,100,11788.35302
-38.0,100,11826.887887
