epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.27494234,0.5058336,-0.1475585,0.47988868,10.0,-2.7575603,0.0,50.0,0.0
1,-0.27738336,0.5014136,-0.14451155,0.46934488,20.0,-4.795783,0.0,100.0,0.18
2,-0.2748671,0.5004862,-0.14048018,0.46952325,30.0,-4.41578,0.6,150.0,0.38
3,-0.26881203,0.4999335,-0.13953437,0.4699941,40.0,-3.982184,0.9,200.0,0.76
4,-0.27239022,0.49625555,-0.1454171,0.46817493,50.0,-3.485075,1.0,250.0,0.68
5,-0.26634815,0.49475494,-0.14427985,0.467725,60.0,-5.2252765,0.5,300.0,0.74
6,-0.25835642,0.49392357,-0.1405245,0.46742687,70.0,-4.512874,0.8,350.0,0.64
7,-0.2542957,0.4954804,-0.13884644,0.46896163,80.0,-6.2559824,0.6,400.0,0.72
8,-0.2593579,0.49448204,-0.1439731,0.46858317,90.0,-5.003205,1.0,450.0,0.68
9,-0.25690532,0.49476507,-0.14360608,0.46843582,100.0,-6.5748663,0.8,500.0,0.7
10,-0.25566152,0.49211577,-0.14376514,0.46674627,110.0,-5.5305014,0.5,550.0,0.82
11,-0.25350308,0.49329767,-0.14311521,0.46740866,120.0,-6.2498274,0.7,600.0,0.74
12,-0.2442283,0.4918623,-0.13671078,0.4664835,130.0,-6.8582697,0.7,650.0,0.88
13,-0.2454267,0.49019513,-0.13814528,0.46553996,140.0,-6.0093393,0.7,700.0,0.88
14,-0.24573106,0.48998818,-0.13876495,0.46650022,150.0,-6.0496984,1.0,750.0,0.84
15,-0.24539047,0.48923418,-0.1391374,0.4660979,160.0,-6.101148,0.9,800.0,0.8
16,-0.24174882,0.49132463,-0.13716593,0.4683171,170.0,-5.9707727,0.8,850.0,0.72
17,-0.24116932,0.49057385,-0.13666058,0.46761197,180.0,-5.339952,0.9,900.0,0.9
18,-0.23842822,0.4914209,-0.13457996,0.4684849,190.0,-5.2232103,0.9,950.0,0.76
19,-0.23972018,0.4899174,-0.13609825,0.46729377,200.0,-10.273359,0.5,1000.0,0.9
20,-0.23977561,0.49026775,-0.13671586,0.46756813,210.0,-7.0065475,0.9,1050.0,0.7
