epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.29704475,0.46546242,-0.1152135,0.47564217,10.0,-2.891123,0.0,50.0,0.0
1,-0.32898733,0.44223127,-0.120201804,0.43592188,20.0,-5.301053,0.0,100.0,0.0
2,-0.34639665,0.44789433,-0.122314654,0.41482696,30.0,-7.6001763,0.0,150.0,0.0
3,-0.36582473,0.4451528,-0.12125739,0.40086487,40.0,-9.938815,0.0,200.0,0.0
4,-0.35721853,0.44953346,-0.11070715,0.3871372,50.0,-12.049528,0.0,250.0,0.0
5,-0.3466219,0.44661942,-0.10066996,0.37179205,60.0,-14.289749,0.0,300.0,0.0
6,-0.34147716,0.44730893,-0.095639385,0.36130172,70.0,-16.189728,0.0,350.0,0.0
7,-0.34552526,0.44902882,-0.09351268,0.35469538,80.0,-18.400759,0.0,400.0,0.0
8,-0.3525499,0.44734427,-0.09479483,0.3459365,90.0,-20.55379,0.0,450.0,0.0
9,-0.35436037,0.44457683,-0.09532451,0.33816284,100.0,-22.511967,0.0,500.0,0.0
10,-0.3550776,0.44335458,-0.09485668,0.33236474,110.0,-24.526342,0.0,550.0,0.0
11,-0.3556942,0.44477117,-0.09498676,0.3288762,120.0,-26.003366,0.0,600.0,0.0
12,-0.34982204,0.44362172,-0.09162752,0.3243014,130.0,-28.147434,0.0,650.0,0.0
13,-0.35367343,0.44346026,-0.09283017,0.32162577,140.0,-29.878582,0.0,700.0,0.0
14,-0.3557904,0.44240394,-0.09353586,0.31961337,150.0,-31.580988,0.0,750.0,0.0
15,-0.3542327,0.44263077,-0.0926489,0.318191,160.0,-33.34124,0.0,800.0,0.0
16,-0.35933974,0.44235703,-0.09400756,0.31642422,170.0,-34.885567,0.0,850.0,0.0
17,-0.361722,0.44282785,-0.094427116,0.31464043,180.0,-36.424217,0.0,900.0,0.0
18,-0.36289164,0.4425132,-0.09473677,0.31239507,190.0,-38.0897,0.0,950.0,0.0
19,-0.36684784,0.44287908,-0.09607984,0.31072372,200.0,-39.363377,0.0,1000.0,0.0
20,-0.36622098,0.442669,-0.09571763,0.30952325,210.0,-40.58044,0.0,1050.0,0.0
21,-0.36596859,0.4427024,-0.09549605,0.30817124,220.0,-40.227215,0.0,1100.0,0.0
22,-0.3687036,0.44233456,-0.09774905,0.30817,230.0,-43.347122,0.0,1150.0,0.0
23,-0.36834058,0.44206882,-0.09825905,0.30741265,240.0,-45.161865,0.0,1200.0,0.0
24,-0.3679885,0.44240412,-0.097148664,0.30940372,250.0,-46.3581,0.0,1250.0,0.0
25,-0.36718878,0.44262207,-0.09730158,0.31181493,260.0,-47.298523,0.0,1300.0,0.0
26,-0.36820784,0.44198564,-0.09879727,0.31564277,270.0,-41.770866,0.0,1350.0,0.0
27,-0.36771822,0.44146052,-0.10062258,0.31924972,280.0,-49.295708,0.0,1400.0,0.02
28,-0.36825654,0.44146803,-0.10230119,0.32030994,290.0,-46.639732,0.0,1450.0,0.0
29,-0.3686582,0.4417782,-0.10440004,0.32361454,300.0,-48.791233,0.0,1500.0,0.0
30,-0.36809608,0.4413613,-0.10630851,0.32786998,310.0,-45.13261,0.0,1550.0,0.02
31,-0.3672516,0.4411546,-0.10793793,0.3334713,320.0,-48.601208,0.0,1600.0,0.0
32,-0.36807248,0.44128433,-0.110262886,0.3370755,330.0,-49.382477,0.0,1650.0,0.0
33,-0.3669283,0.44183242,-0.112448536,0.34116086,340.0,-44.363365,0.1,1700.0,0.04
34,-0.3687555,0.4417703,-0.116665974,0.34648594,350.0,-43.958626,0.0,1750.0,0.0
35,-0.36993167,0.44108987,-0.120001085,0.3512991,360.0,-38.367485,0.0,1800.0,0.02
36,-0.36894616,0.44162712,-0.12311363,0.357384,370.0,-45.35449,0.0,1850.0,0.02
37,-0.36797342,0.44180503,-0.12553027,0.3614397,380.0,-44.166786,0.0,1900.0,0.02
38,-0.36849046,0.4428035,-0.12931803,0.36564776,390.0,-42.688877,0.0,1950.0,0.02
39,-0.3698051,0.44272348,-0.13345203,0.3697649,400.0,-44.913193,0.0,2000.0,0.0
