# {"t_start": 1625580406.1936693, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,53.471245
-100.0,100,93.519035
-100.0,100,133.295506
-100.0,100,173.095675
-100.0,100,213.030813
-100.0,100,252.987183
-100.0,100,292.339675
-100.0,100,331.987257
-100.0,100,371.775161
-100.0,100,411.411002
-100.0,100,451.259664
-100.0,100,491.007408
-100.0,100,530.855754
-100.0,100,571.022856
-100.0,100,610.687668
-100.0,100,650.310821
-100.0,100,690.130835
-100.0,100,729.96339
-100.0,100,769.995345
-100.0,100,809.955086
-100.0,100,849.834705
-100.0,100,889.607164
-100.0,100,929.459474
-100.0,100,969.211513
-100.0,100,1008.923276
-100.0,100,1048.931131
-100.0,100,1088.822984
-100.0,100,1128.731143
-100.0,100,1168.743272
-100.0,100,1208.771582
-100.0,100,1248.739484
-100.0,100,1288.810922
-100.0,100,1328.731642
-100.0,100,1368.826967
-100.0,100,1408.659395
-100.0,100,1448.407273
-100.0,100,1488.323203
-100.0,100,1528.114916
-100.0,100,1568.010701
-100.0,100,1608.167216
-100.0,100,1648.05477
-100.0,100,1688.267341
-100.0,100,1728.371964
-100.0,100,1768.183064
-100.0,100,1807.939635
-100.0,100,1847.815121
-100.0,100,1887.523278
-100.0,100,1927.350947
-100.0,100,1967.18346
-100.0,100,2006.947372
-100.0,100,2046.799705
-100.0,100,2085.44724
-100.0,100,2123.951271
-100.0,100,2162.64754
-100.0,100,2201.355328
-100.0,100,2240.035612
-100.0,100,2278.518762
-100.0,100,2317.119632
-100.0,100,2355.879096
-100.0,100,2394.531199
-100.0,100,2433.195647
-100.0,100,2473.319414
-100.0,100,2513.231419
-100.0,100,2552.926939
-100.0,100,2593.003387
-100.0,100,2632.971111
-100.0,100,2672.851175
-100.0,100,2712.790895
-100.0,100,2752.743021
-100.0,100,2792.734835
-100.0,100,2832.458851
-100.0,100,2872.463365
-100.0,100,2912.358906
-100.0,100,2952.27169
-100.0,100,2992.23152
-100.0,100,3032.287234
-100.0,100,3072.24316
-100.0,100,3112.139023
-100.0,100,3152.239157
-100.0,100,3192.247234
-100.0,100,3232.126794
-100.0,100,3271.966832
-100.0,100,3311.938771
-100.0,100,3351.783598
-100.0,100,3391.754761
-100.0,100,3431.879209
-100.0,100,3472.055652
-100.0,100,3511.675088
-100.0,100,3551.587589
-100.0,100,3592.023683
-100.0,100,3631.999771
-100.0,100,3671.831764
-100.0,100,3711.823834
-100.0,100,3751.711774
-100.0,100,3791.735858
-100.0,100,3831.8552
-100.0,100,3871.742821
-100.0,100,3911.575759
-100.0,100,3951.763505
-100.0,100,3991.790988
-100.0,100,4031.858972
-100.0,100,4072.183112
-100.0,100,4112.311505
-100.0,100,4152.322896
-100.0,100,4192.67941
-100.0,100,4232.931368
-100.0,100,4272.810865
-100.0,100,4312.50697
-100.0,100,4352.831117
-100.0,100,4393.055377
-100.0,100,4432.995488
-100.0,100,4471.678954
-100.0,100,4510.459416
-100.0,100,4548.843083
-100.0,100,4587.363637
-100.0,100,4625.839405
-100.0,100,4664.515078
-100.0,100,4703.035304
-100.0,100,4741.775144
-100.0,100,4780.375147
-100.0,100,4818.871408
-100.0,100,4858.723293
-100.0,100,4898.731532
-100.0,100,4939.030756
-100.0,100,4979.018748
-100.0,100,5019.154949
-100.0,100,5059.187322
-100.0,100,5099.439601
-100.0,100,5139.167148
-100.0,100,5179.215183
-100.0,100,5219.091488
-100.0,100,5259.127415
-100.0,100,5298.899225
-100.0,100,5339.002811
-100.0,100,5379.0712
-100.0,100,5419.359495
-100.0,100,5459.454905
-100.0,100,5499.415606
-100.0,100,5539.331004
-100.0,100,5579.475099
-100.0,100,5619.663773
-100.0,100,5659.827007
-100.0,100,5700.027125
-100.0,100,5739.79558
-100.0,100,5779.579539
-100.0,100,5819.795761
-100.0,100,5860.04331
-100.0,100,5900.399769
-100.0,100,5940.242665
