# {"t_start": 1625819938.662134, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,53.482213
-100.0,100,93.363187
-100.0,100,133.307273
-100.0,100,173.258532
-100.0,100,213.486865
-100.0,100,253.202649
-100.0,100,293.051065
-100.0,100,332.886429
-100.0,100,372.783159
-100.0,100,412.739233
-100.0,100,452.574566
-100.0,100,492.47068
-100.0,100,532.190198
-100.0,100,571.946831
-100.0,100,612.026999
-100.0,100,651.846422
-100.0,100,691.578665
-100.0,100,731.478638
-100.0,100,771.386432
-100.0,100,811.163002
-100.0,100,851.186239
-100.0,100,891.246239
-100.0,100,930.967178
-91.0,100,970.934948
-100.0,100,1010.646566
-100.0,100,1050.518975
-100.0,100,1090.230871
-100.0,100,1130.050823
-100.0,100,1170.058531
-100.0,100,1209.974952
-100.0,100,1249.866581
-100.0,100,1289.818933
-100.0,100,1329.674845
-100.0,100,1369.563199
-100.0,100,1409.134661
-100.0,100,1448.854989
-100.0,100,1488.847048
-100.0,100,1528.487056
-100.0,100,1568.2791
-100.0,100,1608.167086
-100.0,100,1647.859068
-100.0,100,1687.906338
-100.0,100,1727.971095
-100.0,100,1767.838531
-100.0,100,1807.626679
-100.0,100,1847.563169
-100.0,100,1887.474817
-100.0,100,1927.258554
-100.0,100,1967.319202
-100.0,100,2007.29876
-100.0,100,2047.130408
-100.0,100,2085.738122
-100.0,100,2124.342537
-100.0,100,2162.834971
-100.0,100,2201.523184
-100.0,100,2240.222274
-100.0,100,2278.754872
-100.0,100,2317.502326
-100.0,100,2356.09523
-100.0,100,2394.762464
-100.0,100,2433.454375
-100.0,100,2473.390948
-100.0,100,2513.32291
-100.0,100,2553.59445
-100.0,100,2593.590569
-100.0,100,2633.906427
-100.0,100,2673.814966
-100.0,100,2713.690228
-100.0,100,2753.646816
-100.0,100,2793.602146
-100.0,100,2833.518344
-100.0,100,2873.570924
-100.0,100,2913.735288
-100.0,100,2953.726998
-100.0,100,2993.910649
-100.0,100,3034.211123
-100.0,100,3074.323189
-100.0,100,3114.370389
-100.0,100,3154.490401
-100.0,100,3194.574447
-100.0,100,3234.755014
-100.0,100,3274.558142
-100.0,100,3314.403039
-100.0,100,3354.414945
-100.0,100,3394.338895
-100.0,100,3434.342327
-100.0,100,3474.218204
-100.0,100,3514.462788
-100.0,100,3554.666545
-100.0,100,3594.73476
-100.0,100,3634.834183
-100.0,100,3674.806519
-100.0,100,3714.839283
-100.0,100,3754.698644
-100.0,100,3794.491172
-100.0,100,3834.563421
-100.0,100,3874.491002
-100.0,100,3914.722275
-100.0,100,3954.526679
-100.0,100,3994.618249
-100.0,100,4034.802473
-100.0,100,4074.923059
-100.0,100,4115.098923
-100.0,100,4155.17118
-100.0,100,4195.286183
-100.0,100,4235.402722
-100.0,100,4275.422944
-100.0,100,4315.378362
-100.0,100,4355.283158
-100.0,100,4395.323233
-100.0,100,4435.262527
-100.0,100,4473.834825
-100.0,100,4512.487225
-100.0,100,4551.391215
-100.0,100,4590.019141
-100.0,100,4628.374824
-100.0,100,4666.935101
-100.0,100,4705.491091
-100.0,100,4744.170184
-100.0,100,4782.950474
-100.0,100,4821.542574
-100.0,100,4861.498197
-100.0,100,4901.626488
