epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.30543765,0.0934258,-0.13921644,0.16603947,10.0,-2.8698792,0.0,50.0,0.0
1,-0.32971826,0.09139472,-0.13010573,0.15410101,20.0,-4.8018174,0.0,100.0,0.0
2,-0.34193325,0.08764934,-0.122950666,0.14217617,30.0,-6.953513,0.0,150.0,0.0
3,-0.34936988,0.08437842,-0.11889744,0.13207528,40.0,-9.13439,0.0,200.0,0.0
4,-0.35408545,0.0817556,-0.11552472,0.124879904,50.0,-11.400148,0.0,250.0,0.0
5,-0.35765028,0.07958678,-0.11314221,0.118710555,60.0,-13.445503,0.0,300.0,0.0
6,-0.36021242,0.07783141,-0.11204941,0.11386637,70.0,-15.394251,0.0,350.0,0.0
7,-0.3622863,0.076343715,-0.11193304,0.10986809,80.0,-17.425655,0.0,400.0,0.0
8,-0.3638538,0.075117536,-0.11154302,0.10657709,90.0,-19.455309,0.0,450.0,0.0
9,-0.36530045,0.07400622,-0.11125142,0.10386077,100.0,-21.45871,0.0,500.0,0.0
10,-0.36631414,0.07311768,-0.111744486,0.10251445,110.0,-22.748365,0.0,550.0,0.0
11,-0.36731914,0.07234094,-0.112301506,0.10268765,120.0,-23.04079,0.0,600.0,0.0
12,-0.36829212,0.07184016,-0.11626841,0.11437368,130.0,-21.260227,0.0,650.0,0.0
13,-0.36918303,0.071738355,-0.11997933,0.12471046,140.0,-22.39246,0.0,700.0,0.0
14,-0.36983252,0.07194877,-0.124550685,0.13401018,150.0,-24.182957,0.0,750.0,0.0
15,-0.3702294,0.07261699,-0.13184993,0.14228365,160.0,-27.93652,0.0,800.0,0.0
16,-0.37043548,0.072320834,-0.14040762,0.15190175,170.0,-18.742554,0.0,850.0,0.02
17,-0.37031648,0.071941845,-0.14865264,0.15981993,180.0,-20.86521,0.0,900.0,0.14
18,-0.36722776,0.08630761,-0.15231909,0.16859935,190.0,-10.694919,0.1,950.0,0.06
19,-0.3625542,0.08966813,-0.15373874,0.17353977,200.0,-11.013196,0.0,1000.0,0.16
20,-0.35923097,0.091265686,-0.1543695,0.17636374,210.0,-9.288061,0.9,1050.0,0.24
21,-0.3554401,0.093005516,-0.15491034,0.17710884,220.0,-13.369647,0.0,1100.0,0.2
22,-0.35219467,0.094097614,-0.15626967,0.17805505,230.0,-8.032824,1.0,1150.0,0.42
23,-0.34969988,0.09454423,-0.15814257,0.17874861,240.0,-8.345064,1.0,1200.0,0.54
24,-0.34736025,0.09503808,-0.15933084,0.17966227,250.0,-7.6378617,1.0,1250.0,0.56
25,-0.34507298,0.09567124,-0.16009448,0.18033664,260.0,-7.9956446,1.0,1300.0,0.68
26,-0.3429706,0.0958051,-0.16047022,0.18064077,270.0,-10.950392,1.0,1350.0,0.7
27,-0.34198403,0.09648669,-0.15839484,0.1930543,280.0,-41.312824,0.0,1400.0,0.54
28,-0.34227946,0.09653556,-0.15754297,0.19736956,290.0,-35.89957,0.0,1450.0,0.28
29,-0.3411996,0.09683532,-0.15688203,0.19853263,300.0,-7.143467,1.0,1500.0,0.54
30,-0.33939227,0.09666792,-0.15698174,0.19802655,310.0,-8.884851,0.8,1550.0,0.86
31,-0.33741128,0.09661448,-0.15681939,0.1978263,320.0,-6.2073393,1.0,1600.0,0.86
32,-0.33570087,0.09674724,-0.15659209,0.19780852,330.0,-5.8245425,1.0,1650.0,0.8
33,-0.33382514,0.09796093,-0.1565046,0.19840239,340.0,-5.5295095,1.0,1700.0,0.66
34,-0.33245155,0.097604476,-0.15640008,0.19818024,350.0,-5.823245,1.0,1750.0,0.92
35,-0.3313879,0.097097635,-0.15631692,0.19745882,360.0,-5.5900106,1.0,1800.0,0.96
36,-0.32994774,0.096764624,-0.15627643,0.19688046,370.0,-5.708197,1.0,1850.0,0.94
37,-0.32860807,0.09645289,-0.15613818,0.19633019,380.0,-5.5182753,1.0,1900.0,0.92
38,-0.32740346,0.09604957,-0.15598981,0.19553027,390.0,-5.6853,1.0,1950.0,0.96
39,-0.32616213,0.095711686,-0.15582013,0.19497032,400.0,-5.4992056,1.0,2000.0,0.88
