# {"t_start": 1625817256.5501437, "env_id": "dVRLPickPlaceTarget-v0"} 
r,l,t
-100.0,100,54.510517
-100.0,100,95.442636
-100.0,100,135.502733
-100.0,100,175.687216
-100.0,100,216.011156
-100.0,100,256.190649
-100.0,100,296.166938
-100.0,100,336.231011
-100.0,100,376.167036
-100.0,100,415.947169
-100.0,100,456.162814
-100.0,100,496.29848
-100.0,100,536.347141
-100.0,100,576.366666
-100.0,100,616.531232
-100.0,100,656.742302
-100.0,100,696.871027
-100.0,100,736.891008
-100.0,100,777.086829
-100.0,100,817.422411
-100.0,100,857.61082
-100.0,100,897.906863
-100.0,100,938.363082
-100.0,100,978.73847
-100.0,100,1018.922905
-100.0,100,1059.16689
-100.0,100,1099.434824
-100.0,100,1139.463117
-100.0,100,1179.751139
-100.0,100,1219.926584
-100.0,100,1260.10261
-100.0,100,1300.322464
-100.0,100,1340.410908
-100.0,100,1380.755379
-100.0,100,1420.970602
-100.0,100,1461.083393
-100.0,100,1501.22667
-100.0,100,1541.331134
-100.0,100,1581.614327
-100.0,100,1621.978891
-100.0,100,1662.230162
-100.0,100,1702.274671
-100.0,100,1742.451205
-100.0,100,1782.778673
-100.0,100,1822.843008
-100.0,100,1862.894908
-100.0,100,1903.387134
-100.0,100,1943.603146
-100.0,100,1984.050891
-100.0,100,2024.390308
-100.0,100,2064.735022
-100.0,100,2103.710621
-100.0,100,2142.363028
-100.0,100,2181.454717
-100.0,100,2220.454299
-100.0,100,2259.382902
-100.0,100,2298.234452
-100.0,100,2337.174704
-100.0,100,2375.974199
-100.0,100,2414.91515
-100.0,100,2454.046854
-100.0,100,2494.290993
-100.0,100,2534.670665
-100.0,100,2575.130243
-100.0,100,2615.354566
-100.0,100,2655.562809
-100.0,100,2695.95512
-100.0,100,2736.134488
-100.0,100,2776.250827
-100.0,100,2816.343418
-100.0,100,2856.534299
-100.0,100,2896.914683
-100.0,100,2937.194489
-100.0,100,2977.274345
-100.0,100,3017.402405
-100.0,100,3057.758307
-100.0,100,3098.106856
-100.0,100,3138.247364
-100.0,100,3178.526691
-100.0,100,3218.743014
-100.0,100,3259.114803
-100.0,100,3299.495162
-100.0,100,3340.070607
-100.0,100,3380.247017
-100.0,100,3420.486821
-100.0,100,3461.123196
-100.0,100,3501.578416
-100.0,100,3541.80639
-100.0,100,3582.286772
-100.0,100,3622.522617
-100.0,100,3662.847294
-100.0,100,3703.262393
-86.0,100,3743.618571
-100.0,100,3784.178725
-100.0,100,3824.502228
-100.0,100,3864.682269
-100.0,100,3904.86633
-100.0,100,3945.322886
-100.0,100,3985.806898
-100.0,100,4025.767051
-100.0,100,4066.147166
-100.0,100,4106.414299
-100.0,100,4146.978508
-100.0,100,4187.374508
-100.0,100,4227.583117
-100.0,100,4268.203366
-100.0,100,4308.498388
-100.0,100,4348.826616
-100.0,100,4389.175209
-100.0,100,4429.558475
-100.0,100,4469.922885
-100.0,100,4509.062717
-100.0,100,4548.286602
-100.0,100,4587.546352
-100.0,100,4626.514961
-100.0,100,4665.754837
-100.0,100,4704.606884
-100.0,100,4743.762369
-100.0,100,4782.739007
-100.0,100,4821.683224
-100.0,100,4860.566349
-100.0,100,4901.030352
-100.0,100,4941.382721
-100.0,100,4981.646734
-100.0,100,5021.946965
-100.0,100,5062.262196
-100.0,100,5102.794624
-100.0,100,5143.0427
-100.0,100,5183.526555
-100.0,100,5223.823185
-100.0,100,5264.16258
-100.0,100,5304.382896
-100.0,100,5344.726901
-100.0,100,5385.43469
-100.0,100,5425.790709
-100.0,100,5466.086489
-100.0,100,5506.374621
-100.0,100,5547.078909
-100.0,100,5587.498414
-100.0,100,5627.774691
-100.0,100,5668.318431
-100.0,100,5708.702972
-100.0,100,5749.071105
-100.0,100,5789.50262
-100.0,100,5829.819142
-100.0,100,5870.290257
-100.0,100,5910.727145
-100.0,100,5950.994953
-100.0,100,5991.382624
-100.0,100,6031.81465
-100.0,100,6072.406441
-100.0,100,6112.942986
-100.0,100,6153.362668
-100.0,100,6193.970774
-100.0,100,6234.34255
-100.0,100,6274.523167
-100.0,100,6315.203252
-100.0,100,6355.506965
-100.0,100,6395.851034
-100.0,100,6436.543258
-100.0,100,6476.894511
-100.0,100,6517.214935
-100.0,100,6557.530414
-100.0,100,6597.726412
-100.0,100,6638.106871
-65.0,100,6678.39877
-100.0,100,6718.762731
-100.0,100,6759.070792
-100.0,100,6799.534886
-100.0,100,6840.071372
-100.0,100,6880.518814
-100.0,100,6919.718477
-84.0,100,6958.614794
-100.0,100,6997.44705
-100.0,100,7036.422682
-100.0,100,7075.474875
-100.0,100,7114.526296
-100.0,100,7153.802989
-88.0,100,7192.886341
-100.0,100,7232.02248
-100.0,100,7270.906374
-100.0,100,7311.334754
-100.0,100,7351.634606
-59.0,100,7391.934747
-100.0,100,7432.455226
-100.0,100,7472.97139
-100.0,100,7513.442247
-100.0,100,7553.711118
-100.0,100,7594.246612
-88.0,100,7634.590203
-100.0,100,7674.951224
-100.0,100,7715.603104
-100.0,100,7755.898291
-100.0,100,7796.571123
-100.0,100,7836.963237
-100.0,100,7877.219238
-100.0,100,7917.606913
-100.0,100,7958.103259
-100.0,100,7998.663039
-100.0,100,8039.086912
-100.0,100,8079.539066
-100.0,100,8119.898872
-100.0,100,8160.354199
-100.0,100,8200.791219
-100.0,100,8241.254782
-100.0,100,8281.962615
-100.0,100,8322.527206
-100.0,100,8363.162476
-100.0,100,8403.479105
-100.0,100,8444.099095
-100.0,100,8484.630332
-95.0,100,8525.038899
-100.0,100,8565.650418
-100.0,100,8606.010463
-100.0,100,8646.178191
-100.0,100,8686.486336
-84.0,100,8727.118536
-100.0,100,8767.518901
-100.0,100,8808.367311
-100.0,100,8848.886531
-100.0,100,8889.306716
-100.0,100,8929.658326
-94.0,100,8970.02283
-100.0,100,9010.326337
-100.0,100,9050.750632
-100.0,100,9091.074908
-100.0,100,9131.702187
-77.0,100,9172.0872
-100.0,100,9212.135223
-100.0,100,9252.466483
-46.0,100,9292.914692
-100.0,100,9331.966846
-100.0,100,9370.962652
-100.0,100,9410.118831
-100.0,100,9449.355076
-56.0,100,9488.430664
-100.0,100,9527.583059
-100.0,100,9566.723239
-100.0,100,9605.839159
-100.0,100,9644.914478
-100.0,100,9683.863194
-100.0,100,9724.307072
-89.0,100,9764.815047
-100.0,100,9805.107111
-100.0,100,9845.69076
-100.0,100,9885.971213
-91.0,100,9926.39854
-100.0,100,9966.942405
-100.0,100,10007.222611
-100.0,100,10047.754691
-100.0,100,10088.218337
-100.0,100,10128.694763
-100.0,100,10169.114151
-100.0,100,10209.494984
-100.0,100,10250.055037
-100.0,100,10290.65929
-100.0,100,10331.082869
-100.0,100,10371.478225
-100.0,100,10411.730752
-100.0,100,10451.987103
-100.0,100,10492.302545
-100.0,100,10532.754285
-100.0,100,10573.127023
-100.0,100,10613.439357
-100.0,100,10653.706666
-100.0,100,10694.182406
-100.0,100,10734.322461
-100.0,100,10774.663183
-100.0,100,10815.042506
-100.0,100,10855.511345
-100.0,100,10896.031043
-100.0,100,10936.422897
-100.0,100,10976.510221
-100.0,100,11016.918164
-100.0,100,11057.490575
-100.0,100,11097.850337
-84.0,100,11138.41844
-100.0,100,11179.111143
-100.0,100,11219.402637
-100.0,100,11259.886437
-100.0,100,11300.210648
-100.0,100,11340.723381
-100.0,100,11380.998456
-100.0,100,11421.406746
-100.0,100,11461.750334
-100.0,100,11502.302701
-100.0,100,11542.907202
-86.0,100,11583.227448
-100.0,100,11623.52638
-100.0,100,11663.866303
-100.0,100,11704.334931
-73.0,100,11743.694725
-100.0,100,11782.991266
-100.0,100,11822.206327
-100.0,100,11861.306771
-72.0,100,11900.555015
-100.0,100,11939.67071
-58.0,100,11978.578766
-86.0,100,12017.726792
-100.0,100,12056.92274
-100.0,100,12096.014925
-100.0,100,12136.707243
-100.0,100,12177.226489
-100.0,100,12217.815164
-100.0,100,12258.238286
-100.0,100,12298.998741
-83.0,100,12339.523251
-100.0,100,12380.07509
-46.0,100,12420.911054
-100.0,100,12461.494312
-100.0,100,12502.050497
-100.0,100,12542.61504
-100.0,100,12583.026574
-100.0,100,12623.479427
-100.0,100,12663.750428
-100.0,100,12704.139008
-100.0,100,12744.766887
-100.0,100,12785.550508
-100.0,100,12826.079148
-100.0,100,12866.490907
-100.0,100,12907.003106
-100.0,100,12947.17059
-100.0,100,12987.906404
-100.0,100,13028.551342
-100.0,100,13069.134957
-100.0,100,13109.827337
-100.0,100,13150.586938
-100.0,100,13191.002209
-100.0,100,13231.57033
-100.0,100,13271.766949
-100.0,100,13311.831244
-100.0,100,13352.215086
-100.0,100,13392.798638
-100.0,100,13433.314375
-100.0,100,13473.670454
-100.0,100,13514.247178
-100.0,100,13554.507176
-100.0,100,13595.183074
-100.0,100,13635.706481
-100.0,100,13675.942391
-100.0,100,13716.250257
-100.0,100,13756.934307
-100.0,100,13797.48631
-100.0,100,13838.154581
-83.0,100,13878.358992
-100.0,100,13918.866403
-90.0,100,13959.398383
-59.0,100,13999.831294
-100.0,100,14040.458309
-100.0,100,14080.982322
-100.0,100,14121.546823
-100.0,100,14160.62701
-100.0,100,14199.546712
-100.0,100,14238.410755
-100.0,100,14277.422671
-100.0,100,14316.454832
-100.0,100,14355.630746
-100.0,100,14394.73098
-100.0,100,14433.950645
-100.0,100,14473.01475
-100.0,100,14512.170756
-100.0,100,14552.458375
-100.0,100,14592.61911
-100.0,100,14633.154643
-100.0,100,14673.507388
-100.0,100,14714.139237
-77.0,100,14754.530366
-100.0,100,14794.855228
-99.0,100,14835.310512
-100.0,100,14875.770865
-100.0,100,14915.974394
-94.0,100,14956.322575
-100.0,100,14996.650901
-100.0,100,15036.907354
-100.0,100,15077.50638
-100.0,100,15117.990769
-100.0,100,15158.330672
-100.0,100,15198.946409
-52.0,100,15239.447168
-100.0,100,15279.52638
-100.0,100,15320.142249
-100.0,100,15360.31444
-100.0,100,15400.814394
-100.0,100,15441.66273
-100.0,100,15482.14257
-100.0,100,15522.46269
-64.0,100,15563.094678
-87.0,100,15603.431178
-100.0,100,15644.287361
-100.0,100,15685.142492
-100.0,100,15725.550592
-100.0,100,15765.814306
-100.0,100,15806.570842
-100.0,100,15847.106983
-100.0,100,15887.462593
-100.0,100,15927.814882
-100.0,100,15968.186794
-100.0,100,16008.514779
-100.0,100,16048.911005
-100.0,100,16089.462494
-100.0,100,16129.707191
-67.0,100,16170.290601
-100.0,100,16210.887185
-100.0,100,16251.135264
-100.0,100,16291.786189
-100.0,100,16332.350868
-100.0,100,16373.25106
-100.0,100,16413.674782
-100.0,100,16454.046894
-100.0,100,16494.575184
-100.0,100,16534.986225
-80.0,100,16574.046916
