epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.24428247,0.53772867,-0.10256328,0.48844987,10.0,-2.6661642,0.0,50.0,0.0
1,-0.25997373,0.5373408,-0.11360757,0.47755104,20.0,-4.405997,0.0,100.0,0.02
2,-0.2693869,0.53090674,-0.12229566,0.47154173,30.0,-5.745698,0.1,150.0,0.02
3,-0.26005033,0.5223883,-0.11645819,0.46850052,40.0,-7.6192718,0.2,200.0,0.08
4,-0.2623358,0.5172076,-0.12140327,0.463998,50.0,-9.309483,0.3,250.0,0.06
5,-0.26536343,0.51419544,-0.12468231,0.46400738,60.0,-13.272067,0.0,300.0,0.08
6,-0.2557082,0.51139635,-0.11718928,0.4649778,70.0,-12.505071,0.4,350.0,0.1
7,-0.25987723,0.5082232,-0.120389424,0.46622184,80.0,-14.029587,0.4,400.0,0.1
8,-0.25321025,0.5115927,-0.11847079,0.47091708,90.0,-13.154323,0.4,450.0,0.16
9,-0.24810521,0.51510924,-0.115130424,0.4811965,100.0,-18.645206,0.2,500.0,0.24
10,-0.24853893,0.5165925,-0.11664697,0.48074546,110.0,-15.895792,0.4,550.0,0.22
11,-0.24021177,0.5171647,-0.11283393,0.47956228,120.0,-16.634481,0.1,600.0,0.36
12,-0.23969424,0.51802105,-0.11521717,0.48138636,130.0,-19.082909,0.3,650.0,0.3
13,-0.23917687,0.5179228,-0.116525106,0.4855588,140.0,-20.15334,0.3,700.0,0.42
14,-0.23842949,0.51743346,-0.116163485,0.49088684,150.0,-20.82874,0.4,750.0,0.32
15,-0.23841707,0.5167673,-0.11678704,0.4959702,160.0,-20.449162,0.4,800.0,0.3
16,-0.23663986,0.51684165,-0.11666145,0.49926415,170.0,-18.403069,0.6,850.0,0.34
17,-0.23916404,0.5169175,-0.120296754,0.5018263,180.0,-18.465351,0.5,900.0,0.24
18,-0.24084933,0.5177895,-0.12024115,0.50274724,190.0,-29.020397,0.3,950.0,0.28
19,-0.23912595,0.5186108,-0.11833594,0.5048628,200.0,-23.683529,0.1,1000.0,0.16
20,-0.2381782,0.51808953,-0.11716988,0.5049117,210.0,-37.63346,0.0,1050.0,0.2
21,-0.24009709,0.5178328,-0.11418889,0.5354207,220.0,-23.786034,0.4,1100.0,0.04
22,-0.2386867,0.51716924,-0.11170335,0.53543264,230.0,-33.19597,0.1,1150.0,0.28
23,-0.23782945,0.51651204,-0.11163632,0.53355944,240.0,-28.323193,0.0,1200.0,0.32
24,-0.23806752,0.51700956,-0.11210203,0.5400184,250.0,-48.721657,0.0,1250.0,0.2
25,-0.24064057,0.5175559,-0.11002799,0.5644787,260.0,-43.268047,0.0,1300.0,0.0
26,-0.24208306,0.5205075,-0.10543815,0.5846664,270.0,-47.264805,0.0,1350.0,0.0
27,-0.24239051,0.52229494,-0.10253889,0.6031724,280.0,-39.14971,0.1,1400.0,0.0
28,-0.24203174,0.52160394,-0.10363566,0.5996936,290.0,-24.157654,0.4,1450.0,0.22
29,-0.24344768,0.52179545,-0.10514624,0.5967396,300.0,-28.067999,0.3,1500.0,0.12
30,-0.24331339,0.5214451,-0.10538566,0.59332114,310.0,-36.539814,0.1,1550.0,0.34
31,-0.24150787,0.5218292,-0.10540591,0.5910906,320.0,-26.798153,0.2,1600.0,0.2
32,-0.24052238,0.52081686,-0.10560366,0.5884523,330.0,-26.50058,0.6,1650.0,0.24
33,-0.24269712,0.52093124,-0.10732264,0.5866826,340.0,-26.364777,0.5,1700.0,0.28
34,-0.24151987,0.5213754,-0.106859915,0.58449876,350.0,-25.255848,0.3,1750.0,0.26
35,-0.24256606,0.5217569,-0.108372025,0.5827318,360.0,-22.52289,0.3,1800.0,0.24
36,-0.24243921,0.5218561,-0.10986351,0.5801645,370.0,-25.296722,0.3,1850.0,0.22
37,-0.24185388,0.52198166,-0.11030173,0.5779186,380.0,-27.910517,0.3,1900.0,0.32
38,-0.24114819,0.52156407,-0.11050404,0.57553494,390.0,-35.255737,0.0,1950.0,0.36
39,-0.24100828,0.52222824,-0.111226745,0.57350653,400.0,-24.296516,0.4,2000.0,0.36
