# {"t_start": 1625127878.1257622, "env_id": "dVRLPickRail-v0"} 
r,l,t
-314.265031,100,19.433624
-140.113324,100,29.326649
-198.065258,100,38.508887
-174.691794,100,47.7727
-178.775429,100,56.996752
-199.589222,100,66.221584
-61.47108,100,75.445491
-78.324073,100,81.151326
-80.405089,100,87.291578
-116.379453,100,92.790181
-69.098914,100,98.197233
-142.641804,100,103.911712
-69.956167,100,109.673421
-62.849023,100,114.995804
-68.38379,100,121.040781
-77.329932,100,126.586918
-65.007801,100,132.066406
-100.65443,100,139.137857
-137.632385,100,148.55057
-104.462324,100,157.613567
-87.254961,100,163.027698
-95.511485,100,169.396811
-53.799532,100,175.201539
-89.852345,100,180.855286
-60.514339,100,186.70772
-69.098916,100,192.159009
-73.235469,100,198.238727
-91.407344,100,204.168843
-101.071046,100,210.874414
-65.599822,100,216.068748
-69.598831,100,222.206173
-100.820414,100,229.036958
-71.811345,100,236.065531
-69.42165,100,242.419931
-98.449326,100,247.822999
-66.946859,100,253.555412
-50.498185,100,259.176007
-87.960908,100,264.706549
-94.433985,100,272.920681
-60.91092,100,282.402023
-65.599754,100,288.250998
-103.451879,100,295.300769
-82.112389,100,300.8687
-63.195097,100,306.222201
-48.373181,100,312.208519
-87.559201,100,321.69331
-83.90554,100,330.894276
-54.145496,100,340.353329
-70.363265,100,346.869743
-84.968095,100,353.721813
-73.680301,100,363.297055
-66.752713,100,371.381461
-57.322295,100,379.573008
-56.25258,100,387.660971
-105.181715,100,395.734275
-72.216508,100,403.862621
-68.566644,100,412.009789
-72.998539,100,420.150659
-176.326827,100,428.242766
-64.72902,100,436.460386
-53.367885,100,440.562959
-75.328317,100,445.480974
-69.942951,100,454.305955
-93.529857,100,463.817501
-51.767945,100,470.473169
-86.027758,100,477.017571
-53.865108,100,483.244078
-76.691621,100,489.208764
-92.932243,100,498.377667
-75.019434,100,507.821002
-69.964741,100,514.333799
-61.73302,100,520.199377
-100.164854,100,529.80518
-64.829296,100,535.90795
-67.581569,100,542.68777
-84.429967,100,549.647826
-71.90688,100,557.23624
-89.248059,100,566.632729
-72.151445,100,572.257233
-82.78906,100,578.220692
-62.963056,100,584.282168
-140.56583,100,593.594075
-75.243178,100,602.845784
-71.781336,100,612.15429
-68.650842,100,620.389282
-97.347401,100,626.609721
-49.624626,100,632.297891
-62.85907,100,637.912359
-75.116531,100,644.279355
-56.547407,100,650.160498
-60.523282,100,657.828243
-53.02619,100,664.012042
-57.917268,100,669.594419
-48.966276,100,675.009302
-58.455818,100,681.878164
-56.176722,100,688.290018
-93.583382,100,697.545984
-246.024001,100,706.832915
-80.787308,100,712.245055
-169.932855,100,721.581338
-53.26977,100,727.072643
-96.67417,100,732.600145
-90.378077,100,742.07762
-67.576779,100,747.261172
-78.790634,100,753.878497
-60.904552,100,761.448138
-71.314499,100,769.005667
-110.275928,100,775.094765
-59.599187,100,781.838117
-78.053483,100,788.785367
-85.410356,100,798.438163
-123.100241,100,806.524749
-71.854105,100,814.581425
-80.435408,100,822.697583
-135.188763,100,830.753559
-105.629767,100,838.88259
-80.698041,100,847.097116
-133.530453,100,855.244621
-90.194837,100,863.450028
-104.490595,100,871.561526
-87.435065,100,875.544975
-59.416648,100,881.677636
-72.860779,100,891.328093
-46.23714,100,897.752008
-91.847881,100,905.286592
-59.779197,100,913.56121
-64.188842,100,921.696189
-55.139549,100,929.226768
-60.643728,100,935.96485
-95.070784,100,943.838752
-39.900721,100,949.264052
-40.079319,100,954.718749
-100.39697,100,962.708389
-54.58305,100,969.231579
-51.351564,100,974.955891
-67.763715,100,982.723997
-59.05985,100,988.244009
-67.691103,100,995.382498
-52.384007,100,1000.806571
-54.564676,100,1007.351635
-45.776969,100,1013.252382
-51.429844,100,1019.864144
-63.167305,100,1027.333407
-61.915982,100,1033.937012
-65.71092,100,1041.032366
-71.288918,100,1048.310492
-64.8672,100,1053.78925
-54.292413,100,1059.89555
-62.409534,100,1065.798833
-53.936622,100,1071.510198
-89.130785,100,1078.661072
-78.569993,100,1086.1508
-65.632,100,1092.368338
-58.779041,100,1098.849776
-49.436648,100,1104.560287
-106.900184,100,1113.862458
-72.698354,100,1121.185724
-76.395872,100,1128.175744
-93.940263,100,1133.819811
-51.756039,100,1139.822873
-65.871788,100,1145.66115
-62.903847,100,1151.391495
-81.567817,100,1156.890112
-73.24367,100,1164.431843
-67.202904,100,1173.207919
-72.863121,100,1178.894706
-64.294698,100,1184.379985
-89.468307,100,1190.816835
-76.933421,100,1197.970499
-49.629936,100,1203.702831
-110.357572,100,1211.52372
-65.282179,100,1217.993404
-75.196664,100,1224.420279
-76.345752,100,1232.621305
-128.377991,100,1240.804807
-83.532762,100,1247.350718
-69.821376,100,1253.946958
-63.509565,100,1261.521513
-151.997017,100,1269.686178
-66.741866,100,1277.210046
-62.283697,100,1282.786755
-65.871901,100,1288.270366
-78.432237,100,1297.689701
-57.162558,100,1304.117812
-59.476497,100,1310.278159
-70.423657,100,1317.08723
-59.370876,100,1323.576552
-55.902763,100,1330.224985
-115.85388,100,1335.954157
-39.914548,100,1341.274922
-93.178017,100,1348.009016
-61.354311,100,1355.217211
-73.277562,100,1360.456493
-54.823247,100,1366.433353
-63.620881,100,1374.398739
-50.749781,100,1380.28566
-54.765868,100,1386.503527
-58.77123,100,1392.079736
-220.237203,100,1401.49843
-65.693955,100,1408.015008
-165.417469,100,1417.361798
-62.699028,100,1424.106545
-59.773129,100,1430.421161
-79.641389,100,1436.215687
-94.989232,100,1443.476226
-72.996663,100,1449.897382
-69.205822,100,1455.275889
-86.580651,100,1460.286525
-72.526858,100,1465.613433
-62.339904,100,1473.258145
-69.022503,100,1480.516128
-47.724628,100,1486.71146
-55.663823,100,1492.591906
-70.962215,100,1498.7746
-62.988753,100,1505.078988
-56.758936,100,1512.341148
-55.657546,100,1518.545846
-116.352353,100,1528.132613
-108.066139,100,1534.833006
-68.88888,100,1541.427887
-58.363188,100,1547.571944
-185.735542,100,1556.95256
-233.019241,100,1566.492094
-92.745745,100,1573.067152
-54.480911,100,1579.790427
-56.311216,100,1586.582401
-66.913184,100,1593.13019
-54.289028,100,1598.970588
-60.718392,100,1605.29142
-51.857904,100,1611.193683
-90.179722,100,1617.611937
-81.75602,100,1622.538214
-60.245997,100,1627.39686
-59.05068,100,1632.270995
-71.695504,100,1638.851114
-74.267848,100,1645.856022
-86.17192,100,1651.728414
-58.398343,100,1657.575382
-87.443581,100,1662.960389
-69.467501,100,1667.869659
-72.184186,100,1672.934174
-89.362897,100,1680.38848
-44.661578,100,1686.232317
-57.680122,100,1692.700641
-68.230697,100,1699.119673
-93.505919,100,1705.38404
-63.591172,100,1712.877125
-61.185745,100,1718.772753
