epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.106095254,0.15224908,0.015580535,0.18620266,10.0,-1.8581432,0.0,50.0,0.74
1,-0.116333105,0.15766144,0.0077696103,0.19007502,20.0,-4.4074216,0.0,100.0,0.76
2,-0.119908005,0.15357186,0.0044779396,0.18880193,30.0,-5.4952745,0.7,150.0,0.98
3,-0.11857233,0.15608086,0.0044025737,0.1895365,40.0,-5.7991195,1.0,200.0,0.88
4,-0.11372257,0.15604183,0.006645724,0.18969014,50.0,-7.667113,0.9,250.0,0.96
5,-0.11004328,0.15374781,0.008374789,0.18847959,60.0,-7.912262,0.7,300.0,1.0
6,-0.10886478,0.15283865,0.00870776,0.1881852,70.0,-9.7349615,0.0,350.0,0.94
7,-0.110456266,0.15258536,0.0070594274,0.18865241,80.0,-5.7128935,1.0,400.0,0.96
8,-0.109424286,0.15188529,0.0069519985,0.18840481,90.0,-6.593754,0.7,450.0,1.0
9,-0.10962686,0.15095483,0.0064523113,0.18790987,100.0,-6.664836,0.4,500.0,0.98
10,-0.10916656,0.14975499,0.006729541,0.18744822,110.0,-9.749945,0.0,550.0,0.98
11,-0.107044645,0.14902724,0.008492402,0.18759032,120.0,-6.903411,0.1,600.0,0.86
12,-0.10695628,0.14821286,0.008487324,0.18731277,130.0,-12.748768,0.0,650.0,0.94
13,-0.106894694,0.14769854,0.0081432415,0.18732251,140.0,-7.544333,0.1,700.0,0.92
14,-0.10665742,0.1475115,0.008059225,0.18738186,150.0,-5.8717465,0.0,750.0,0.94
15,-0.10665081,0.1467035,0.007890216,0.18714622,160.0,-6.036297,0.1,800.0,0.92
16,-0.10699892,0.14633524,0.00734246,0.18696317,170.0,-4.841544,0.7,850.0,0.94
17,-0.10702929,0.14625414,0.0071741915,0.18693535,180.0,-5.839143,0.4,900.0,0.96
18,-0.10695282,0.14645241,0.00699145,0.18720932,190.0,-5.881985,0.1,950.0,0.92
19,-0.107163884,0.14631706,0.006670954,0.18719412,200.0,-5.2495513,0.2,1000.0,0.88
20,-0.10704768,0.14612578,0.006866355,0.18711022,210.0,-4.8205805,0.0,1050.0,0.92
21,-0.106808,0.14595349,0.007125035,0.1871592,220.0,-6.274007,0.3,1100.0,0.88
22,-0.10759931,0.14562227,0.0064827246,0.18696089,230.0,-5.4020357,0.2,1150.0,0.94
23,-0.10761162,0.14550287,0.0063777673,0.1869322,240.0,-6.5682592,0.3,1200.0,0.9
24,-0.107157655,0.14514393,0.0065444517,0.18678318,250.0,-7.896875,0.2,1250.0,0.9
25,-0.106665045,0.14506923,0.0067950934,0.18672828,260.0,-5.8435545,0.4,1300.0,0.96
26,-0.10634687,0.14482771,0.0067991638,0.18658483,270.0,-5.4366465,0.2,1350.0,0.96
27,-0.107285075,0.14435486,0.006089715,0.18624948,280.0,-7.1114554,0.7,1400.0,0.96
28,-0.107794054,0.14390759,0.0055405092,0.1859494,290.0,-4.528998,0.0,1450.0,0.94
