# {"t_start": 1625213931.8033483, "env_id": "dVRLPickRail-v0"} 
r,l,t
-309.051742,100,19.128297
-415.015022,100,28.503345
-190.204587,100,37.714967
-170.503259,100,43.975935
-89.382817,100,53.098952
-172.648684,100,59.883072
-83.213813,100,69.080243
-65.505427,100,74.724066
-88.436049,100,81.264753
-252.901335,100,90.615398
-96.965766,100,99.711591
-85.212973,100,105.06525
-59.466844,100,110.55877
-93.816141,100,119.636685
-62.572064,100,125.558536
-98.477096,100,131.314605
-55.278526,100,136.769178
-144.481871,100,145.882999
-59.815514,100,151.694022
-70.278466,100,157.273727
-71.424416,100,165.334174
-74.65913,100,171.224837
-67.010467,100,176.462055
-77.334672,100,181.971716
-78.76703,100,187.975595
-119.786417,100,197.279402
-102.30725,100,203.369954
-85.777376,100,209.600155
-188.226706,100,219.0559
-64.208237,100,225.845359
-88.705446,100,231.953444
-143.597459,100,241.256466
-54.894302,100,247.003602
-69.940193,100,252.695576
-76.424106,100,258.562225
-82.60652,100,264.60463
-68.803851,100,271.258203
-244.660825,100,280.430982
-140.12437,100,289.650961
-57.312817,100,295.778766
-80.886606,100,301.791663
-59.660744,100,307.392472
-81.003441,100,313.795858
-81.108873,100,319.864871
-99.152152,100,328.412256
-72.10407,100,336.702077
-98.250856,100,342.501149
-65.402721,100,351.683542
-67.177183,100,357.940125
-76.239491,100,363.882118
-294.163529,100,373.403092
-167.553041,100,381.492015
-74.920722,100,389.516201
-53.793996,100,397.531611
-150.863704,100,405.535712
-71.780233,100,413.563959
-53.476246,100,421.586574
-82.245806,100,429.756613
-68.265912,100,437.888839
-64.248476,100,446.000735
-62.040734,100,450.661028
-56.503677,100,458.359982
-54.989323,100,463.816957
-68.70511,100,469.881785
-81.961828,100,475.439228
-82.971131,100,483.054466
-90.295317,100,488.904657
-59.244123,100,495.159293
-40.292676,100,500.594848
-55.574308,100,505.909243
-81.746059,100,512.820024
-63.153994,100,518.573048
-159.268034,100,527.872017
-83.400245,100,532.72893
-45.026747,100,538.337259
-82.846613,100,544.369406
-61.462363,100,551.109614
-50.072671,100,556.738809
-47.101031,100,561.893585
-72.630193,100,569.24503
-91.76973,100,578.508578
-81.283497,100,585.190019
-64.616291,100,591.671215
-72.772373,100,600.917222
-222.427957,100,610.388198
-86.171637,100,617.321245
-58.943861,100,623.492208
-61.212721,100,632.724064
-56.420932,100,638.16976
-127.217053,100,647.53187
-58.130321,100,654.770409
-64.325889,100,664.028646
-52.592111,100,669.703329
-55.5114,100,675.12265
-63.339436,100,681.512509
-63.129185,100,688.496813
-95.461187,100,697.740319
-82.451182,100,704.929609
-47.079869,100,710.647031
-68.267245,100,717.266138
-55.960818,100,724.858785
-59.871856,100,730.789591
-65.14647,100,735.982611
-63.489505,100,742.333343
-59.587855,100,748.88706
-75.463531,100,758.352007
-63.834272,100,765.038939
-53.448312,100,770.443646
-60.72074,100,777.462949
-65.103786,100,783.518788
-83.127217,100,792.924093
-103.900252,100,800.916239
-80.199149,100,808.892077
-138.860679,100,816.92773
-140.133257,100,824.947833
-130.085438,100,833.008664
-62.075658,100,840.97483
-81.842768,100,849.00808
-108.537438,100,857.024181
-59.342103,100,865.024618
-35.726551,100,868.953575
-43.607778,100,874.289767
-65.540139,100,883.344931
-63.743136,100,889.298084
-74.101885,100,894.530397
-50.604584,100,900.386278
-67.662727,100,905.711237
-82.100322,100,914.963902
-52.855653,100,920.727738
-64.353946,100,928.290396
-45.101493,100,933.830277
-90.782386,100,939.066778
-50.500755,100,944.408235
-69.079166,100,950.865418
-57.763354,100,957.626418
-76.789124,100,962.704761
-55.28618,100,968.844218
-75.529515,100,975.221824
-79.921653,100,980.181495
-59.803819,100,986.821037
-58.586493,100,992.344986
-83.186401,100,999.644017
-108.960986,100,1008.851901
-69.410497,100,1015.270084
-80.541943,100,1020.611514
-50.963105,100,1027.075266
-73.772373,100,1033.013498
-59.63531,100,1038.453911
-64.410066,100,1044.325374
-78.748539,100,1050.95614
-55.992428,100,1056.875674
-62.517504,100,1062.389354
-71.732215,100,1070.896659
-61.580811,100,1077.599833
-65.023237,100,1083.554157
-48.365588,100,1089.379699
-50.726549,100,1095.404815
-56.570861,100,1101.22531
-74.893891,100,1110.48358
-63.967699,100,1119.603581
-58.140115,100,1125.136183
-61.40705,100,1132.18579
-52.12877,100,1138.2254
-83.6982,100,1146.26109
-94.688201,100,1155.507803
-61.998099,100,1162.248918
-120.667179,100,1171.571801
-57.536778,100,1180.499121
-56.55399,100,1186.349935
-47.636922,100,1192.585242
-78.872392,100,1201.872121
-75.282118,100,1209.927346
-62.380049,100,1218.015438
-56.303465,100,1226.007196
-81.042556,100,1234.05893
-72.135284,100,1242.036161
-60.458495,100,1250.031241
-65.865029,100,1258.040153
-73.107211,100,1266.163359
-70.031052,100,1274.13168
-61.942051,100,1278.351598
-44.236408,100,1283.974433
-68.548224,100,1290.987878
-52.218187,100,1296.842454
-46.096889,100,1302.229868
-55.743104,100,1307.432083
-91.228726,100,1312.50204
