epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.117872395,0.16282664,0.0090846885,0.1918662,10.0,-2.5163324,0.0,50.0,0.7
1,-0.117127895,0.16187102,0.0079805,0.19221346,20.0,-4.299233,0.0,100.0,0.82
2,-0.11371171,0.15602197,0.0074996245,0.19018061,30.0,-4.619683,0.0,150.0,0.88
3,-0.11314922,0.1553737,0.006212226,0.19059204,40.0,-4.683098,0.0,200.0,0.78
4,-0.114739604,0.15344541,0.00516589,0.18960798,50.0,-5.615178,0.9,250.0,0.96
5,-0.11448317,0.1516742,0.004955641,0.18906371,60.0,-6.125345,0.1,300.0,0.9
6,-0.113697,0.14980204,0.0049938774,0.18797366,70.0,-5.170259,0.7,350.0,0.98
7,-0.11558187,0.14916481,0.0035395962,0.18795513,80.0,-5.862263,0.5,400.0,0.92
8,-0.11600935,0.14767163,0.003381263,0.18686558,90.0,-5.5696745,0.2,450.0,1.0
9,-0.114285536,0.14695849,0.0041304445,0.18630579,100.0,-5.4052796,0.1,500.0,0.98
10,-0.11400864,0.14605726,0.003564443,0.18590562,110.0,-4.2816105,0.0,550.0,0.88
11,-0.11355177,0.14523958,0.0036314917,0.18545444,120.0,-5.5170145,0.0,600.0,0.94
12,-0.11311519,0.14465688,0.0035984665,0.18520652,130.0,-4.5477443,0.0,650.0,0.96
13,-0.11256657,0.14499743,0.0035513598,0.18544176,140.0,-4.8505216,0.8,700.0,0.98
14,-0.11248798,0.14462543,0.003334254,0.18527465,150.0,-4.9758234,0.0,750.0,0.94
15,-0.11211722,0.14377502,0.003194013,0.18466222,160.0,-4.662572,0.6,800.0,1.0
16,-0.111915894,0.1439211,0.0030929467,0.18484937,170.0,-4.360588,0.0,850.0,0.96
17,-0.111124046,0.14369954,0.0034974855,0.18478541,180.0,-6.0037646,0.0,900.0,1.0
18,-0.11128216,0.14354523,0.0033012608,0.18484063,190.0,-4.5851398,0.2,950.0,0.9
19,-0.11090419,0.14384218,0.0032459435,0.18514895,200.0,-4.781963,0.5,1000.0,0.9
20,-0.11063642,0.14356413,0.0032836539,0.18513854,210.0,-4.3354406,0.0,1050.0,0.9
21,-0.11010612,0.1439199,0.003382753,0.18538861,220.0,-4.3894076,0.1,1100.0,0.92
22,-0.10997272,0.14393823,0.003444478,0.18540296,230.0,-4.2565527,0.0,1150.0,0.96
23,-0.11018018,0.14384857,0.0031300017,0.18537648,240.0,-6.3042483,0.2,1200.0,0.98
24,-0.109458156,0.1437874,0.003594226,0.18537237,250.0,-5.0354776,0.0,1250.0,0.94
25,-0.10978517,0.14361209,0.003475534,0.18530016,260.0,-4.6115394,0.0,1300.0,0.8
26,-0.10945795,0.14377473,0.0037660343,0.18556206,270.0,-5.31236,0.1,1350.0,0.9
27,-0.108716704,0.14387648,0.003983957,0.18563159,280.0,-4.765685,0.0,1400.0,0.98
28,-0.10849115,0.14351945,0.0040739053,0.18538353,290.0,-4.5297327,0.1,1450.0,0.94
29,-0.10897514,0.14302845,0.0037564188,0.18503046,300.0,-4.7947006,0.0,1500.0,0.98
30,-0.10901166,0.14280857,0.0037762735,0.18484192,310.0,-4.8138647,0.0,1550.0,0.98
31,-0.10887303,0.14299564,0.0037324813,0.18503742,320.0,-4.74168,0.0,1600.0,0.94
32,-0.108615644,0.1426889,0.0037150574,0.18478541,330.0,-4.65372,0.0,1650.0,0.94
33,-0.108113326,0.14290783,0.0038768288,0.1849503,340.0,-4.4613295,0.0,1700.0,0.88
34,-0.108338594,0.14256777,0.003748864,0.18472028,350.0,-10.197388,0.1,1750.0,0.98
35,-0.108481735,0.14256413,0.0036757865,0.18477416,360.0,-4.419436,0.1,1800.0,0.88
36,-0.10851169,0.14267808,0.0035943815,0.18483292,370.0,-3.5250676,0.0,1850.0,0.96
37,-0.10831973,0.14266312,0.003733073,0.18480982,380.0,-5.5278177,0.0,1900.0,0.94
38,-0.10870534,0.14259614,0.0034749508,0.1846536,390.0,-3.9896882,0.0,1950.0,0.98
39,-0.10840688,0.1425346,0.0035681066,0.18464337,400.0,-4.1626487,0.0,2000.0,0.96
40,-0.10793484,0.14223492,0.0036935082,0.1844501,410.0,-4.186785,0.0,2050.0,0.94
41,-0.108056195,0.14232402,0.0035854408,0.18445766,420.0,-5.4358225,0.0,2100.0,0.92
42,-0.108576186,0.14207534,0.003263846,0.18428637,430.0,-4.021467,0.0,2150.0,0.96
43,-0.108587176,0.14204939,0.003157967,0.18424734,440.0,-4.295071,0.0,2200.0,0.98
44,-0.10814193,0.14191411,0.0032891056,0.18415806,450.0,-3.930631,0.0,2250.0,0.96
45,-0.10831729,0.14180613,0.0031138083,0.1840627,460.0,-5.3831162,0.1,2300.0,0.96
46,-0.10827752,0.14169346,0.003095595,0.18393394,470.0,-4.073018,0.0,2350.0,1.0
47,-0.108392395,0.14158547,0.0029895944,0.18378915,480.0,-4.096436,0.0,2400.0,0.98
48,-0.108035125,0.14142157,0.0032427183,0.18360905,490.0,-4.8070903,0.0,2450.0,0.92
