# {"t_start": 1623228233.5007753, "env_id": "dVRLReach-v0"} 
r,l,t
-100.0,100,14.536128
-100.0,100,19.89037
-100.0,100,25.199275
-100.0,100,30.411669
-100.0,100,35.716311
-100.0,100,41.006724
-60.0,100,46.281269
-100.0,100,51.628323
-100.0,100,56.933625
-100.0,100,62.230009
-100.0,100,67.426542
-100.0,100,72.679517
-100.0,100,78.002424
-100.0,100,83.208311
-100.0,100,88.446895
0.0,100,93.732989
-100.0,100,99.023183
-100.0,100,104.376128
-100.0,100,109.719402
-100.0,100,115.080575
-100.0,100,120.529709
-100.0,100,125.971235
-100.0,100,131.445356
-100.0,100,136.968315
-100.0,100,142.381843
-100.0,100,147.820287
-30.0,100,153.222255
-100.0,100,158.812531
-100.0,100,164.303277
-100.0,100,169.752734
-100.0,100,175.177025
-100.0,100,180.573534
-100.0,100,186.148008
-100.0,100,191.568305
-100.0,100,197.02133
-100.0,100,202.596516
-100.0,100,208.101244
-100.0,100,213.55752
-100.0,100,219.047916
-100.0,100,224.541808
-100.0,100,230.007681
-100.0,100,235.408518
-100.0,100,240.736179
-100.0,100,246.153854
-100.0,100,251.634458
-100.0,100,257.05626
-100.0,100,262.493447
-100.0,100,268.047645
-100.0,100,273.454994
-100.0,100,278.83537
-100.0,100,284.28643
-100.0,100,288.560207
-100.0,100,292.840696
-100.0,100,297.135248
-100.0,100,301.437717
-100.0,100,305.706536
-100.0,100,309.983534
-100.0,100,314.282483
-100.0,100,318.564172
-100.0,100,322.845439
-100.0,100,327.207839
-100.0,100,332.6525
-100.0,100,338.136382
-100.0,100,343.700088
-100.0,100,349.166816
-100.0,100,354.721159
-100.0,100,360.18953
-100.0,100,365.649493
-100.0,100,371.257583
-1.0,100,376.711346
-100.0,100,382.266948
-100.0,100,387.744871
-100.0,100,393.228276
-100.0,100,398.73431
-100.0,100,404.136114
-100.0,100,409.537691
-95.0,100,415.018752
-100.0,100,420.520428
-100.0,100,426.024021
-70.0,100,431.750941
-100.0,100,437.209902
-100.0,100,442.76721
-100.0,100,448.11547
-6.0,100,453.534483
-100.0,100,459.007524
-100.0,100,464.516521
-3.0,100,470.008727
-100.0,100,475.355994
-100.0,100,480.992216
-100.0,100,486.442955
-100.0,100,491.941874
-100.0,100,497.365406
-100.0,100,502.842121
-100.0,100,508.317696
-44.0,100,513.791368
-56.0,100,519.391738
-100.0,100,524.852647
-22.0,100,530.451965
-100.0,100,535.906337
-100.0,100,541.32754
-2.0,100,546.857228
-2.0,100,552.317014
-98.0,100,557.951809
-29.0,100,563.524816
-100.0,100,569.002329
-100.0,100,574.523094
-100.0,100,580.047884
-100.0,100,585.59334
-4.0,100,591.044748
-100.0,100,596.547223
-100.0,100,602.093656
-100.0,100,606.376816
-100.0,100,610.658338
-95.0,100,614.928632
-22.0,100,619.208216
-100.0,100,623.484385
-100.0,100,627.755597
-100.0,100,632.008223
-100.0,100,636.307166
-100.0,100,640.608381
-1.0,100,644.898108
-100.0,100,650.5605
-100.0,100,656.103838
-100.0,100,661.562918
-81.0,100,667.148342
-100.0,100,672.590314
-100.0,100,678.044787
-100.0,100,683.616857
-100.0,100,689.096903
-100.0,100,694.601172
-26.0,100,700.159541
-100.0,100,705.64922
-100.0,100,711.259699
-100.0,100,716.902402
-100.0,100,722.494721
-100.0,100,728.25477
-100.0,100,733.786074
-100.0,100,739.404041
-100.0,100,744.996096
-100.0,100,750.524293
-100.0,100,756.078006
-100.0,100,761.770219
-4.0,100,767.22244
-66.0,100,772.714196
-100.0,100,778.247189
-100.0,100,783.827729
-97.0,100,789.293618
-6.0,100,794.784351
-100.0,100,800.271921
-3.0,100,805.939536
-100.0,100,811.383414
-68.0,100,816.917489
-100.0,100,822.555505
-100.0,100,828.168157
-100.0,100,833.671748
-77.0,100,839.345292
-4.0,100,844.801411
-6.0,100,850.272277
-98.0,100,855.806258
-96.0,100,861.277416
-100.0,100,866.858636
-80.0,100,872.402968
-100.0,100,878.032995
-100.0,100,883.500212
-3.0,100,888.971253
-100.0,100,894.563048
-100.0,100,900.075157
-100.0,100,905.591648
-100.0,100,911.218857
-56.0,100,916.706614
-100.0,100,922.234491
-100.0,100,926.509862
-100.0,100,930.785533
