# {"t_start": 1623253768.7069046, "env_id": "dVRLReach-v0"} 
r,l,t
-100.0,100,8.349472
-100.0,100,13.779202
-54.0,100,19.161839
-100.0,100,24.429141
-100.0,100,29.868383
-91.0,100,35.219574
-11.0,100,40.451586
-100.0,100,45.71218
-100.0,100,51.003173
-100.0,100,56.21109
-100.0,100,61.421271
-100.0,100,66.662486
-100.0,100,71.86859
-100.0,100,77.150283
-100.0,100,82.394381
-100.0,100,87.646857
-100.0,100,92.880563
-100.0,100,98.251143
-100.0,100,103.647415
-100.0,100,109.163271
-100.0,100,114.543703
-100.0,100,119.927566
-59.0,100,125.513892
-100.0,100,130.861259
-100.0,100,136.229349
-100.0,100,141.65308
-100.0,100,147.112817
-100.0,100,152.502754
-34.0,100,157.980024
-100.0,100,163.471378
-100.0,100,168.974952
-100.0,100,174.541921
-100.0,100,180.058976
-100.0,100,185.535079
-100.0,100,190.925726
-100.0,100,196.334151
-100.0,100,201.846549
-100.0,100,207.439254
-100.0,100,212.931133
-100.0,100,218.312353
-1.0,100,223.695682
-64.0,100,229.07077
-100.0,100,234.405408
-100.0,100,239.882093
-100.0,100,245.537529
-100.0,100,251.015707
-100.0,100,256.418349
-100.0,100,261.746022
-100.0,100,267.246915
-100.0,100,272.697742
-100.0,100,278.24205
-100.0,100,282.518416
-100.0,100,286.821168
-100.0,100,291.129565
-61.0,100,295.411758
-100.0,100,299.71434
-100.0,100,303.986567
-100.0,100,308.294113
-100.0,100,312.567241
-100.0,100,316.866552
-24.0,100,321.169665
-100.0,100,326.73237
-100.0,100,332.343706
-100.0,100,337.675457
-100.0,100,343.019789
-3.0,100,348.349176
-100.0,100,353.88545
-100.0,100,359.266542
-9.0,100,364.843572
-100.0,100,370.386134
-100.0,100,375.756772
-100.0,100,381.262702
-100.0,100,386.809071
-100.0,100,392.178289
-100.0,100,397.584187
-100.0,100,403.139844
-100.0,100,408.746342
-100.0,100,414.099219
-100.0,100,419.622639
-100.0,100,425.127965
-62.0,100,430.553885
-100.0,100,436.18784
-100.0,100,441.881728
-100.0,100,447.350307
-100.0,100,452.756112
-100.0,100,458.124079
-73.0,100,463.649235
-100.0,100,469.16721
-100.0,100,474.701717
0.0,100,480.218849
-100.0,100,485.781701
-66.0,100,491.382231
-100.0,100,496.778805
-100.0,100,502.301444
-100.0,100,507.824123
-100.0,100,513.369092
-100.0,100,518.721029
-100.0,100,524.340829
-5.0,100,529.756486
-100.0,100,535.304451
-100.0,100,540.782967
-100.0,100,546.242371
-100.0,100,551.716594
-100.0,100,557.285571
-100.0,100,562.843406
-100.0,100,568.439476
-100.0,100,574.045587
-100.0,100,579.558649
-100.0,100,585.046999
-100.0,100,590.450154
-100.0,100,595.868115
-100.0,100,600.158241
-100.0,100,604.465486
-100.0,100,608.765137
-100.0,100,613.080542
-100.0,100,617.378204
-100.0,100,621.651381
-100.0,100,625.920076
-100.0,100,630.203519
-75.0,100,634.533647
-100.0,100,638.834774
-100.0,100,644.397799
-100.0,100,649.892497
-3.0,100,655.381052
-100.0,100,660.901556
-3.0,100,666.443172
-100.0,100,672.002105
-100.0,100,677.491035
-100.0,100,683.033036
-55.0,100,688.495763
-100.0,100,693.90596
-100.0,100,699.342166
-2.0,100,705.083303
-100.0,100,710.651933
-100.0,100,716.139764
-100.0,100,721.588858
-1.0,100,727.110933
-100.0,100,732.556217
-100.0,100,738.147326
-3.0,100,743.6037
-100.0,100,749.306838
-100.0,100,754.747993
-5.0,100,760.258006
-100.0,100,765.834394
-100.0,100,771.288671
-100.0,100,776.682692
-30.0,100,782.202132
-23.0,100,787.694185
-100.0,100,793.198026
-100.0,100,798.689233
-65.0,100,804.100256
-8.0,100,809.61655
-28.0,100,815.170815
-100.0,100,820.854255
-7.0,100,826.40489
-100.0,100,831.957575
-100.0,100,837.517961
-100.0,100,843.145214
-100.0,100,848.674655
-100.0,100,854.275261
-6.0,100,860.05308
-7.0,100,865.499305
-5.0,100,871.106214
-100.0,100,876.78644
-88.0,100,882.387437
-8.0,100,887.875908
-100.0,100,893.589448
-7.0,100,899.019945
-3.0,100,904.560743
-100.0,100,910.045234
-100.0,100,915.520468
-6.0,100,919.838258
-2.0,100,924.123532
-100.0,100,928.411514
-100.0,100,932.694836
-3.0,100,936.993915
-100.0,100,941.298106
-100.0,100,945.585805
-100.0,100,949.878084
-100.0,100,954.182616
-100.0,100,958.482046
-76.0,100,963.884614
-100.0,100,969.410027
-100.0,100,975.030953
-100.0,100,980.59688
-57.0,100,986.174196
-100.0,100,991.693569
-100.0,100,997.106928
-100.0,100,1002.661098
-100.0,100,1008.105206
-7.0,100,1013.665234
-4.0,100,1019.286218
-19.0,100,1024.708607
-100.0,100,1030.154225
-100.0,100,1035.740858
-95.0,100,1041.185339
-100.0,100,1046.651
-100.0,100,1052.295445
-23.0,100,1057.821829
-100.0,100,1063.337749
-100.0,100,1068.832528
-100.0,100,1074.288856
-100.0,100,1079.848667
-100.0,100,1085.27714
-7.0,100,1091.06357
-98.0,100,1096.568655
-91.0,100,1102.076822
-100.0,100,1107.683614
-8.0,100,1113.438283
-21.0,100,1118.893646
-76.0,100,1124.398053
-100.0,100,1129.870983
-6.0,100,1135.396138
-100.0,100,1140.874594
-11.0,100,1146.361877
-24.0,100,1151.971131
-38.0,100,1157.599134
-100.0,100,1163.058671
-73.0,100,1168.798861
-6.0,100,1174.385419
-9.0,100,1179.99917
-10.0,100,1185.594979
-8.0,100,1191.173485
-15.0,100,1196.793475
-100.0,100,1202.391745
-100.0,100,1208.031594
-100.0,100,1213.723735
-14.0,100,1219.158116
-100.0,100,1224.673356
-100.0,100,1230.140208
