epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.06408415,0.4346288,0.0020677268,0.29125556,10.0,-2.9190676,0.1,50.0,0.1
1,-0.06528354,0.40170315,-0.004647519,0.25028887,20.0,-5.032848,0.1,100.0,0.16
2,-0.06723301,0.39480487,-0.010931194,0.25404477,30.0,-5.4750366,0.3,150.0,0.4
3,-0.075930044,0.3971158,-0.020018743,0.26346532,40.0,-4.7328963,0.6,200.0,0.48
4,-0.07582739,0.41038457,-0.026015036,0.2920548,50.0,-0.971882,1.0,250.0,0.74
5,-0.09742668,0.42098752,-0.049331468,0.31835103,60.0,-1.2889303,1.0,300.0,0.92
6,-0.114619024,0.4281868,-0.06798995,0.3366325,70.0,-0.5886517,1.0,350.0,0.9
7,-0.12565748,0.43593538,-0.08141019,0.35305443,80.0,-0.51216173,1.0,400.0,0.96
8,-0.13321583,0.44206393,-0.091136016,0.36528292,90.0,-0.51813257,0.9,450.0,0.96
9,-0.13566698,0.44302118,-0.09597439,0.37062803,100.0,-0.9528885,1.0,500.0,0.92
10,-0.14356537,0.44362473,-0.10459611,0.3745309,110.0,-0.6997655,1.0,550.0,0.94
11,-0.14547719,0.44532904,-0.10783497,0.37886405,120.0,-0.63499755,1.0,600.0,0.96
12,-0.14594959,0.44522047,-0.10974711,0.38105825,130.0,-0.8007768,1.0,650.0,0.98
13,-0.15316966,0.44517788,-0.11720022,0.38295376,140.0,-0.8568586,1.0,700.0,0.96
14,-0.15676263,0.44539604,-0.12117236,0.3846085,150.0,-0.6848751,0.9,750.0,0.92
15,-0.16068439,0.4443221,-0.1253161,0.38502264,160.0,-0.7216269,1.0,800.0,0.88
16,-0.16405834,0.44468912,-0.12908974,0.38683692,170.0,-0.4316402,1.0,850.0,0.96
17,-0.16391121,0.4428583,-0.12943076,0.386078,180.0,-0.7974559,1.0,900.0,0.92
18,-0.16682607,0.44437376,-0.13258298,0.38853553,190.0,-0.5459608,1.0,950.0,0.92
19,-0.1688903,0.4447402,-0.134663,0.3899198,200.0,-0.6670199,1.0,1000.0,0.88
20,-0.17099436,0.4445283,-0.13684629,0.39015698,210.0,-0.6171149,1.0,1050.0,0.98
