# {"t_start": 1623395924.4099529, "env_id": "dVRLReachRail-v0"} 
r,l,t
-348.546349,100,19.284758
-327.430412,100,28.826136
-354.026268,100,37.817033
-327.029836,100,46.764656
-242.197432,100,55.694333
-260.222168,100,64.510138
-271.963406,100,73.37705
-177.779693,100,82.293805
-222.857778,100,91.225293
-171.546427,100,100.205774
-298.929156,100,109.233274
-258.031459,100,118.13023
-333.839825,100,127.204504
-273.28702,100,136.136975
-196.950192,100,145.133572
-220.839812,100,154.120614
-214.199168,100,163.036992
-272.546013,100,171.865634
-221.970597,100,180.922448
-241.274989,100,189.920501
-281.199835,100,198.893771
-223.483648,100,208.021949
-263.769714,100,217.033092
-126.106248,100,225.981321
-221.272996,100,235.004255
-196.950483,100,244.106049
-191.711657,100,253.060946
-185.569716,100,262.064928
-125.364658,100,270.988759
-120.11955,100,279.757361
-190.550609,100,288.881344
-174.604687,100,297.841116
-179.483088,100,306.015203
-151.494274,100,313.542744
-134.845941,100,322.589982
-175.740285,100,331.64501
-171.715895,100,340.728764
-176.471271,100,349.722018
-177.18807,100,358.760534
-138.859172,100,367.66894
-118.049334,100,375.288103
-120.836055,100,384.264807
-147.643947,100,393.186452
-99.873632,100,401.769545
-172.333849,100,409.745014
-150.268261,100,418.676143
-149.159397,100,426.761577
-165.580474,100,434.919377
-143.427168,100,444.004101
-130.087691,100,451.60945
-125.043267,100,460.608747
-145.015959,100,468.72246
-164.677146,100,476.785242
-179.876418,100,484.82166
-130.400024,100,492.809249
-97.35316,100,500.837459
-104.988132,100,508.84067
-141.485838,100,516.864646
-87.851985,100,524.886159
-133.350892,100,532.976623
-143.698601,100,540.280412
-163.298801,100,549.361394
-126.851201,100,558.289184
-149.191913,100,567.420187
-97.544906,100,575.854714
-136.346523,100,584.845531
-139.837521,100,593.221401
-81.231285,100,600.170284
-143.63611,100,607.969829
-122.892322,100,616.002274
-118.023305,100,623.943817
-92.369584,100,631.877428
-87.933639,100,638.794802
-185.738109,100,647.256594
-124.990735,100,655.59236
-107.350694,100,663.774206
-125.719809,100,672.738027
-110.426139,100,680.762028
-96.213273,100,687.53457
-68.98567,100,694.611516
-99.804446,100,701.115751
-111.434796,100,710.109223
-100.307086,100,719.228742
-123.720879,100,726.495284
-135.759636,100,735.25402
-67.296668,100,744.365947
-126.958028,100,753.332445
-71.992233,100,761.053255
-129.589524,100,770.021349
-157.432716,100,778.101911
-76.335571,100,787.11839
-76.254097,100,793.925169
-106.808892,100,802.928837
-55.645063,100,808.897092
-80.923925,100,817.898241
-57.144486,100,826.471117
-87.692314,100,835.421102
-93.163124,100,842.581552
-126.033657,100,851.344961
-97.396238,100,857.955163
-85.13907,100,864.997601
-90.504874,100,872.457968
-58.685519,100,878.653255
-102.509064,100,885.657794
-104.584805,100,894.295887
-48.822479,100,901.390773
-83.156414,100,907.53734
-108.900598,100,913.246444
-139.914671,100,919.457325
-58.84297,100,928.468634
-82.460657,100,937.513436
-68.247438,100,945.477016
-95.959516,100,953.445286
-54.8648,100,961.493993
-89.424757,100,969.477264
-92.362429,100,977.525971
-48.947865,100,985.558109
-102.23639,100,990.645184
-48.359653,100,998.786173
-116.641258,100,1003.550788
-120.575233,100,1008.305228
-54.498528,100,1014.907162
-72.113718,100,1021.924889
-108.973565,100,1029.570272
-90.902866,100,1036.080516
-110.139532,100,1044.292949
-89.271695,100,1050.535612
-61.367729,100,1056.570923
-68.003285,100,1063.404509
-74.615548,100,1068.937521
-95.676513,100,1077.961652
-122.798822,100,1083.729081
-64.866305,100,1089.513302
-61.886206,100,1096.439708
-95.206228,100,1103.318458
-92.512534,100,1112.166008
-144.196284,100,1118.202214
-80.887754,100,1125.810544
-57.138715,100,1131.512473
-67.482447,100,1137.417441
-68.818195,100,1143.731449
-80.746573,100,1152.069557
-75.489888,100,1158.517566
-128.344328,100,1164.245767
-100.987641,100,1169.709529
-70.684137,100,1175.398299
-67.028412,100,1182.000088
-84.893458,100,1187.540638
-121.426102,100,1192.797985
-71.32641,100,1198.536464
-64.455361,100,1205.78052
-70.848032,100,1211.684195
-39.503097,100,1219.154911
-53.264626,100,1228.172963
-67.097246,100,1233.703029
-65.975632,100,1242.618163
-52.245556,100,1248.431252
-55.493548,100,1256.534539
-54.716126,100,1261.373472
-79.109631,100,1266.741043
-55.128261,100,1271.954089
-79.689392,100,1280.994807
-54.44077,100,1286.921932
-66.822032,100,1293.047944
-55.054372,100,1298.519014
-52.926554,100,1304.048233
-38.636886,100,1312.343151
-44.516811,100,1321.428189
-47.046451,100,1326.702404
-106.524585,100,1331.854528
-47.589223,100,1340.981101
-38.98768,100,1348.95245
-52.24638,100,1356.925126
-42.721267,100,1364.978206
-52.262828,100,1373.008391
-64.199502,100,1377.403863
-56.646933,100,1385.428407
-36.243928,100,1393.406073
-50.820158,100,1401.356588
-39.312837,100,1409.292848
-52.32862,100,1413.256888
-39.121036,100,1419.959129
-59.69728,100,1427.66595
-52.090193,100,1433.230592
-86.11138,100,1438.686464
-58.711887,100,1446.27116
-57.326458,100,1451.680676
-46.795981,100,1459.080904
-46.321605,100,1464.309108
-52.463216,100,1469.769852
-52.515742,100,1476.148977
-41.361561,100,1485.244466
-46.867682,100,1491.793849
-42.38654,100,1499.695285
-38.815154,100,1505.964048
-43.005263,100,1511.674257
-56.787657,100,1517.519571
-61.79925,100,1522.91925
-39.997083,100,1530.331892
-63.117584,100,1538.232112
-41.661556,100,1547.185917
-72.262081,100,1554.896597
-49.658183,100,1563.753471
-100.926954,100,1569.107499
-68.554756,100,1574.233204
-91.466694,100,1579.648769
-44.904597,100,1586.253536
-55.233406,100,1591.854897
-34.75123,100,1600.920625
-47.304147,100,1606.122663
-45.704205,100,1612.403862
-68.194971,100,1618.54819
-58.321569,100,1624.87097
-68.820603,100,1632.498493
-61.52321,100,1639.494049
-56.407593,100,1644.790783
-40.644186,100,1653.353351
-57.797868,100,1661.248755
-74.368677,100,1666.877348
-55.487229,100,1672.110801
-46.208438,100,1680.141946
-52.705106,100,1689.448344
-56.10618,100,1694.627738
-62.685143,100,1701.505071
-63.42107,100,1707.135483
-55.473287,100,1713.462544
-39.841631,100,1722.572666
-47.622768,100,1728.68666
-42.257027,100,1733.967917
-48.439262,100,1739.094396
-40.127747,100,1748.293118
-32.05224,100,1756.316793
-44.619443,100,1764.352746
-64.600657,100,1772.441786
-42.659617,100,1780.545209
-35.65374,100,1788.533289
-49.21981,100,1796.590114
-46.043988,100,1804.672202
-45.827873,100,1812.718354
-47.018671,100,1820.777649
-36.808795,100,1824.992769
-42.891289,100,1831.803487
-45.539951,100,1839.112551
-62.385115,100,1844.705742
-57.50097,100,1850.557159
-42.809826,100,1857.236876
-68.026492,100,1862.360743
-85.013337,100,1869.075723
-67.472731,100,1875.127349
-91.875924,100,1880.129131
-39.884555,100,1887.463995
-51.250626,100,1896.521204
-47.57604,100,1902.14041
-50.076195,100,1908.626975
-36.802414,100,1915.836746
-49.970586,100,1921.459153
-43.111681,100,1928.281564
-50.447316,100,1934.540445
-39.512846,100,1942.20146
-71.303011,100,1949.785732
-40.701269,100,1956.076583
-63.291327,100,1962.095274
-58.803034,100,1968.777209
-42.7302,100,1974.470776
-40.892398,100,1982.37166
-47.075255,100,1990.783615
-52.114353,100,1997.054942
-40.973382,100,2005.377538
-68.715221,100,2011.93445
-54.324306,100,2021.093999
-66.652839,100,2026.056538
-53.031103,100,2033.629034
-37.757471,100,2042.948774
-45.062444,100,2051.379709
-50.280457,100,2060.312991
-47.618474,100,2066.687999
-50.803028,100,2075.02858
-38.837617,100,2080.666587
-48.241198,100,2085.921043
-39.886366,100,2093.108401
-36.937802,100,2101.048113
-53.670087,100,2106.287544
-37.759593,100,2115.380389
-43.781111,100,2121.822621
-37.040435,100,2127.490311
-54.699491,100,2134.062683
-67.038874,100,2139.499884
-45.590116,100,2145.72993
-52.889621,100,2151.41463
-47.428403,100,2158.012153
-43.855386,100,2167.222044
-44.332573,100,2175.376363
-35.094317,100,2183.438178
-60.448338,100,2187.525904
-32.164266,100,2195.600744
-35.68578,100,2203.661404
-39.830413,100,2211.616598
-35.383739,100,2219.66613
-56.478427,100,2223.700407
-44.361149,100,2231.681134
-44.167129,100,2237.472097
-46.720197,100,2245.80931
-92.611537,100,2250.910666
-60.469943,100,2256.622907
-48.989993,100,2261.671781
-60.689615,100,2266.637878
-49.868134,100,2272.20552
-37.074668,100,2281.324463
-52.387037,100,2290.405155
-49.076846,100,2297.781927
-70.680003,100,2306.884826
-46.455029,100,2313.950804
-63.923531,100,2319.83197
-44.237341,100,2325.210719
-52.875346,100,2330.491142
-51.780573,100,2336.673254
-50.787515,100,2341.626159
-40.294797,100,2350.672642
-46.255088,100,2357.084371
-36.674338,100,2365.2248
-63.29159,100,2370.49614
-53.384014,100,2377.14003
-44.002842,100,2382.333999
-53.616538,100,2390.995429
-40.116585,100,2398.332311
-51.012523,100,2404.123493
-43.627529,100,2409.908989
-48.196611,100,2415.926503
-49.663708,100,2422.694909
-47.497812,100,2428.025337
-47.204091,100,2436.304229
-70.501597,100,2442.118929
-39.651724,100,2447.302289
-46.78183,100,2454.063921
-55.784855,100,2459.970934
-47.950305,100,2466.262975
-52.868844,100,2472.512541
-59.864069,100,2477.644323
-55.69209,100,2483.383551
-79.430344,100,2488.371288
-43.634222,100,2496.064104
-39.83927,100,2501.985365
-68.711952,100,2507.006631
-59.704209,100,2514.410297
-44.176417,100,2520.120222
-60.471843,100,2527.105449
-40.027755,100,2535.961629
-45.036574,100,2541.640805
-44.23678,100,2547.180887
-45.41543,100,2555.783851
-60.388128,100,2564.961861
-31.802302,100,2572.882282
-36.465739,100,2580.929114
-45.373389,100,2588.961123
-37.193965,100,2596.965117
-39.769957,100,2604.922196
-55.88755,100,2612.908489
-34.447959,100,2620.874275
-32.817982,100,2628.861289
-38.740928,100,2636.857101
-65.767693,100,2641.757208
-46.705283,100,2650.864519
-53.663079,100,2656.552165
-50.057932,100,2661.657703
-44.55003,100,2670.732537
-56.675233,100,2677.33192
-60.047944,100,2684.231871
-55.505278,100,2690.442281
-43.462905,100,2696.37153
-43.374804,100,2705.41437
-51.793981,100,2710.868895
-39.56862,100,2719.945976
-51.892122,100,2725.608158
-41.908909,100,2734.697862
-59.310114,100,2740.963113
-52.828739,100,2746.241482
-68.460351,100,2751.493619
-56.308417,100,2760.138059
-50.155747,100,2765.515563
-54.335462,100,2772.386362
-49.544027,100,2780.17661
-70.179397,100,2785.939592
-59.948318,100,2792.731952
-46.338545,100,2798.386915
-55.35729,100,2805.253099
-65.951968,100,2810.769996
-39.77785,100,2816.466216
-48.773426,100,2824.77607
-71.005185,100,2830.020835
-49.387839,100,2835.847749
-42.035678,100,2845.249311
-54.218255,100,2850.597156
-50.386876,100,2859.864962
-51.386698,100,2869.200752
-79.501588,100,2875.639856
-41.234276,100,2884.875786
-40.834094,100,2891.263294
-46.436199,100,2897.738487
-104.368095,100,2902.600748
-63.812806,100,2907.537127
-65.576358,100,2916.074628
-41.396629,100,2921.717511
-58.951332,100,2927.277519
-50.622657,100,2933.478827
-50.299301,100,2939.310897
-56.390686,100,2945.302376
-73.59395,100,2950.576325
-48.438018,100,2955.597769
-49.10603,100,2961.49329
-50.928907,100,2967.240556
-35.818445,100,2976.317547
-36.680801,100,2980.192967
-33.90498,100,2984.198203
-42.504681,100,2988.181441
-39.708316,100,2996.192636
-47.120349,100,3000.237731
-33.354804,100,3004.271518
-50.999886,100,3008.136696
-45.662172,100,3012.147705
-51.599122,100,3016.478595
-51.12875,100,3020.560661
-72.101292,100,3025.541095
-45.598477,100,3032.509534
-42.191791,100,3037.884971
-49.688369,100,3042.86734
-59.74107,100,3051.973328
-80.96084,100,3057.745162
-49.46996,100,3066.966023
-68.404135,100,3072.902067
-137.509824,100,3077.803649
-52.741086,100,3086.789091
-53.891115,100,3093.623956
-43.673775,100,3098.813172
-52.181749,100,3104.432212
-44.530662,100,3112.180432
-51.089613,100,3117.788146
-54.898395,100,3123.3134
-45.727419,100,3132.337274
-47.445721,100,3140.626103
-38.518994,100,3145.944929
-40.269614,100,3151.186769
-81.11507,100,3160.084837
-46.601658,100,3165.056732
-73.577726,100,3171.574853
-45.501899,100,3177.284961
-83.594052,100,3182.128615
-41.013985,100,3187.333829
-40.080629,100,3192.451164
-63.545188,100,3200.59646
-47.755175,100,3206.749748
-40.314663,100,3211.922358
-35.714154,100,3217.328681
-58.544017,100,3222.90011
-41.221051,100,3228.474647
-53.518329,100,3236.155757
-49.21443,100,3242.292005
-51.015669,100,3251.340193
-47.102835,100,3257.314969
-45.846471,100,3262.652246
-50.527345,100,3268.281845
-41.455763,100,3275.876123
-56.448358,100,3283.895275
-71.570429,100,3290.532903
-57.624576,100,3296.324565
-38.853794,100,3304.902169
-40.336662,100,3313.940779
-45.176051,100,3319.557328
-53.2859,100,3324.940808
-52.478242,100,3332.517805
-63.789842,100,3339.479966
-42.116114,100,3344.606585
-33.619524,100,3352.634047
-49.250149,100,3356.558081
-36.895042,100,3364.493949
-36.01115,100,3372.534188
-46.846673,100,3376.581454
-34.998658,100,3384.526364
-40.706653,100,3392.576037
-36.658734,100,3400.549079
-43.138988,100,3404.48961
-53.778437,100,3408.485539
-39.767754,100,3414.507277
-50.25551,100,3420.209782
-62.457236,100,3429.300882
-76.204514,100,3435.475566
-44.272125,100,3442.499925
-88.649539,100,3448.78466
-83.332238,100,3453.869925
-52.049941,100,3458.86429
-56.901414,100,3464.88625
-36.972935,100,3470.373579
-43.717334,100,3475.476461
-39.580012,100,3481.231877
-42.985098,100,3486.684007
-39.021678,100,3493.027755
-59.152976,100,3502.080378
-55.042907,100,3508.852845
-54.323875,100,3514.820088
-52.931575,100,3520.738171
-41.220671,100,3527.099668
-41.844339,100,3534.614112
-44.451539,100,3539.9932
-52.078275,100,3547.298561
-46.454356,100,3553.511024
-47.103401,100,3559.357476
-51.958313,100,3564.953781
-55.118735,100,3570.449279
-56.136762,100,3576.380837
-62.630055,100,3581.710513
-82.370347,100,3587.152019
-38.666721,100,3594.030046
-83.263553,100,3599.424233
-41.062448,100,3604.53442
-38.545524,100,3610.272346
-34.484262,100,3615.862876
-53.314162,100,3625.137122
-55.474117,100,3630.553184
-57.770004,100,3636.517477
-46.751721,100,3642.287173
