epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.077381365,0.13240777,-0.0041298694,0.12478723,10.0,-3.7139575,0.6,50.0,0.2
1,-0.09048843,0.14117914,-0.0072115576,0.14303167,20.0,-4.0184464,0.9,100.0,0.88
2,-0.096025586,0.14333072,-0.009401903,0.15230162,30.0,-3.6745331,1.0,150.0,0.86
3,-0.0983335,0.14344366,-0.010818854,0.15522374,40.0,-4.1048927,1.0,200.0,1.0
4,-0.100921296,0.1416447,-0.013604875,0.15591462,50.0,-4.4401264,1.0,250.0,0.98
5,-0.09952238,0.14033516,-0.01360687,0.15587875,60.0,-4.426427,1.0,300.0,0.96
6,-0.10203672,0.1407799,-0.015925718,0.1569856,70.0,-4.8230853,1.0,350.0,0.98
7,-0.102865316,0.1409732,-0.016297353,0.1574842,80.0,-4.7306952,1.0,400.0,0.96
8,-0.10338232,0.1409406,-0.016789753,0.15747306,90.0,-5.1600103,1.0,450.0,1.0
9,-0.103953,0.14111783,-0.01713338,0.15754786,100.0,-4.36349,1.0,500.0,0.98
10,-0.103548825,0.14080195,-0.016922796,0.15735896,110.0,-4.0324955,1.0,550.0,0.94
11,-0.102516286,0.1403973,-0.016163716,0.1570017,120.0,-3.6665301,1.0,600.0,1.0
12,-0.10287163,0.14018638,-0.01620405,0.15663865,130.0,-3.672488,1.0,650.0,1.0
13,-0.10394194,0.14086404,-0.016940696,0.15699685,140.0,-3.940918,1.0,700.0,0.98
14,-0.103357606,0.1404661,-0.016854307,0.15683372,150.0,-3.4484642,1.0,750.0,1.0
15,-0.104936786,0.14047606,-0.017894153,0.15692589,160.0,-3.743272,1.0,800.0,1.0
16,-0.10557338,0.1402075,-0.01812844,0.1566792,170.0,-3.7688076,1.0,850.0,0.94
17,-0.10648381,0.13987362,-0.018794132,0.1566592,180.0,-4.10752,1.0,900.0,0.98
18,-0.10597857,0.13990118,-0.01859301,0.15673551,190.0,-3.830021,1.0,950.0,1.0
19,-0.10535055,0.13988666,-0.018262396,0.1566341,200.0,-3.733693,1.0,1000.0,1.0
20,-0.10423229,0.13946639,-0.017457325,0.1562389,210.0,-3.505499,1.0,1050.0,1.0
21,-0.103702985,0.13954304,-0.017025163,0.15619515,220.0,-5.0234795,0.9,1100.0,0.98
22,-0.10421788,0.13909335,-0.017161485,0.15572347,230.0,-3.9902027,1.0,1150.0,0.98
23,-0.10438638,0.1390607,-0.017139597,0.15556751,240.0,-3.0620863,1.0,1200.0,1.0
24,-0.104469575,0.13884555,-0.01716939,0.15536204,250.0,-3.984777,1.0,1250.0,0.98
25,-0.10401109,0.13830025,-0.016873932,0.1549201,260.0,-3.302353,1.0,1300.0,0.98
26,-0.104882,0.13808262,-0.017171083,0.15472874,270.0,-3.321328,1.0,1350.0,0.96
27,-0.104781635,0.13802648,-0.017155236,0.15473624,280.0,-2.9919534,1.0,1400.0,0.98
28,-0.1047801,0.13783331,-0.017176889,0.15471719,290.0,-3.282592,1.0,1450.0,1.0
29,-0.10478797,0.13797212,-0.01732667,0.15496664,300.0,-3.238633,1.0,1500.0,1.0
30,-0.10538869,0.13794233,-0.01771946,0.1549107,310.0,-3.309569,1.0,1550.0,0.96
31,-0.10531998,0.13755497,-0.017705834,0.15461792,320.0,-3.6133008,1.0,1600.0,1.0
32,-0.105744384,0.13724917,-0.01796555,0.15434289,330.0,-3.0273972,1.0,1650.0,1.0
33,-0.10627264,0.13717753,-0.01834129,0.15427494,340.0,-3.1943424,1.0,1700.0,0.96
34,-0.106477894,0.13705793,-0.018442133,0.15416183,350.0,-2.8855271,1.0,1750.0,0.98
35,-0.1068013,0.1367492,-0.018507646,0.15383077,360.0,-2.8089318,1.0,1800.0,1.0
36,-0.106719784,0.13688695,-0.018432045,0.15382208,370.0,-4.0590286,1.0,1850.0,0.94
37,-0.10668122,0.13660441,-0.01839015,0.1535985,380.0,-3.3279655,1.0,1900.0,0.96
38,-0.10627391,0.13665931,-0.018139886,0.15359004,390.0,-3.0810819,1.0,1950.0,1.0
39,-0.10612031,0.13663574,-0.017984211,0.15361346,400.0,-3.0040596,1.0,2000.0,0.98
40,-0.10611408,0.13666333,-0.017947866,0.1535712,410.0,-3.3905246,1.0,2050.0,1.0
41,-0.10582738,0.13659544,-0.017803228,0.1536181,420.0,-3.0211825,1.0,2100.0,0.98
42,-0.105995715,0.13641727,-0.017862469,0.15353315,430.0,-3.2628891,1.0,2150.0,0.98
43,-0.1064441,0.13643983,-0.018159691,0.15363042,440.0,-3.194045,1.0,2200.0,1.0
44,-0.106868125,0.1364484,-0.018400712,0.15357359,450.0,-3.1929002,1.0,2250.0,1.0
45,-0.10704564,0.13647322,-0.018472608,0.15350007,460.0,-2.9798145,1.0,2300.0,0.98
46,-0.10673544,0.13654162,-0.018311689,0.15363352,470.0,-3.3017304,1.0,2350.0,0.98
47,-0.10708932,0.13659772,-0.018486235,0.1536382,480.0,-3.2359352,1.0,2400.0,1.0
48,-0.10688666,0.13670206,-0.018323962,0.15365806,490.0,-3.802573,1.0,2450.0,1.0
49,-0.10690034,0.13654475,-0.01824863,0.15345962,500.0,-2.9479742,1.0,2500.0,1.0
50,-0.10659104,0.13657463,-0.01808151,0.15347455,510.0,-3.610847,1.0,2550.0,1.0
51,-0.10676358,0.13657813,-0.018183585,0.1534038,520.0,-2.967597,1.0,2600.0,0.94
52,-0.1070242,0.13647684,-0.01830471,0.15331452,530.0,-5.16319,1.0,2650.0,1.0
53,-0.10704368,0.1364669,-0.018336814,0.15334992,540.0,-3.095055,1.0,2700.0,0.98
54,-0.10695341,0.13668895,-0.018262623,0.1534661,550.0,-3.100325,1.0,2750.0,0.96
55,-0.10687781,0.13660029,-0.01823285,0.15335746,560.0,-2.9531882,1.0,2800.0,0.96
56,-0.106756836,0.13656567,-0.018171098,0.15337075,570.0,-2.9024367,1.0,2850.0,1.0
57,-0.106386155,0.13656169,-0.017978339,0.15338732,580.0,-3.2510822,1.0,2900.0,1.0
58,-0.10648722,0.13647372,-0.01800785,0.15328275,590.0,-2.9331753,1.0,2950.0,0.98
59,-0.10652251,0.13648327,-0.017973138,0.15324377,600.0,-3.2921348,1.0,3000.0,0.98
60,-0.1067535,0.1363424,-0.018092424,0.15315107,610.0,-3.2441356,1.0,3050.0,0.98
61,-0.10703102,0.13627939,-0.018291643,0.15312682,620.0,-3.070777,1.0,3100.0,1.0
62,-0.10694972,0.13633373,-0.018202335,0.1530936,630.0,-2.9725997,1.0,3150.0,0.94
63,-0.1068922,0.13644092,-0.01818249,0.15308945,640.0,-2.9142978,1.0,3200.0,0.96
64,-0.106788896,0.13649927,-0.018096915,0.1530741,650.0,-2.9012911,1.0,3250.0,0.98
65,-0.106822245,0.13646507,-0.018152999,0.15308139,660.0,-3.2196686,1.0,3300.0,1.0
66,-0.10691727,0.13656087,-0.018229421,0.15313053,670.0,-2.8259077,1.0,3350.0,0.98
67,-0.106814325,0.1363901,-0.01818164,0.15300812,680.0,-2.7882242,1.0,3400.0,0.98
68,-0.10653243,0.13625823,-0.01805522,0.15294172,690.0,-2.6948643,1.0,3450.0,0.96
69,-0.10637336,0.13618544,-0.017974222,0.15286125,700.0,-3.1149304,1.0,3500.0,0.98
70,-0.10616526,0.13600722,-0.017849559,0.15276198,710.0,-7.3595986,0.8,3550.0,1.0
71,-0.106150605,0.13601889,-0.017875655,0.15274002,720.0,-3.0274396,1.0,3600.0,0.88
72,-0.1062315,0.13605313,-0.018038157,0.15279715,730.0,-3.126286,1.0,3650.0,0.9
73,-0.10610491,0.13598728,-0.018011866,0.1528116,740.0,-3.3596337,0.9,3700.0,1.0
74,-0.106235236,0.13589074,-0.018136147,0.152727,750.0,-3.6446927,1.0,3750.0,0.96
75,-0.106366105,0.13589348,-0.018272387,0.15276949,760.0,-3.8880239,1.0,3800.0,0.96
76,-0.10662669,0.1358696,-0.018397441,0.15268935,770.0,-3.1816385,1.0,3850.0,0.96
77,-0.10662406,0.13570291,-0.018393626,0.15256849,780.0,-3.1921685,1.0,3900.0,0.98
78,-0.10666985,0.13572337,-0.01842458,0.15257777,790.0,-3.7712677,1.0,3950.0,1.0
79,-0.10660395,0.13559347,-0.018362772,0.1524564,800.0,-3.1689322,1.0,4000.0,0.96
