# {"t_start": 1623740423.4807782, "env_id": "dVRLReachRail-v0"} 
r,l,t
-243.246474,100,18.862837
-373.474196,100,27.946868
-382.12874,100,37.035311
-270.71009,100,46.186602
-234.98349,100,55.258499
-396.06795,100,64.31806
-263.74621,100,73.259229
-272.315456,100,82.281852
-334.994669,100,91.406626
-290.886796,100,100.40704
-223.90076,100,109.3948
-196.800263,100,118.425881
-173.094867,100,127.462179
-271.854986,100,136.374939
-214.886216,100,145.45046
-226.537078,100,154.501662
-394.761223,100,163.622268
-358.630299,100,172.745747
-123.69029,100,181.950335
-195.40822,100,190.035479
-178.743716,100,199.358953
-223.530911,100,208.646479
-248.540198,100,217.927453
-196.828263,100,227.407716
-143.200063,100,236.502434
-299.404922,100,245.718566
-140.247125,100,254.889987
-258.527434,100,263.973445
-296.099811,100,273.245542
-114.679969,100,281.623196
-171.501499,100,290.8818
-147.479437,100,300.08978
-147.212138,100,309.185896
-155.793141,100,318.410253
-155.961915,100,327.507727
-160.389337,100,336.211621
-148.531784,100,345.318124
-159.319818,100,354.586227
-167.553656,100,363.843164
-115.963077,100,372.38312
-143.345453,100,379.187465
-135.257074,100,388.387418
-132.220136,100,397.646496
-164.292282,100,406.981941
-133.782338,100,416.183351
-83.958282,100,423.890386
-84.754041,100,431.639784
-131.749609,100,440.858024
-83.222717,100,448.831289
-103.945256,100,458.171438
-184.711236,100,467.262734
-117.929906,100,475.342758
-134.858818,100,483.554194
-118.006978,100,491.612733
-78.886477,100,499.682973
-72.022889,100,507.670796
-103.328708,100,515.841641
-154.803225,100,523.963625
-149.20311,100,531.970643
-107.897947,100,540.079585
-155.19353,100,547.946005
-130.286282,100,557.202304
-199.489942,100,566.442006
-122.472172,100,575.670204
-158.624199,100,584.845811
-87.92281,100,594.109707
-105.040833,100,603.174964
-80.840548,100,611.064443
-145.058786,100,620.23041
-96.049452,100,629.453489
-125.004745,100,637.478065
-132.740004,100,646.777599
-117.246884,100,654.02942
-66.551169,100,660.840196
-115.915715,100,667.670787
-117.960532,100,674.897575
-114.685884,100,684.282537
-89.715625,100,693.677307
-59.530557,100,700.499683
-87.731388,100,707.45804
-75.803002,100,714.427408
-113.949244,100,720.50602
-122.370225,100,727.863082
-92.45517,100,734.384117
-143.791988,100,743.665669
-72.873979,100,751.402903
-126.947411,100,757.674687
-109.832835,100,766.765419
-80.840617,100,774.141141
-96.077986,100,780.760724
-89.084123,100,787.216333
-102.72997,100,796.490106
-92.549779,100,802.198379
-58.493136,100,808.59344
-98.143212,100,815.260961
-111.016131,100,824.454187
-97.542042,100,831.350734
-90.110154,100,839.442758
-96.006737,100,845.831409
-54.537147,100,852.063866
-80.086032,100,858.943709
-120.602586,100,866.51272
-92.156047,100,875.358841
-135.233898,100,883.045049
-91.321427,100,889.46611
-109.823103,100,897.408939
-86.6554,100,905.635791
-81.982568,100,911.813905
-88.495604,100,919.908085
-106.042755,100,928.408456
-56.446749,100,937.638472
-71.27879,100,945.809247
-43.410809,100,953.918018
-67.938699,100,961.975564
-80.433459,100,970.082909
-68.364206,100,974.89548
-74.873875,100,982.971547
-80.190507,100,991.101979
-65.1253,100,999.257969
-74.043655,100,1007.322822
-79.792275,100,1012.27136
-63.57286,100,1019.861386
-80.23195,100,1026.451122
-50.806074,100,1032.250743
-67.784092,100,1038.089379
-80.781292,100,1043.694328
-60.3414,100,1052.922093
-69.193382,100,1062.054338
-58.78349,100,1067.436872
-58.533027,100,1074.38516
-89.415422,100,1081.130375
-47.216024,100,1086.568084
-44.19169,100,1092.317777
-83.787327,100,1101.499365
-73.188064,100,1107.909175
-68.771127,100,1113.426654
-52.015718,100,1118.743922
-59.894593,100,1124.140599
-77.033235,100,1129.208962
-101.68913,100,1135.785456
-72.491166,100,1140.987356
-51.357797,100,1146.113049
-84.370538,100,1152.227269
-46.585674,100,1157.35731
-51.096897,100,1162.681015
-69.03335,100,1171.93005
-79.389895,100,1177.327113
-74.295165,100,1183.727593
-74.7063,100,1189.262762
-57.231415,100,1195.356106
-65.987076,100,1201.050607
-147.975236,100,1206.662854
-39.425634,100,1212.205229
-95.524872,100,1217.568366
-56.683959,100,1223.270466
-39.829936,100,1228.527545
-49.315085,100,1233.63827
-57.321966,100,1239.542284
-46.392267,100,1244.683923
-89.128076,100,1250.941309
-57.790613,100,1256.28023
-56.767155,100,1262.638834
-50.92467,100,1268.193357
-54.57852,100,1273.345023
-40.902586,100,1278.686237
-90.742665,100,1283.823409
-87.666545,100,1289.074078
-58.117485,100,1294.495171
-34.423644,100,1300.658972
-56.761349,100,1306.223901
-55.950929,100,1315.546456
-40.909728,100,1319.452327
-37.299597,100,1327.551577
-44.118647,100,1331.499122
-52.686034,100,1335.61827
-55.619167,100,1343.726354
-60.794728,100,1351.77542
-68.942132,100,1359.915439
-35.709728,100,1367.954599
-43.80402,100,1372.141736
-48.440561,100,1376.306155
-40.445396,100,1383.637044
