epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.05637656,0.14669293,0.005729782,0.12644507,10.0,-3.8524716,0.7,50.0,0.22
1,-0.082438715,0.1559058,-0.0064657843,0.14974728,20.0,-3.6995482,1.0,100.0,0.94
2,-0.09665617,0.14883374,-0.012247612,0.15142354,30.0,-3.8363624,1.0,150.0,0.92
3,-0.101234294,0.14874306,-0.015949711,0.15548594,40.0,-3.9524624,1.0,200.0,0.96
4,-0.099559814,0.14671947,-0.014558607,0.15601237,50.0,-4.1140304,1.0,250.0,1.0
5,-0.10258152,0.14714299,-0.016770955,0.1577897,60.0,-4.320921,1.0,300.0,1.0
6,-0.10380303,0.14559418,-0.017342772,0.1573768,70.0,-4.299217,1.0,350.0,0.98
7,-0.103147306,0.14392762,-0.017114902,0.15685849,80.0,-4.5550923,1.0,400.0,0.98
8,-0.10305864,0.14393547,-0.016955184,0.15738072,90.0,-5.129633,1.0,450.0,1.0
9,-0.10216841,0.14392503,-0.016379166,0.15756859,100.0,-4.7474375,1.0,500.0,1.0
10,-0.10205362,0.14402504,-0.01616095,0.1575079,110.0,-4.010622,1.0,550.0,1.0
11,-0.1016092,0.14377661,-0.015834866,0.15714367,120.0,-4.606481,1.0,600.0,0.98
12,-0.10090401,0.14358346,-0.015366568,0.15695445,130.0,-3.8943038,1.0,650.0,1.0
13,-0.1014016,0.14369978,-0.0158423,0.15709023,140.0,-5.8696346,0.9,700.0,0.92
14,-0.102516085,0.14292805,-0.01628314,0.15646097,150.0,-4.2787614,1.0,750.0,0.98
15,-0.10417774,0.14243533,-0.017184926,0.1560762,160.0,-4.085746,1.0,800.0,1.0
16,-0.10542617,0.14260232,-0.017787982,0.15640198,170.0,-3.8173134,1.0,850.0,0.98
17,-0.10431776,0.142258,-0.017149936,0.15634851,180.0,-4.040372,1.0,900.0,0.94
18,-0.10393273,0.14205115,-0.016731959,0.15639453,190.0,-3.6829553,1.0,950.0,0.98
19,-0.10337677,0.14198045,-0.01629501,0.15652847,200.0,-3.508583,1.0,1000.0,0.98
20,-0.102886766,0.14197452,-0.016056469,0.156588,210.0,-4.320281,1.0,1050.0,1.0
21,-0.10331085,0.14131302,-0.016347358,0.15618916,220.0,-4.7710238,0.9,1100.0,0.98
22,-0.10283128,0.14101137,-0.015990319,0.15593277,230.0,-3.2516773,1.0,1150.0,1.0
23,-0.10253996,0.1410869,-0.015749674,0.1559287,240.0,-3.453486,1.0,1200.0,0.98
24,-0.102939904,0.141372,-0.016036633,0.1561662,250.0,-3.4295363,1.0,1250.0,0.96
25,-0.10346288,0.14122434,-0.01647122,0.1561942,260.0,-3.974544,1.0,1300.0,0.96
26,-0.10392655,0.14105539,-0.016762344,0.15607361,270.0,-3.672728,1.0,1350.0,0.96
27,-0.1040918,0.1410922,-0.016948642,0.15606523,280.0,-3.6283317,1.0,1400.0,1.0
28,-0.103753686,0.14088018,-0.016670575,0.15597047,290.0,-5.1445827,1.0,1450.0,0.98
29,-0.10332632,0.14064384,-0.016505668,0.15586855,300.0,-3.683497,1.0,1500.0,0.96
30,-0.10394639,0.14051686,-0.016941221,0.1557822,310.0,-3.4413388,1.0,1550.0,1.0
31,-0.10413003,0.14025651,-0.016951509,0.15546389,320.0,-3.1430979,1.0,1600.0,0.96
32,-0.10406765,0.13988869,-0.01683838,0.15508528,330.0,-3.6123931,1.0,1650.0,1.0
33,-0.10362693,0.1398927,-0.016584763,0.15499173,340.0,-3.1451364,1.0,1700.0,0.98
34,-0.10406994,0.13995685,-0.016869362,0.15506414,350.0,-3.5573235,1.0,1750.0,1.0
35,-0.10412911,0.14020473,-0.016960444,0.15528801,360.0,-3.191535,1.0,1800.0,1.0
36,-0.10376507,0.13983037,-0.016725654,0.15498316,370.0,-3.0796244,1.0,1850.0,1.0
37,-0.10376757,0.13967076,-0.016745428,0.15487663,380.0,-3.463831,1.0,1900.0,0.98
38,-0.10363988,0.13969494,-0.016662097,0.15484448,390.0,-3.2256515,1.0,1950.0,0.98
39,-0.103828065,0.1396328,-0.016734378,0.15480015,400.0,-3.2446892,1.0,2000.0,1.0
40,-0.10372991,0.13948025,-0.016610598,0.15464,410.0,-3.0739305,1.0,2050.0,0.96
41,-0.10370671,0.13939264,-0.016575137,0.15450539,420.0,-3.1256452,1.0,2100.0,0.98
42,-0.10347721,0.1393653,-0.016463045,0.15451506,430.0,-3.2200055,1.0,2150.0,1.0
43,-0.10330254,0.13917935,-0.016437802,0.15439562,440.0,-3.1689208,1.0,2200.0,0.98
44,-0.10291015,0.13887195,-0.016239727,0.15421923,450.0,-3.164103,1.0,2250.0,0.98
45,-0.10336494,0.1387474,-0.01652487,0.15416656,460.0,-2.9633443,1.0,2300.0,0.98
46,-0.10338562,0.1386561,-0.016562572,0.15412131,470.0,-3.3484635,1.0,2350.0,0.94
47,-0.10347957,0.13871944,-0.016701039,0.15423143,480.0,-5.1183004,1.0,2400.0,0.96
48,-0.10308755,0.13878645,-0.016508128,0.15434149,490.0,-3.371942,1.0,2450.0,0.98
49,-0.103386074,0.13875452,-0.016634572,0.15426672,500.0,-3.3956661,1.0,2500.0,0.98
50,-0.10386927,0.1387337,-0.016907858,0.15424153,510.0,-3.0971494,1.0,2550.0,0.96
51,-0.10398855,0.13874345,-0.01705061,0.15423359,520.0,-3.2809749,1.0,2600.0,0.9
52,-0.10402459,0.13868488,-0.017086599,0.15415993,530.0,-3.7059073,1.0,2650.0,0.96
53,-0.104249656,0.13863242,-0.01734913,0.15415494,540.0,-3.2773566,1.0,2700.0,0.98
54,-0.1041752,0.13864323,-0.017284317,0.15405986,550.0,-3.2566102,1.0,2750.0,0.98
55,-0.10431522,0.13856106,-0.017300947,0.15391375,560.0,-2.762109,1.0,2800.0,1.0
56,-0.104690015,0.13857271,-0.017479444,0.15385692,570.0,-3.0386834,1.0,2850.0,1.0
57,-0.10483148,0.13848928,-0.017605323,0.15378198,580.0,-3.2071748,1.0,2900.0,1.0
58,-0.10447559,0.13834305,-0.017437246,0.1537142,590.0,-3.2922616,1.0,2950.0,1.0
59,-0.10469066,0.13817284,-0.017673045,0.15373084,600.0,-3.4270806,1.0,3000.0,0.98
60,-0.10507082,0.13816963,-0.01786327,0.15363728,610.0,-3.0927246,1.0,3050.0,0.98
61,-0.1048362,0.13811986,-0.017714465,0.153531,620.0,-2.9133205,1.0,3100.0,1.0
62,-0.104595184,0.13820213,-0.017560842,0.1535308,630.0,-3.0050015,1.0,3150.0,0.98
63,-0.10438514,0.13814032,-0.01740829,0.15340106,640.0,-2.9301,1.0,3200.0,1.0
