# {"t_start": 1624871700.9565618, "env_id": "dVRLReachRail-v0"} 
r,l,t
-130.117863,100,13.798365
-267.389237,100,23.086015
-199.63033,100,32.018253
-381.53956,100,41.018806
-310.72045,100,50.142078
-366.866216,100,59.270582
-248.033296,100,68.266413
-257.987275,100,77.29159
-399.57781,100,86.367337
-273.616588,100,95.550452
-198.276246,100,104.699145
-142.856663,100,113.683174
-208.873727,100,122.63168
-166.047674,100,131.855242
-262.888168,100,141.059142
-126.481349,100,150.155617
-91.949882,100,159.218143
-191.049022,100,168.27018
-265.088187,100,177.443607
-160.0183,100,186.51482
-169.349756,100,195.950679
-180.96478,100,204.551625
-272.887879,100,213.791156
-181.914724,100,223.307392
-151.838038,100,232.487625
-214.441186,100,241.686452
-157.095126,100,250.140225
-139.537694,100,258.393273
-109.670579,100,267.870257
-206.022921,100,277.126293
-164.773808,100,286.542614
-189.681,100,294.452909
-102.059826,100,303.662627
-198.9097,100,313.143383
-116.416338,100,322.454645
-144.131387,100,331.803463
-119.617761,100,340.659378
-191.24751,100,350.182129
-192.89797,100,359.630747
-110.585988,100,367.11858
-155.102197,100,375.472676
-108.941211,100,384.626554
-110.695021,100,393.722207
-131.971536,100,400.67849
-122.505406,100,409.264844
-130.215812,100,416.813181
-53.960578,100,422.660641
-120.66405,100,431.451945
-92.069127,100,439.84323
-61.234289,100,449.026958
-122.310314,100,458.549993
-132.981572,100,466.707232
-111.738763,100,474.807172
-107.862098,100,482.973953
-98.69701,100,491.174886
-56.484391,100,499.302141
-137.19507,100,507.502482
-102.251094,100,515.726517
-147.077305,100,523.801787
-143.919272,100,532.028059
-123.041792,100,540.15502
-139.532453,100,548.798142
-129.566965,100,556.265288
-154.703048,100,565.477877
-146.014679,100,573.809002
-258.981313,100,577.503041
-192.682243,100,586.914228
-148.898498,100,595.477892
-133.787512,100,604.148847
-134.249023,100,611.839095
-150.149232,100,620.774556
-123.262668,100,630.186805
-132.115788,100,639.438997
-115.501037,100,646.77608
-78.508406,100,654.814218
-105.681476,100,661.002025
-94.106009,100,670.514381
-139.85917,100,677.684473
-67.746199,100,684.333174
-154.060242,100,690.900375
-93.357164,100,700.291689
-139.496924,100,708.93716
-78.851906,100,716.186043
-74.513625,100,723.592963
-137.056405,100,732.567474
-162.661871,100,740.664573
-142.67362,100,747.409313
-138.5501,100,755.079073
-70.953981,100,761.745853
-92.728303,100,770.920485
-49.878164,100,776.683975
-66.346453,100,786.014362
-101.189819,100,795.221942
-100.54207,100,802.522874
-118.034666,100,810.445031
-97.418873,100,817.229486
-57.064703,100,822.468573
-105.695532,100,828.760808
-65.906974,100,833.791131
-133.184531,100,840.49356
-117.668562,100,847.988763
-68.33693,100,857.158186
-109.254587,100,863.532918
-96.209005,100,872.918173
-64.661884,100,877.940966
-63.907927,100,886.381837
-62.43486,100,892.879059
-91.134437,100,899.043346
-62.145524,100,907.647781
-74.23732,100,914.403426
-78.804309,100,923.891271
-47.329199,100,931.965932
-85.661172,100,940.087784
-74.725759,100,948.290187
-130.387018,100,956.478966
-108.351228,100,961.804475
-68.106538,100,970.067788
-65.502653,100,978.223008
-12.718832,100,986.478353
-52.61069,100,994.657816
-27.201375,100,1002.258685
-63.805155,100,1008.039595
-69.714972,100,1013.68215
-41.025448,100,1019.298977
-21.053216,100,1026.724133
-59.737165,100,1034.446483
-113.835368,100,1040.672377
-54.256569,100,1046.587313
-79.425407,100,1052.410336
-63.971574,100,1057.780543
-74.415963,100,1064.631759
-89.620109,100,1070.50196
-61.432419,100,1077.059957
-99.496433,100,1083.136797
-74.569925,100,1091.952904
-83.556914,100,1100.945871
-83.219106,100,1110.182696
-87.82005,100,1119.043534
-73.745692,100,1127.710785
-74.963514,100,1134.990363
-88.670641,100,1141.672117
-53.522566,100,1148.820895
-36.609183,100,1155.142644
-39.664202,100,1161.271196
-62.214852,100,1168.974072
-52.152348,100,1174.659159
-91.082237,100,1184.0155
-47.888322,100,1189.729919
-62.455428,100,1195.416009
-83.095216,100,1200.849528
-56.187433,100,1207.529486
-90.348157,100,1213.841201
-45.85451,100,1221.335103
-57.073883,100,1227.2464
-69.600211,100,1232.640326
-87.789926,100,1238.12866
-66.446211,100,1243.996974
-43.996435,100,1253.08647
-67.296328,100,1262.025681
-256.880081,100,1265.733088
-60.17979,100,1275.049981
-24.302022,100,1281.613462
-65.100357,100,1287.864532
-111.960194,100,1292.552786
-75.123336,100,1301.70758
-48.834461,100,1308.139605
-73.56249,100,1315.445932
-65.20483,100,1324.687833
-50.366984,100,1333.719784
-41.043193,100,1341.034345
-57.567518,100,1350.290656
-63.029451,100,1358.326361
-57.133691,100,1366.331954
-45.307479,100,1374.355638
-36.31874,100,1382.571536
-44.390652,100,1390.598865
-39.201838,100,1398.735623
-45.221592,100,1406.793879
-61.251631,100,1414.754722
-34.760719,100,1422.795843
-21.407281,100,1430.13565
-56.076413,100,1435.458328
-44.146129,100,1441.883258
-45.641213,100,1447.352077
-82.350506,100,1455.053395
-53.471861,100,1462.555712
-51.650569,100,1468.528502
-58.591411,100,1475.363249
-67.238129,100,1484.227326
-39.99435,100,1492.530439
-47.764436,100,1498.751366
-66.185647,100,1504.680419
-81.649251,100,1510.410753
-55.999082,100,1517.710124
-52.649012,100,1523.821984
-44.735365,100,1529.365331
-69.679665,100,1537.740212
-53.574121,100,1547.042828
-59.811015,100,1553.300739
-54.078596,100,1559.624406
-54.22033,100,1568.561593
-90.130892,100,1573.444987
-41.120695,100,1579.579499
-47.362896,100,1588.950413
-68.308709,100,1594.380213
-48.03974,100,1599.847982
-62.373034,100,1605.386447
-80.597589,100,1613.772604
-284.250517,100,1617.374398
-56.115291,100,1624.177536
-46.684005,100,1629.287941
-40.405768,100,1637.97996
-53.434825,100,1643.00111
-15.466166,100,1650.052949
-69.617619,100,1654.736133
-45.375023,100,1661.034129
-53.85929,100,1667.768358
-41.666486,100,1675.630232
-42.380296,100,1681.435627
-45.224528,100,1687.076034
-36.961092,100,1696.151565
-53.464811,100,1701.383498
-43.041631,100,1708.439134
-49.270332,100,1715.158156
-48.620968,100,1720.800183
-46.952595,100,1726.421099
-42.608952,100,1732.469537
-50.178033,100,1739.516655
-51.77391,100,1744.644117
-70.989725,100,1752.69497
-25.517307,100,1761.87886
-37.455307,100,1770.010124
-41.936983,100,1778.079923
-16.196581,100,1786.286388
-47.24305,100,1794.29079
-39.875198,100,1802.303002
-40.488907,100,1810.411883
-41.527649,100,1818.474218
-44.880127,100,1826.546961
-24.833184,100,1834.709882
-15.060461,100,1838.171201
-55.908385,100,1845.427246
-53.978363,100,1853.555744
-63.694384,100,1859.131791
-58.974883,100,1864.897272
-51.475087,100,1871.481299
-50.113686,100,1878.041021
-64.842051,100,1884.77468
-41.173957,100,1890.428622
-35.790595,100,1899.643787
-41.533346,100,1905.006575
-51.873089,100,1911.706426
-49.815917,100,1918.657534
-22.823551,100,1925.115497
-35.101189,100,1932.648684
-56.547464,100,1939.076461
-58.885937,100,1944.951702
-97.572223,100,1950.01645
-60.693142,100,1955.792488
-44.858155,100,1961.641548
-56.154238,100,1970.430344
-72.292869,100,1975.916352
-40.858268,100,1980.798178
-87.802979,100,1986.239399
-199.385848,100,1990.180851
-51.417742,100,1994.653648
-47.864239,100,2000.000819
-46.182954,100,2006.673985
-50.047302,100,2012.60997
-45.424467,100,2018.786936
-64.344511,100,2024.314118
-66.983553,100,2029.515996
-41.968034,100,2037.183617
-47.946758,100,2042.945345
-48.492115,100,2050.040214
-56.76214,100,2058.728137
-8.309823,100,2065.353974
-26.277507,100,2070.376503
-41.262729,100,2076.235876
-75.988509,100,2085.587686
-64.46516,100,2090.875213
-54.717901,100,2099.176428
-51.094711,100,2105.317954
-59.805574,100,2110.982766
-64.493484,100,2120.071622
-71.114908,100,2127.742618
-80.375784,100,2135.404093
-57.987732,100,2141.431326
-42.731707,100,2149.715197
-57.986379,100,2155.837452
-49.416201,100,2165.159062
-33.687854,100,2173.263721
-22.815265,100,2181.426946
-32.969698,100,2189.55149
-37.35765,100,2197.686584
-45.17604,100,2205.822867
-38.362102,100,2213.97485
-54.918514,100,2222.030668
-11.664525,100,2230.159402
-34.984255,100,2238.41042
-73.70989,100,2244.23329
-32.415459,100,2251.434526
-49.898164,100,2258.350276
-214.725635,100,2262.319457
-52.586783,100,2268.427265
-11.826484,100,2272.839788
-54.029165,100,2278.788991
-17.648801,100,2283.68383
-55.56217,100,2291.441579
-50.378417,100,2296.857477
-56.641967,100,2303.099132
-62.28296,100,2310.842934
-129.788035,100,2315.807777
-61.315936,100,2322.525648
-68.427223,100,2329.722051
-31.353999,100,2333.915854
-67.361888,100,2339.439149
-45.787037,100,2348.109354
-45.501997,100,2355.53125
-51.212484,100,2362.510924
-51.209734,100,2368.552456
-47.455998,100,2374.199914
-49.807558,100,2382.382572
-50.487557,100,2388.641879
-49.640884,100,2395.324275
-52.735113,100,2401.471408
-39.419152,100,2410.766394
-44.110966,100,2419.691034
-158.817219,100,2423.6521
-70.127089,100,2429.290904
-53.954017,100,2434.881917
-73.620506,100,2440.408441
-64.247099,100,2448.540961
-50.506776,100,2457.797403
-39.430823,100,2467.18699
-100.931455,100,2472.416492
-68.855059,100,2477.180803
-67.270228,100,2482.729899
-47.447757,100,2491.462663
-44.319876,100,2497.029498
-56.099964,100,2503.499928
-57.305701,100,2512.707153
-55.003978,100,2518.776261
-76.318643,100,2524.124295
-45.886997,100,2529.810238
-52.710649,100,2535.747498
-55.48447,100,2541.430383
-40.390435,100,2548.637295
-47.431776,100,2554.955755
-42.518075,100,2560.813214
-34.032466,100,2570.026461
-50.877266,100,2578.170175
-32.767671,100,2586.318333
-45.155098,100,2594.441873
-43.540963,100,2602.618712
-43.170045,100,2610.686388
