epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.04960398,0.13564588,0.005903363,0.13276443,10.0,-3.3303204,0.4,50.0,0.18
1,-0.07077308,0.15299857,-0.0010459806,0.15200041,20.0,-2.9790983,0.9,100.0,0.7
2,-0.0776732,0.15209948,-0.002748104,0.15598528,30.0,-3.5788944,1.0,150.0,0.94
3,-0.08017004,0.15178515,-0.004515614,0.1573733,40.0,-2.9786248,1.0,200.0,0.94
4,-0.08422503,0.15628123,-0.0073809945,0.16103251,50.0,-3.6510086,1.0,250.0,0.96
5,-0.08544099,0.15836671,-0.009104972,0.1623405,60.0,-4.032859,1.0,300.0,0.9
6,-0.084557794,0.15981539,-0.008248276,0.16329129,70.0,-3.3333123,1.0,350.0,0.96
7,-0.087720044,0.15921402,-0.010291727,0.1633325,80.0,-4.3117213,1.0,400.0,0.96
8,-0.087753415,0.15843195,-0.01018398,0.1627586,90.0,-3.4008384,1.0,450.0,0.94
9,-0.088341855,0.15752463,-0.010588805,0.1618671,100.0,-4.0437174,1.0,500.0,0.92
10,-0.088442236,0.15756766,-0.0106366845,0.16130598,110.0,-4.304652,1.0,550.0,0.98
11,-0.08898681,0.15776138,-0.010668024,0.16101441,120.0,-4.8518963,1.0,600.0,0.92
12,-0.08867267,0.15721266,-0.010228467,0.1604054,130.0,-3.4503536,1.0,650.0,0.98
13,-0.087338634,0.15797801,-0.009512852,0.16040199,140.0,-3.862671,1.0,700.0,0.98
14,-0.08698213,0.15797807,-0.009196439,0.16029336,150.0,-3.2918296,1.0,750.0,0.92
15,-0.08718658,0.15736555,-0.008855782,0.15955493,160.0,-2.916474,1.0,800.0,0.96
16,-0.08777877,0.15827668,-0.009221822,0.15994756,170.0,-2.9949784,1.0,850.0,0.98
17,-0.088054866,0.15783243,-0.009222837,0.15942605,180.0,-4.7735124,0.9,900.0,0.98
18,-0.08694273,0.15731062,-0.008517921,0.15916708,190.0,-3.734553,1.0,950.0,0.9
19,-0.08856692,0.15762581,-0.0093485955,0.15927088,200.0,-4.610559,0.9,1000.0,0.98
20,-0.08879933,0.15763545,-0.009372396,0.15916643,210.0,-3.9057574,1.0,1050.0,0.96
21,-0.08955488,0.15748607,-0.009657615,0.15896872,220.0,-3.2935224,1.0,1100.0,0.96
22,-0.09071171,0.15747905,-0.010281116,0.15878673,230.0,-3.4827034,1.0,1150.0,0.98
23,-0.09060014,0.15752774,-0.010398676,0.15869248,240.0,-3.012692,1.0,1200.0,0.94
24,-0.09057304,0.15691228,-0.010365577,0.15831625,250.0,-13.501262,0.7,1250.0,0.96
25,-0.09074217,0.15658988,-0.0105693685,0.15817663,260.0,-3.105962,1.0,1300.0,0.92
26,-0.09111967,0.1567281,-0.010618013,0.15794858,270.0,-4.1782966,1.0,1350.0,0.96
27,-0.09106117,0.15687059,-0.010484875,0.15772912,280.0,-2.9653265,1.0,1400.0,0.98
